ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,SPOT_PRC,SETL_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4101S30001,101S3000,코스피200 F 202203 (주간),395.00,1,6.70,391.05,395.15,391.00,394.66,395.00,"230,600","22,690,094,887,500","247,121",FU,2022-01-12,KRDRVFUK2I
KR4101S60008,101S6000,코스피200 F 202206 (주간),395.25,1,6.65,391.95,395.25,391.85,394.66,395.25,259,"25,495,987,500","10,364",FU,2022-01-12,KRDRVFUK2I
KR4101S90005,101S9000,코스피200 F 202209 (주간),-,0,-,-,-,-,394.66,395.95,264,"26,070,000,000","1,104",FU,2022-01-12,KRDRVFUK2I
KR4101SC0009,101SC000,코스피200 F 202212 (주간),396.10,1,6.40,393.00,396.15,393.00,394.66,396.10,22,"2,177,850,000","10,294",FU,2022-01-12,KRDRVFUK2I
KR4101T60006,101T6000,코스피200 F 202306 (주간),393.15,1,5.45,393.00,393.15,393.00,394.66,393.15,43,"4,225,700,000","1,848",FU,2022-01-12,KRDRVFUK2I
KR4101TC0008,101TC000,코스피200 F 202312 (주간),-,0,-,-,-,-,394.66,395.35,290,"28,492,500,000","6,093",FU,2022-01-12,KRDRVFUK2I
KR4101VC0004,101VC000,코스피200 F 202412 (주간),-,0,-,-,-,-,394.66,394.05,310,"30,457,500,000",334,FU,2022-01-12,KRDRVFUK2I
KR4401S3S6S1,401S3S6S,코스피200 SP 2203-2206 (주간),0.25,1,0.25,0.20,0.30,0.20,394.66,0.00,66,"13,021,837,500",-,FU,2022-01-12,KRDRVFUK2I
KR4401S3S9S5,401S3S9S,코스피200 SP 2203-2209 (주간),-,0,-,-,-,-,394.66,0.00,0,0,-,FU,2022-01-12,KRDRVFUK2I
KR4401S3SCS1,401S3SCS,코스피200 SP 2203-2212 (주간),-,0,-,-,-,-,394.66,0.00,0,0,-,FU,2022-01-12,KRDRVFUK2I
KR4401S3T6S0,401S3T6S,코스피200 SP 2203-2306 (주간),-,0,-,-,-,-,394.66,0.00,0,0,-,FU,2022-01-12,KRDRVFUK2I
KR4401S3TCS9,401S3TCS,코스피200 SP 2203-2312 (주간),-,0,-,-,-,-,394.66,0.00,0,0,-,FU,2022-01-12,KRDRVFUK2I
KR4401S3VCS5,401S3VCS,코스피200 SP 2203-2412 (주간),-,0,-,-,-,-,394.66,0.00,0,0,-,FU,2022-01-12,KRDRVFUK2I
