ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201BB237,KOSPI 200 콜옵션 0711 237.5,10.30,303,"314,970,000",303,2007-08-10,KRDRVOPK2I,2007-11-08,237.5,230.00,230.68
201BB237,KOSPI 200 콜옵션 0711 237.5,-,0,0,303,2007-08-13,KRDRVOPK2I,2007-11-08,237.5,233.75,233.88
201BB237,KOSPI 200 콜옵션 0711 237.5,-,0,0,303,2007-08-14,KRDRVOPK2I,2007-11-08,237.5,230.70,230.45
201BB237,KOSPI 200 콜옵션 0711 237.5,-,0,0,303,2007-08-16,KRDRVOPK2I,2007-11-08,237.5,215.50,215.67
201BB237,KOSPI 200 콜옵션 0711 237.5,-,0,0,303,2007-08-17,KRDRVOPK2I,2007-11-08,237.5,207.50,208.57
201BB237,KOSPI 200 콜옵션 0711 237.5,7.35,35,"25,680,000",307,2007-08-20,KRDRVOPK2I,2007-11-08,237.5,220.40,219.72
201BB237,KOSPI 200 콜옵션 0711 237.5,7.50,300,"218,000,000",607,2007-08-21,KRDRVOPK2I,2007-11-08,237.5,219.60,220.18
201BB237,KOSPI 200 콜옵션 0711 237.5,-,0,0,607,2007-08-22,KRDRVOPK2I,2007-11-08,237.5,223.40,223.24
201BB237,KOSPI 200 콜옵션 0711 237.5,8.90,147,"133,340,000",632,2007-08-23,KRDRVOPK2I,2007-11-08,237.5,229.20,228.60
201BB237,KOSPI 200 콜옵션 0711 237.5,8.90,36,"32,005,000",632,2007-08-24,KRDRVOPK2I,2007-11-08,237.5,227.35,227.18
201BB237,코스피200 C 200711 237.5,-,0,0,632,2007-08-27,KRDRVOPK2I,2007-11-08,237.5,229.30,228.65
201BB237,코스피200 C 200711 237.5,9.40,106,"103,280,000",738,2007-08-28,KRDRVOPK2I,2007-11-08,237.5,233.35,232.38
201BB237,코스피200 C 200711 237.5,-,0,0,738,2007-08-29,KRDRVOPK2I,2007-11-08,237.5,233.70,232.32
201BB237,코스피200 C 200711 237.5,12.45,351,"435,955,000",749,2007-08-30,KRDRVOPK2I,2007-11-08,237.5,235.90,234.22
201BB237,코스피200 C 200711 237.5,13.60,789,"989,820,000",980,2007-08-31,KRDRVOPK2I,2007-11-08,237.5,239.00,238.28
201BB237,코스피200 C 200711 237.5,-,0,0,980,2007-09-03,KRDRVOPK2I,2007-11-08,237.5,239.30,238.72
201BB237,코스피200 C 200711 237.5,-,0,0,980,2007-09-04,KRDRVOPK2I,2007-11-08,237.5,237.90,237.91
201BB237,코스피200 C 200711 237.5,13.00,100,"130,000,000",980,2007-09-05,KRDRVOPK2I,2007-11-08,237.5,236.00,236.61
201BB237,코스피200 C 200711 237.5,11.85,30,"35,550,000","1,010",2007-09-06,KRDRVOPK2I,2007-11-08,237.5,240.10,239.61
201BB237,코스피200 C 200711 237.5,13.10,100,"131,000,000",953,2007-09-07,KRDRVOPK2I,2007-11-08,237.5,238.95,238.92
201BB237,코스피200 C 200711 237.5,-,0,0,953,2007-09-10,KRDRVOPK2I,2007-11-08,237.5,232.00,232.44
201BB237,코스피200 C 200711 237.5,-,0,0,953,2007-09-11,KRDRVOPK2I,2007-11-08,237.5,232.95,234.12
201BB237,코스피200 C 200711 237.5,8.30,562,"513,725,000",808,2007-09-12,KRDRVOPK2I,2007-11-08,237.5,229.65,229.44
201BB237,코스피200 C 200711 237.5,8.50,186,"157,700,000",783,2007-09-13,KRDRVOPK2I,2007-11-08,237.5,233.45,233.86
201BB237,코스피200 C 200711 237.5,11.40,256,"288,360,000",929,2007-09-14,KRDRVOPK2I,2007-11-08,237.5,238.00,236.54
201BB237,코스피200 C 200711 237.5,11.25,"1,844","2,036,240,000","1,820",2007-09-17,KRDRVOPK2I,2007-11-08,237.5,238.30,236.72
201BB237,코스피200 C 200711 237.5,9.25,535,"527,360,000","2,074",2007-09-18,KRDRVOPK2I,2007-11-08,237.5,233.60,232.42
201BB237,코스피200 C 200711 237.5,13.60,428,"560,710,000","2,124",2007-09-19,KRDRVOPK2I,2007-11-08,237.5,245.00,241.08
201BB237,코스피200 C 200711 237.5,12.55,33,"42,440,000","2,141",2007-09-20,KRDRVOPK2I,2007-11-08,237.5,244.65,242.42
201BB237,코스피200 C 200711 237.5,12.65,20,"25,300,000","2,141",2007-09-21,KRDRVOPK2I,2007-11-08,237.5,245.80,243.45
201BB237,코스피200 C 200711 237.5,16.30,44,"71,390,000","2,141",2007-09-27,KRDRVOPK2I,2007-11-08,237.5,249.80,247.10
201BB237,코스피200 C 200711 237.5,14.95,3,"4,545,000","2,142",2007-09-28,KRDRVOPK2I,2007-11-08,237.5,249.60,247.20
201BB237,코스피200 C 200711 237.5,16.80,1,"1,680,000","2,141",2007-10-01,KRDRVOPK2I,2007-11-08,237.5,253.05,249.30
201BB237,코스피200 C 200711 237.5,-,0,0,"2,141",2007-10-02,KRDRVOPK2I,2007-11-08,237.5,259.40,256.80
201BB237,코스피200 C 200711 237.5,-,0,0,"2,141",2007-10-04,KRDRVOPK2I,2007-11-08,237.5,258.35,254.92
201BB237,코스피200 C 200711 237.5,22.50,12,"25,920,000","2,141",2007-10-05,KRDRVOPK2I,2007-11-08,237.5,257.35,253.63
201BB237,코스피200 C 200711 237.5,-,0,0,"2,141",2007-10-08,KRDRVOPK2I,2007-11-08,237.5,258.10,255.87
201BB237,코스피200 C 200711 237.5,-,0,0,"2,141",2007-10-09,KRDRVOPK2I,2007-11-08,237.5,258.80,256.19
201BB237,코스피200 C 200711 237.5,25.90,16,"40,300,000","2,141",2007-10-10,KRDRVOPK2I,2007-11-08,237.5,261.85,259.79
201BB237,코스피200 C 200711 237.5,-,0,0,"2,141",2007-10-11,KRDRVOPK2I,2007-11-08,237.5,265.00,261.82
201BB237,코스피200 C 200711 237.5,23.50,7,"16,810,000","2,142",2007-10-12,KRDRVOPK2I,2007-11-08,237.5,260.10,257.31
201BB237,코스피200 C 200711 237.5,20.25,35,"70,455,000","2,152",2007-10-15,KRDRVOPK2I,2007-11-08,237.5,259.60,257.68
201BB237,코스피200 C 200711 237.5,18.40,89,"180,640,000","2,179",2007-10-16,KRDRVOPK2I,2007-11-08,237.5,255.20,253.43
201BB237,코스피200 C 200711 237.5,13.70,"1,311","1,720,215,000","2,142",2007-10-17,KRDRVOPK2I,2007-11-08,237.5,251.75,250.48
201BB237,코스피200 C 200711 237.5,16.50,87,"138,955,000","2,146",2007-10-18,KRDRVOPK2I,2007-11-08,237.5,253.40,252.60
201BB237,코스피200 C 200711 237.5,12.75,114,"167,970,000","2,173",2007-10-19,KRDRVOPK2I,2007-11-08,237.5,248.60,248.35
201BB237,코스피200 C 200711 237.5,7.70,"19,922","14,877,690,000","10,620",2007-10-22,KRDRVOPK2I,2007-11-08,237.5,239.85,239.94
201BB237,코스피200 C 200711 237.5,10.70,"6,034","5,273,575,000","10,681",2007-10-23,KRDRVOPK2I,2007-11-08,237.5,246.40,244.90
201BB237,코스피200 C 200711 237.5,10.50,"2,376","3,222,545,000","10,609",2007-10-24,KRDRVOPK2I,2007-11-08,237.5,244.30,243.31
201BB237,코스피200 C 200711 237.5,14.05,971,"1,212,830,000","10,665",2007-10-25,KRDRVOPK2I,2007-11-08,237.5,250.20,248.80
201BB237,코스피200 C 200711 237.5,19.70,499,"825,180,000","10,558",2007-10-26,KRDRVOPK2I,2007-11-08,237.5,256.60,255.65
201BB237,코스피200 C 200711 237.5,23.80,144,"339,360,000","10,547",2007-10-29,KRDRVOPK2I,2007-11-08,237.5,261.65,260.40
201BB237,코스피200 C 200711 237.5,22.80,41,"92,615,000","10,548",2007-10-30,KRDRVOPK2I,2007-11-08,237.5,260.80,258.87
201BB237,코스피200 C 200711 237.5,23.60,50,"114,490,000","10,531",2007-10-31,KRDRVOPK2I,2007-11-08,237.5,261.80,260.42
201BB237,코스피200 C 200711 237.5,23.70,12,"29,435,000","10,529",2007-11-01,KRDRVOPK2I,2007-11-08,237.5,263.40,260.76
201BB237,코스피200 C 200711 237.5,17.20,116,"227,520,000","10,506",2007-11-02,KRDRVOPK2I,2007-11-08,237.5,254.35,254.74
201BB237,코스피200 C 200711 237.5,16.25,83,"128,720,000","10,501",2007-11-05,KRDRVOPK2I,2007-11-08,237.5,254.40,253.91
201BB237,코스피200 C 200711 237.5,22.05,44,"90,480,000","10,503",2007-11-06,KRDRVOPK2I,2007-11-08,237.5,260.50,259.24
201BB237,코스피200 C 200711 237.5,20.80,13,"31,120,000","10,499",2007-11-07,KRDRVOPK2I,2007-11-08,237.5,260.15,258.74
201BB237,코스피200 C 200711 237.5,13.90,225,"370,135,000",0,2007-11-08,KRDRVOPK2I,2007-11-08,237.5,251.15,249.97
