ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201BC232,코스피200 C 200712 232.5,-,0,0,0,2007-09-14,KRDRVOPK2I,2007-12-13,232.5,238.00,236.54
201BC232,코스피200 C 200712 232.5,-,0,0,0,2007-09-17,KRDRVOPK2I,2007-12-13,232.5,238.30,236.72
201BC232,코스피200 C 200712 232.5,-,0,0,0,2007-09-18,KRDRVOPK2I,2007-12-13,232.5,233.60,232.42
201BC232,코스피200 C 200712 232.5,20.25,30,"60,750,000",30,2007-09-19,KRDRVOPK2I,2007-12-13,232.5,245.00,241.08
201BC232,코스피200 C 200712 232.5,18.85,20,"37,700,000",50,2007-09-20,KRDRVOPK2I,2007-12-13,232.5,244.65,242.42
201BC232,코스피200 C 200712 232.5,-,0,0,50,2007-09-21,KRDRVOPK2I,2007-12-13,232.5,245.80,243.45
201BC232,코스피200 C 200712 232.5,-,0,0,50,2007-09-27,KRDRVOPK2I,2007-12-13,232.5,249.80,247.10
201BC232,코스피200 C 200712 232.5,-,0,0,50,2007-09-28,KRDRVOPK2I,2007-12-13,232.5,249.60,247.20
201BC232,코스피200 C 200712 232.5,-,0,0,50,2007-10-01,KRDRVOPK2I,2007-12-13,232.5,253.05,249.30
201BC232,코스피200 C 200712 232.5,28.65,20,"57,300,000",30,2007-10-02,KRDRVOPK2I,2007-12-13,232.5,259.40,256.80
201BC232,코스피200 C 200712 232.5,30.55,5,"15,275,000",35,2007-10-04,KRDRVOPK2I,2007-12-13,232.5,258.35,254.92
201BC232,코스피200 C 200712 232.5,-,0,0,35,2007-10-05,KRDRVOPK2I,2007-12-13,232.5,257.35,253.63
201BC232,코스피200 C 200712 232.5,-,0,0,35,2007-10-08,KRDRVOPK2I,2007-12-13,232.5,258.10,255.87
201BC232,코스피200 C 200712 232.5,-,0,0,35,2007-10-09,KRDRVOPK2I,2007-12-13,232.5,258.80,256.19
201BC232,코스피200 C 200712 232.5,-,0,0,35,2007-10-10,KRDRVOPK2I,2007-12-13,232.5,261.85,259.79
201BC232,코스피200 C 200712 232.5,-,0,0,35,2007-10-11,KRDRVOPK2I,2007-12-13,232.5,265.00,261.82
