ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201C4245,코스피200 C 200804 245.0,4.70,208,"107,810,000",173,2008-01-11,KRDRVOPK2I,2008-04-10,245.0,225.40,224.41
201C4245,코스피200 C 200804 245.0,4.05,208,"92,485,000",247,2008-01-14,KRDRVOPK2I,2008-04-10,245.0,222.70,222.81
201C4245,코스피200 C 200804 245.0,3.55,"3,694","1,401,420,000","3,570",2008-01-15,KRDRVOPK2I,2008-04-10,245.0,222.90,220.91
201C4245,코스피200 C 200804 245.0,2.68,676,"188,635,000","3,604",2008-01-16,KRDRVOPK2I,2008-04-10,245.0,218.60,215.87
201C4245,코스피200 C 200804 245.0,2.91,221,"58,725,000","3,762",2008-01-17,KRDRVOPK2I,2008-04-10,245.0,219.00,218.83
201C4245,코스피200 C 200804 245.0,3.35,348,"87,948,000","3,833",2008-01-18,KRDRVOPK2I,2008-04-10,245.0,221.30,219.87
201C4245,코스피200 C 200804 245.0,2.10,453,"113,606,000","3,854",2008-01-21,KRDRVOPK2I,2008-04-10,245.0,214.95,213.60
201C4245,코스피200 C 200804 245.0,2.31,789,"165,958,000","4,376",2008-01-22,KRDRVOPK2I,2008-04-10,245.0,204.90,204.55
201C4245,코스피200 C 200804 245.0,2.20,191,"47,916,000","4,412",2008-01-23,KRDRVOPK2I,2008-04-10,245.0,208.85,207.23
201C4245,코스피200 C 200804 245.0,1.87,135,"30,724,000","4,451",2008-01-24,KRDRVOPK2I,2008-04-10,245.0,212.45,211.20
201C4245,코스피200 C 200804 245.0,1.96,"1,252","228,715,000","4,910",2008-01-25,KRDRVOPK2I,2008-04-10,245.0,214.85,215.06
201C4245,코스피200 C 200804 245.0,1.10,509,"69,041,000","5,347",2008-01-28,KRDRVOPK2I,2008-04-10,245.0,207.85,206.52
201C4245,코스피200 C 200804 245.0,1.20,175,"21,893,000","5,345",2008-01-29,KRDRVOPK2I,2008-04-10,245.0,210.75,208.80
201C4245,코스피200 C 200804 245.0,1.05,"1,229","113,362,000","6,361",2008-01-30,KRDRVOPK2I,2008-04-10,245.0,206.50,203.50
201C4245,코스피200 C 200804 245.0,0.88,"1,239","112,848,000","7,093",2008-01-31,KRDRVOPK2I,2008-04-10,245.0,207.90,207.77
201C4245,코스피200 C 200804 245.0,0.95,380,"33,954,000","7,365",2008-02-01,KRDRVOPK2I,2008-04-10,245.0,210.15,209.08
201C4245,코스피200 C 200804 245.0,1.61,"1,209","183,905,000","8,095",2008-02-04,KRDRVOPK2I,2008-04-10,245.0,218.00,216.23
201C4245,코스피200 C 200804 245.0,1.51,340,"52,434,000","8,098",2008-02-05,KRDRVOPK2I,2008-04-10,245.0,217.80,216.91
201C4245,코스피200 C 200804 245.0,0.85,532,"51,489,000","7,909",2008-02-11,KRDRVOPK2I,2008-04-10,245.0,210.00,208.92
201C4245,코스피200 C 200804 245.0,0.75,292,"22,995,000","7,827",2008-02-12,KRDRVOPK2I,2008-04-10,245.0,209.20,209.01
201C4245,코스피200 C 200804 245.0,0.66,640,"49,692,000","7,933",2008-02-13,KRDRVOPK2I,2008-04-10,245.0,207.80,207.56
201C4245,코스피200 C 200804 245.0,1.20,633,"64,206,000","7,969",2008-02-14,KRDRVOPK2I,2008-04-10,245.0,216.00,216.20
201C4245,코스피200 C 200804 245.0,1.07,"1,530","155,010,000","8,657",2008-02-15,KRDRVOPK2I,2008-04-10,245.0,216.50,215.38
201C4245,코스피200 C 200804 245.0,0.84,"2,317","226,304,000","9,048",2008-02-18,KRDRVOPK2I,2008-04-10,245.0,216.10,215.46
201C4245,코스피200 C 200804 245.0,1.04,"2,619","273,405,000","10,512",2008-02-19,KRDRVOPK2I,2008-04-10,245.0,218.50,218.37
201C4245,코스피200 C 200804 245.0,0.73,"2,187","179,384,000","10,823",2008-02-20,KRDRVOPK2I,2008-04-10,245.0,214.50,213.84
201C4245,코스피200 C 200804 245.0,0.85,"1,845","158,227,000","10,994",2008-02-21,KRDRVOPK2I,2008-04-10,245.0,217.00,216.38
201C4245,코스피200 C 200804 245.0,0.53,"4,925","294,787,000","12,079",2008-02-22,KRDRVOPK2I,2008-04-10,245.0,214.10,213.73
201C4245,코스피200 C 200804 245.0,0.75,"4,058","294,341,000","11,377",2008-02-25,KRDRVOPK2I,2008-04-10,245.0,217.05,217.07
201C4245,코스피200 C 200804 245.0,0.72,"1,963","155,540,000","11,272",2008-02-26,KRDRVOPK2I,2008-04-10,245.0,217.60,217.22
201C4245,코스피200 C 200804 245.0,0.70,"3,490","275,593,000","11,769",2008-02-27,KRDRVOPK2I,2008-04-10,245.0,219.20,218.87
201C4245,코스피200 C 200804 245.0,0.75,"4,555","317,596,000","13,162",2008-02-28,KRDRVOPK2I,2008-04-10,245.0,219.70,220.59
201C4245,코스피200 C 200804 245.0,0.43,"4,051","223,232,000","13,496",2008-02-29,KRDRVOPK2I,2008-04-10,245.0,216.90,216.85
201C4245,코스피200 C 200804 245.0,0.20,"12,904","241,894,000","15,928",2008-03-03,KRDRVOPK2I,2008-04-10,245.0,211.50,211.73
201C4245,코스피200 C 200804 245.0,0.19,"6,355","114,220,000","17,895",2008-03-04,KRDRVOPK2I,2008-04-10,245.0,211.80,212.14
201C4245,코스피200 C 200804 245.0,0.18,"4,229","68,588,000","19,906",2008-03-05,KRDRVOPK2I,2008-04-10,245.0,212.10,212.14
201C4245,코스피200 C 200804 245.0,0.21,"9,537","199,283,000","22,579",2008-03-06,KRDRVOPK2I,2008-04-10,245.0,215.65,214.92
201C4245,코스피200 C 200804 245.0,0.11,"19,706","281,038,000","25,086",2008-03-07,KRDRVOPK2I,2008-04-10,245.0,210.20,210.57
201C4245,코스피200 C 200804 245.0,0.08,"10,546","81,581,000","27,881",2008-03-10,KRDRVOPK2I,2008-04-10,245.0,206.45,206.29
201C4245,코스피200 C 200804 245.0,0.10,"12,047","94,062,000","31,822",2008-03-11,KRDRVOPK2I,2008-04-10,245.0,208.25,208.06
201C4245,코스피200 C 200804 245.0,0.09,"27,586","361,486,000","38,202",2008-03-12,KRDRVOPK2I,2008-04-10,245.0,211.40,210.49
