ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201D4172,코스피200 C 200904 172.5,6.45,290,"216,155,000",284,2009-01-09,KRDRVOPK2I,2009-04-09,172.5,155.25,154.17
201D4172,코스피200 C 200904 172.5,4.75,4,"1,870,000",288,2009-01-12,KRDRVOPK2I,2009-04-09,172.5,151.40,151.01
201D4172,코스피200 C 200904 172.5,4.75,11,"4,650,000",293,2009-01-13,KRDRVOPK2I,2009-04-09,172.5,152.55,152.45
201D4172,코스피200 C 200904 172.5,5.55,765,"419,460,000",969,2009-01-14,KRDRVOPK2I,2009-04-09,172.5,155.50,154.50
201D4172,코스피200 C 200904 172.5,3.80,367,"157,825,000","1,210",2009-01-15,KRDRVOPK2I,2009-04-09,172.5,145.45,145.05
201D4172,코스피200 C 200904 172.5,3.95,128,"48,445,000","1,272",2009-01-16,KRDRVOPK2I,2009-04-09,172.5,148.85,148.03
201D4172,코스피200 C 200904 172.5,4.10,154,"63,170,000","1,303",2009-01-19,KRDRVOPK2I,2009-04-09,172.5,150.95,150.02
201D4172,코스피200 C 200904 172.5,3.50,99,"33,060,000","1,279",2009-01-20,KRDRVOPK2I,2009-04-09,172.5,147.45,146.55
201D4172,코스피200 C 200904 172.5,3.00,153,"49,430,000","1,248",2009-01-21,KRDRVOPK2I,2009-04-09,172.5,143.65,143.29
201D4172,코스피200 C 200904 172.5,3.30,491,"154,890,000","1,164",2009-01-22,KRDRVOPK2I,2009-04-09,172.5,146.60,145.11
201D4172,코스피200 C 200904 172.5,2.60,106,"27,963,000","1,242",2009-01-23,KRDRVOPK2I,2009-04-09,172.5,142.20,141.75
201D4172,코스피200 C 200904 172.5,4.00,552,"191,470,000","1,297",2009-01-28,KRDRVOPK2I,2009-04-09,172.5,151.50,151.04
201D4172,코스피200 C 200904 172.5,4.00,48,"18,835,000","1,308",2009-01-29,KRDRVOPK2I,2009-04-09,172.5,153.05,152.29
201D4172,코스피200 C 200904 172.5,3.55,94,"33,670,000","1,327",2009-01-30,KRDRVOPK2I,2009-04-09,172.5,151.70,151.33
201D4172,코스피200 C 200904 172.5,3.30,306,"100,447,000","1,356",2009-02-02,KRDRVOPK2I,2009-04-09,172.5,149.15,149.00
201D4172,코스피200 C 200904 172.5,3.55,613,"217,680,000","1,241",2009-02-03,KRDRVOPK2I,2009-04-09,172.5,151.50,151.42
201D4172,코스피200 C 200904 172.5,4.50,"1,317","547,370,000","2,086",2009-02-04,KRDRVOPK2I,2009-04-09,172.5,156.30,155.99
201D4172,코스피200 C 200904 172.5,3.55,"6,148","2,603,900,000","6,996",2009-02-05,KRDRVOPK2I,2009-04-09,172.5,153.55,154.00
201D4172,코스피200 C 200904 172.5,5.20,698,"324,575,000","6,900",2009-02-06,KRDRVOPK2I,2009-04-09,172.5,159.40,158.90
201D4172,코스피200 C 200904 172.5,4.75,171,"90,480,000","6,846",2009-02-09,KRDRVOPK2I,2009-04-09,172.5,158.50,157.70
201D4172,코스피200 C 200904 172.5,4.25,235,"105,130,000","6,872",2009-02-10,KRDRVOPK2I,2009-04-09,172.5,156.85,156.84
201D4172,코스피200 C 200904 172.5,3.85,400,"146,540,000","6,959",2009-02-11,KRDRVOPK2I,2009-04-09,172.5,154.90,155.26
201D4172,코스피200 C 200904 172.5,3.10,612,"193,081,000","6,932",2009-02-12,KRDRVOPK2I,2009-04-09,172.5,152.75,153.66
201D4172,코스피200 C 200904 172.5,3.10,"1,665","469,487,000","7,631",2009-02-13,KRDRVOPK2I,2009-04-09,172.5,155.70,155.19
201D4172,코스피200 C 200904 172.5,2.23,518,"138,241,000","7,786",2009-02-16,KRDRVOPK2I,2009-04-09,172.5,152.85,152.66
201D4172,코스피200 C 200904 172.5,1.60,"12,346","2,265,003,000","12,231",2009-02-17,KRDRVOPK2I,2009-04-09,172.5,146.50,146.60
201D4172,코스피200 C 200904 172.5,1.16,"1,542","201,582,000","12,372",2009-02-18,KRDRVOPK2I,2009-04-09,172.5,143.50,144.21
201D4172,코스피200 C 200904 172.5,0.99,"5,675","599,759,000","16,422",2009-02-19,KRDRVOPK2I,2009-04-09,172.5,143.75,143.60
201D4172,코스피200 C 200904 172.5,0.59,"3,627","251,495,000","17,786",2009-02-20,KRDRVOPK2I,2009-04-09,172.5,137.55,138.31
201D4172,코스피200 C 200904 172.5,0.72,"3,468","226,776,000","18,911",2009-02-23,KRDRVOPK2I,2009-04-09,172.5,142.10,142.78
201D4172,코스피200 C 200904 172.5,0.51,"2,025","100,817,000","18,753",2009-02-24,KRDRVOPK2I,2009-04-09,172.5,138.10,137.82
201D4172,코스피200 C 200904 172.5,0.41,"7,209","313,842,000","23,634",2009-02-25,KRDRVOPK2I,2009-04-09,172.5,138.50,138.65
201D4172,코스피200 C 200904 172.5,0.31,"5,665","226,619,000","25,168",2009-02-26,KRDRVOPK2I,2009-04-09,172.5,136.80,136.98
201D4172,코스피200 C 200904 172.5,0.30,"3,532","122,245,000","26,264",2009-02-27,KRDRVOPK2I,2009-04-09,172.5,137.00,138.07
201D4172,코스피200 C 200904 172.5,0.19,"3,782","85,339,000","26,483",2009-03-02,KRDRVOPK2I,2009-04-09,172.5,132.60,132.47
201D4172,코스피200 C 200904 172.5,0.17,"2,994","44,998,000","26,726",2009-03-03,KRDRVOPK2I,2009-04-09,172.5,134.40,133.78
201D4172,코스피200 C 200904 172.5,0.24,"6,447","127,058,000","28,678",2009-03-04,KRDRVOPK2I,2009-04-09,172.5,138.00,138.21
201D4172,코스피200 C 200904 172.5,0.23,"3,635","81,853,000","28,649",2009-03-05,KRDRVOPK2I,2009-04-09,172.5,139.05,138.25
201D4172,코스피200 C 200904 172.5,0.20,"3,162","59,234,000","28,686",2009-03-06,KRDRVOPK2I,2009-04-09,172.5,136.85,137.83
201D4172,코스피200 C 200904 172.5,0.20,"2,948","61,068,000","28,798",2009-03-09,KRDRVOPK2I,2009-04-09,172.5,139.45,140.00
201D4172,코스피200 C 200904 172.5,0.23,"13,290","270,779,000","30,938",2009-03-10,KRDRVOPK2I,2009-04-09,172.5,143.10,142.73
201D4172,코스피200 C 200904 172.5,0.35,"29,466","1,024,252,000","48,525",2009-03-11,KRDRVOPK2I,2009-04-09,172.5,148.15,147.60
201D4172,코스피200 C 200904 172.5,0.18,"26,004","645,794,000","51,903",2009-03-12,KRDRVOPK2I,2009-04-09,172.5,147.40,148.02
201D4172,코스피200 C 200904 172.5,0.22,"197,327","5,946,501,000","67,027",2009-03-13,KRDRVOPK2I,2009-04-09,172.5,147.90,147.29
201D4172,코스피200 C 200904 172.5,0.17,"278,118","6,913,671,000","85,941",2009-03-16,KRDRVOPK2I,2009-04-09,172.5,147.60,147.00
201D4172,코스피200 C 200904 172.5,0.48,"382,831","11,923,213,000","102,782",2009-03-17,KRDRVOPK2I,2009-04-09,172.5,153.30,152.17
201D4172,코스피200 C 200904 172.5,0.48,"284,638","13,347,873,000","100,342",2009-03-18,KRDRVOPK2I,2009-04-09,172.5,154.00,152.89
201D4172,코스피200 C 200904 172.5,0.35,"351,210","16,867,076,000","92,811",2009-03-19,KRDRVOPK2I,2009-04-09,172.5,152.25,151.51
201D4172,코스피200 C 200904 172.5,0.37,"508,663","21,998,364,000","97,615",2009-03-20,KRDRVOPK2I,2009-04-09,172.5,152.75,152.58
201D4172,코스피200 C 200904 172.5,0.66,"297,344","18,259,428,000","114,775",2009-03-23,KRDRVOPK2I,2009-04-09,172.5,157.15,156.42
201D4172,코스피200 C 200904 172.5,0.86,"362,811","29,848,530,000","108,727",2009-03-24,KRDRVOPK2I,2009-04-09,172.5,159.60,159.56
201D4172,코스피200 C 200904 172.5,0.83,"451,436","34,907,137,000","118,426",2009-03-25,KRDRVOPK2I,2009-04-09,172.5,160.90,160.28
201D4172,코스피200 C 200904 172.5,0.90,"539,748","44,483,196,000","113,563",2009-03-26,KRDRVOPK2I,2009-04-09,172.5,162.85,162.22
201D4172,코스피200 C 200904 172.5,0.64,"647,333","54,216,655,000","119,985",2009-03-27,KRDRVOPK2I,2009-04-09,172.5,162.85,161.66
201D4172,코스피200 C 200904 172.5,0.15,"689,070","26,370,934,000","127,283",2009-03-30,KRDRVOPK2I,2009-04-09,172.5,156.20,156.23
201D4172,코스피200 C 200904 172.5,0.18,"738,938","18,911,460,000","156,856",2009-03-31,KRDRVOPK2I,2009-04-09,172.5,158.20,157.01
201D4172,코스피200 C 200904 172.5,0.28,"1,086,442","28,931,231,000","166,306",2009-04-01,KRDRVOPK2I,2009-04-09,172.5,161.50,160.46
201D4172,코스피200 C 200904 172.5,0.87,"1,269,523","92,400,296,000","133,478",2009-04-02,KRDRVOPK2I,2009-04-09,172.5,166.80,166.18
201D4172,코스피200 C 200904 172.5,0.90,"977,322","96,907,088,000","120,420",2009-04-03,KRDRVOPK2I,2009-04-09,172.5,168.00,167.11
201D4172,코스피200 C 200904 172.5,0.77,"1,227,047","173,787,029,000","96,274",2009-04-06,KRDRVOPK2I,2009-04-09,172.5,169.15,168.62
