ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201DB190,코스피200 C 200911 190.0,20.95,1,"2,095,000",1,2009-08-14,KRDRVOPK2I,2009-11-12,190.0,207.00,206.46
201DB190,코스피200 C 200911 190.0,-,0,0,1,2009-08-17,KRDRVOPK2I,2009-11-12,190.0,200.45,200.52
201DB190,코스피200 C 200911 190.0,-,0,0,1,2009-08-18,KRDRVOPK2I,2009-11-12,190.0,201.20,201.33
201DB190,코스피200 C 200911 190.0,-,0,0,1,2009-08-19,KRDRVOPK2I,2009-11-12,190.0,201.30,201.08
201DB190,코스피200 C 200911 190.0,-,0,0,1,2009-08-20,KRDRVOPK2I,2009-11-12,190.0,205.50,205.22
201DB190,코스피200 C 200911 190.0,-,0,0,1,2009-08-21,KRDRVOPK2I,2009-11-12,190.0,206.10,206.26
201DB190,코스피200 C 200911 190.0,-,0,0,1,2009-08-24,KRDRVOPK2I,2009-11-12,190.0,210.00,210.60
201DB190,코스피200 C 200911 190.0,23.55,7,"16,315,000",8,2009-08-25,KRDRVOPK2I,2009-11-12,190.0,208.85,209.12
201DB190,코스피200 C 200911 190.0,23.65,4,"9,355,000",12,2009-08-26,KRDRVOPK2I,2009-11-12,190.0,210.70,210.62
201DB190,코스피200 C 200911 190.0,-,0,0,12,2009-08-27,KRDRVOPK2I,2009-11-12,190.0,209.05,208.62
201DB190,코스피200 C 200911 190.0,-,0,0,12,2009-08-28,KRDRVOPK2I,2009-11-12,190.0,208.80,209.74
201DB190,코스피200 C 200911 190.0,20.60,3,"6,170,000",15,2009-08-31,KRDRVOPK2I,2009-11-12,190.0,206.75,207.44
201DB190,코스피200 C 200911 190.0,-,0,0,15,2009-09-01,KRDRVOPK2I,2009-11-12,190.0,211.30,211.89
201DB190,코스피200 C 200911 190.0,-,0,0,15,2009-09-02,KRDRVOPK2I,2009-11-12,190.0,210.50,210.51
201DB190,코스피200 C 200911 190.0,-,0,0,15,2009-09-03,KRDRVOPK2I,2009-11-12,190.0,211.40,210.60
201DB190,코스피200 C 200911 190.0,-,0,0,15,2009-09-04,KRDRVOPK2I,2009-11-12,190.0,210.20,209.81
201DB190,코스피200 C 200911 190.0,-,0,0,15,2009-09-07,KRDRVOPK2I,2009-11-12,190.0,210.00,209.73
201DB190,코스피200 C 200911 190.0,-,0,0,15,2009-09-08,KRDRVOPK2I,2009-11-12,190.0,211.40,211.40
201DB190,코스피200 C 200911 190.0,-,0,0,15,2009-09-09,KRDRVOPK2I,2009-11-12,190.0,210.25,210.09
201DB190,코스피200 C 200911 190.0,-,0,0,15,2009-09-10,KRDRVOPK2I,2009-11-12,190.0,214.95,214.92
201DB190,코스피200 C 200911 190.0,-,0,0,15,2009-09-11,KRDRVOPK2I,2009-11-12,190.0,216.20,215.81
201DB190,코스피200 C 200911 190.0,24.95,7,"17,805,000",14,2009-09-14,KRDRVOPK2I,2009-11-12,190.0,214.30,213.42
201DB190,코스피200 C 200911 190.0,-,0,0,14,2009-09-15,KRDRVOPK2I,2009-11-12,190.0,215.80,216.14
201DB190,코스피200 C 200911 190.0,32.00,3,"9,565,000",14,2009-09-16,KRDRVOPK2I,2009-11-12,190.0,220.25,220.53
201DB190,코스피200 C 200911 190.0,-,0,0,14,2009-09-17,KRDRVOPK2I,2009-11-12,190.0,222.65,222.31
201DB190,코스피200 C 200911 190.0,-,0,0,14,2009-09-18,KRDRVOPK2I,2009-11-12,190.0,222.15,222.34
201DB190,코스피200 C 200911 190.0,32.45,1,"3,245,000",14,2009-09-21,KRDRVOPK2I,2009-11-12,190.0,222.40,221.85
201DB190,코스피200 C 200911 190.0,35.45,13,"46,080,000",24,2009-09-22,KRDRVOPK2I,2009-11-12,190.0,225.00,225.27
201DB190,코스피200 C 200911 190.0,-,0,0,24,2009-09-23,KRDRVOPK2I,2009-11-12,190.0,225.40,224.69
201DB190,코스피200 C 200911 190.0,32.90,10,"32,160,000",30,2009-09-24,KRDRVOPK2I,2009-11-12,190.0,222.80,222.35
201DB190,코스피200 C 200911 190.0,31.85,7,"21,975,000",32,2009-09-25,KRDRVOPK2I,2009-11-12,190.0,221.50,221.82
201DB190,코스피200 C 200911 190.0,31.20,4,"12,220,000",35,2009-09-28,KRDRVOPK2I,2009-11-12,190.0,219.90,219.66
201DB190,코스피200 C 200911 190.0,31.60,11,"34,540,000",44,2009-09-29,KRDRVOPK2I,2009-11-12,190.0,222.20,221.59
201DB190,코스피200 C 200911 190.0,31.00,6,"19,525,000",45,2009-09-30,KRDRVOPK2I,2009-11-12,190.0,221.30,219.75
201DB190,코스피200 C 200911 190.0,26.85,171,"499,125,000",197,2009-10-01,KRDRVOPK2I,2009-11-12,190.0,215.75,215.94
201DB190,코스피200 C 200911 190.0,22.60,66,"155,460,000",258,2009-10-05,KRDRVOPK2I,2009-11-12,190.0,210.60,210.38
201DB190,코스피200 C 200911 190.0,21.00,16,"35,110,000",272,2009-10-06,KRDRVOPK2I,2009-11-12,190.0,209.65,209.25
201DB190,코스피200 C 200911 190.0,21.05,677,"1,476,645,000",881,2009-10-07,KRDRVOPK2I,2009-11-12,190.0,209.10,208.94
201DB190,코스피200 C 200911 190.0,22.70,935,"1,941,130,000","1,663",2009-10-08,KRDRVOPK2I,2009-11-12,190.0,212.50,211.01
201DB190,코스피200 C 200911 190.0,26.40,973,"2,467,410,000","2,448",2009-10-09,KRDRVOPK2I,2009-11-12,190.0,216.60,215.57
201DB190,코스피200 C 200911 190.0,24.65,49,"119,020,000","2,480",2009-10-12,KRDRVOPK2I,2009-11-12,190.0,214.95,214.23
201DB190,코스피200 C 200911 190.0,23.60,59,"136,120,000","2,505",2009-10-13,KRDRVOPK2I,2009-11-12,190.0,213.65,213.10
201DB190,코스피200 C 200911 190.0,26.10,45,"116,715,000","2,544",2009-10-14,KRDRVOPK2I,2009-11-12,190.0,215.70,215.90
201DB190,코스피200 C 200911 190.0,27.45,96,"268,260,000","2,572",2009-10-15,KRDRVOPK2I,2009-11-12,190.0,217.40,217.47
201DB190,코스피200 C 200911 190.0,25.50,63,"170,005,000","2,614",2009-10-16,KRDRVOPK2I,2009-11-12,190.0,215.80,214.91
201DB190,코스피200 C 200911 190.0,25.30,57,"136,495,000","2,610",2009-10-19,KRDRVOPK2I,2009-11-12,190.0,216.50,216.19
201DB190,코스피200 C 200911 190.0,27.80,24,"65,860,000","2,629",2009-10-20,KRDRVOPK2I,2009-11-12,190.0,218.25,217.53
201DB190,코스피200 C 200911 190.0,26.65,42,"112,810,000","2,651",2009-10-21,KRDRVOPK2I,2009-11-12,190.0,217.10,216.64
201DB190,코스피200 C 200911 190.0,23.10,339,"817,810,000","2,668",2009-10-22,KRDRVOPK2I,2009-11-12,190.0,213.30,213.25
201DB190,코스피200 C 200911 190.0,25.10,107,"264,065,000","2,574",2009-10-23,KRDRVOPK2I,2009-11-12,190.0,215.20,214.73
201DB190,코스피200 C 200911 190.0,27.50,4,"11,105,000","2,576",2009-10-26,KRDRVOPK2I,2009-11-12,190.0,218.05,217.45
