ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201DC215,코스피200 C 200912 215.0,5.50,318,"174,530,000",313,2009-07-28,KRDRVOPK2I,2009-12-10,215.0,198.90,198.52
201DC215,코스피200 C 200912 215.0,5.50,365,"212,200,000",581,2009-07-29,KRDRVOPK2I,2009-12-10,215.0,198.00,198.24
201DC215,코스피200 C 200912 215.0,6.10,354,"205,625,000",813,2009-07-30,KRDRVOPK2I,2009-12-10,215.0,200.15,199.88
201DC215,코스피200 C 200912 215.0,7.50,496,"341,105,000","1,070",2009-07-31,KRDRVOPK2I,2009-12-10,215.0,203.20,202.96
201DC215,코스피200 C 200912 215.0,7.50,256,"199,405,000","1,292",2009-08-03,KRDRVOPK2I,2009-12-10,215.0,203.60,203.81
201DC215,코스피200 C 200912 215.0,7.65,3,"2,470,000","1,292",2009-08-04,KRDRVOPK2I,2009-12-10,215.0,204.05,204.10
201DC215,코스피200 C 200912 215.0,7.20,4,"3,065,000","1,291",2009-08-05,KRDRVOPK2I,2009-12-10,215.0,203.30,203.19
201DC215,코스피200 C 200912 215.0,7.25,67,"49,340,000","1,274",2009-08-06,KRDRVOPK2I,2009-12-10,215.0,203.90,203.74
201DC215,코스피200 C 200912 215.0,7.05,53,"37,365,000","1,274",2009-08-07,KRDRVOPK2I,2009-12-10,215.0,205.20,204.95
201DC215,코스피200 C 200912 215.0,7.45,6,"4,800,000","1,274",2009-08-10,KRDRVOPK2I,2009-12-10,215.0,205.15,204.77
201DC215,코스피200 C 200912 215.0,-,0,0,"1,274",2009-08-11,KRDRVOPK2I,2009-12-10,215.0,205.25,204.96
201DC215,코스피200 C 200912 215.0,6.50,9,"5,950,000","1,271",2009-08-12,KRDRVOPK2I,2009-12-10,215.0,202.40,202.67
201DC215,코스피200 C 200912 215.0,6.95,27,"19,320,000","1,278",2009-08-13,KRDRVOPK2I,2009-12-10,215.0,204.20,202.46
201DC215,코스피200 C 200912 215.0,8.25,55,"42,365,000","1,248",2009-08-14,KRDRVOPK2I,2009-12-10,215.0,207.00,206.46
201DC215,코스피200 C 200912 215.0,5.90,80,"53,075,000","1,265",2009-08-17,KRDRVOPK2I,2009-12-10,215.0,200.45,200.52
201DC215,코스피200 C 200912 215.0,5.50,15,"8,905,000","1,263",2009-08-18,KRDRVOPK2I,2009-12-10,215.0,201.20,201.33
201DC215,코스피200 C 200912 215.0,5.90,3,"1,770,000","1,266",2009-08-19,KRDRVOPK2I,2009-12-10,215.0,201.30,201.08
201DC215,코스피200 C 200912 215.0,7.40,75,"49,850,000","1,192",2009-08-20,KRDRVOPK2I,2009-12-10,215.0,205.50,205.22
201DC215,코스피200 C 200912 215.0,7.20,157,"116,915,000","1,194",2009-08-21,KRDRVOPK2I,2009-12-10,215.0,206.10,206.26
201DC215,코스피200 C 200912 215.0,9.05,56,"50,930,000","1,159",2009-08-24,KRDRVOPK2I,2009-12-10,215.0,210.00,210.60
201DC215,코스피200 C 200912 215.0,8.70,29,"26,155,000","1,175",2009-08-25,KRDRVOPK2I,2009-12-10,215.0,208.85,209.12
201DC215,코스피200 C 200912 215.0,8.90,32,"28,780,000","1,187",2009-08-26,KRDRVOPK2I,2009-12-10,215.0,210.70,210.62
