ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201E2230,코스피200 C 201002 230.0,2.33,37,"8,569,000",37,2009-11-20,KRDRVOPK2I,2010-02-11,230.0,214.20,213.76
201E2230,코스피200 C 201002 230.0,2.25,110,"24,265,000",122,2009-11-23,KRDRVOPK2I,2010-02-11,230.0,214.05,213.72
201E2230,코스피200 C 201002 230.0,1.79,"2,400","446,593,000","2,447",2009-11-24,KRDRVOPK2I,2010-02-11,230.0,212.00,211.92
201E2230,코스피200 C 201002 230.0,1.90,200,"36,435,000","2,525",2009-11-25,KRDRVOPK2I,2010-02-11,230.0,212.95,212.61
201E2230,코스피200 C 201002 230.0,1.53,330,"60,896,000","2,745",2009-11-26,KRDRVOPK2I,2010-02-11,230.0,211.30,210.77
201E2230,코스피200 C 201002 230.0,0.80,699,"63,695,000","3,204",2009-11-27,KRDRVOPK2I,2010-02-11,230.0,201.60,200.73
201E2230,코스피200 C 201002 230.0,0.78,"1,075","90,321,000","3,874",2009-11-30,KRDRVOPK2I,2010-02-11,230.0,203.85,204.75
201E2230,코스피200 C 201002 230.0,0.99,"1,276","108,760,000","4,681",2009-12-01,KRDRVOPK2I,2010-02-11,230.0,206.80,207.07
201E2230,코스피200 C 201002 230.0,1.18,"4,377","516,882,000","3,819",2009-12-02,KRDRVOPK2I,2010-02-11,230.0,210.60,210.25
201E2230,코스피200 C 201002 230.0,1.54,"3,345","478,557,000","4,196",2009-12-03,KRDRVOPK2I,2010-02-11,230.0,213.50,213.31
201E2230,코스피200 C 201002 230.0,1.84,"1,243","220,938,000","4,624",2009-12-04,KRDRVOPK2I,2010-02-11,230.0,214.80,214.50
201E2230,코스피200 C 201002 230.0,2.05,"1,855","364,328,000","5,225",2009-12-07,KRDRVOPK2I,2010-02-11,230.0,215.30,215.55
