ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201EA220,코스피200 C 201010 220.0,10.95,40,"41,860,000",38,2010-07-09,KRDRVOPK2I,2010-10-14,220.0,225.30,224.44
201EA220,코스피200 C 201010 220.0,-,0,0,38,2010-07-12,KRDRVOPK2I,2010-10-14,220.0,226.30,225.86
201EA220,코스피200 C 201010 220.0,-,0,0,38,2010-07-13,KRDRVOPK2I,2010-10-14,220.0,226.45,226.14
201EA220,코스피200 C 201010 220.0,-,0,0,38,2010-07-14,KRDRVOPK2I,2010-10-14,220.0,230.35,229.27
201EA220,코스피200 C 201010 220.0,-,0,0,38,2010-07-15,KRDRVOPK2I,2010-10-14,220.0,229.65,228.39
201EA220,코스피200 C 201010 220.0,-,0,0,38,2010-07-16,KRDRVOPK2I,2010-10-14,220.0,227.05,226.34
201EA220,코스피200 C 201010 220.0,12.85,7,"9,015,000",40,2010-07-19,KRDRVOPK2I,2010-10-14,220.0,225.60,225.32
201EA220,코스피200 C 201010 220.0,13.05,107,"139,435,000",146,2010-07-20,KRDRVOPK2I,2010-10-14,220.0,226.50,225.84
201EA220,코스피200 C 201010 220.0,14.00,1,"1,400,000",147,2010-07-21,KRDRVOPK2I,2010-10-14,220.0,228.30,227.88
201EA220,코스피200 C 201010 220.0,-,0,0,147,2010-07-22,KRDRVOPK2I,2010-10-14,220.0,226.15,226.23
201EA220,코스피200 C 201010 220.0,14.90,59,"87,820,000",203,2010-07-23,KRDRVOPK2I,2010-10-14,220.0,230.10,229.50
201EA220,코스피200 C 201010 220.0,16.05,35,"53,860,000",216,2010-07-26,KRDRVOPK2I,2010-10-14,220.0,231.30,230.87
201EA220,코스피200 C 201010 220.0,16.05,2,"3,200,000",217,2010-07-27,KRDRVOPK2I,2010-10-14,220.0,231.60,230.93
201EA220,코스피200 C 201010 220.0,-,0,0,217,2010-07-28,KRDRVOPK2I,2010-10-14,220.0,232.80,231.56
201EA220,코스피200 C 201010 220.0,-,0,0,217,2010-07-29,KRDRVOPK2I,2010-10-14,220.0,232.35,231.16
201EA220,코스피200 C 201010 220.0,14.80,6,"9,060,000",220,2010-07-30,KRDRVOPK2I,2010-10-14,220.0,230.20,229.25
201EA220,코스피200 C 201010 220.0,16.55,4,"6,685,000",219,2010-08-02,KRDRVOPK2I,2010-10-14,220.0,233.25,232.22
201EA220,코스피200 C 201010 220.0,17.10,1,"1,710,000",220,2010-08-03,KRDRVOPK2I,2010-10-14,220.0,234.15,233.38
201EA220,코스피200 C 201010 220.0,16.05,7,"11,495,000",220,2010-08-04,KRDRVOPK2I,2010-10-14,220.0,233.50,233.14
201EA220,코스피200 C 201010 220.0,16.20,15,"23,960,000",216,2010-08-05,KRDRVOPK2I,2010-10-14,220.0,233.65,232.39
201EA220,코스피200 C 201010 220.0,-,0,0,216,2010-08-06,KRDRVOPK2I,2010-10-14,220.0,233.35,232.35
201EA220,코스피200 C 201010 220.0,-,0,0,216,2010-08-09,KRDRVOPK2I,2010-10-14,220.0,233.90,233.14
201EA220,코스피200 C 201010 220.0,15.70,6,"9,270,000",219,2010-08-10,KRDRVOPK2I,2010-10-14,220.0,232.60,232.04
201EA220,코스피200 C 201010 220.0,12.85,1,"1,285,000",220,2010-08-11,KRDRVOPK2I,2010-10-14,220.0,228.10,228.98
201EA220,코스피200 C 201010 220.0,10.25,27,"29,000,000",228,2010-08-12,KRDRVOPK2I,2010-10-14,220.0,224.80,223.96
201EA220,코스피200 C 201010 220.0,11.05,792,"840,045,000",420,2010-08-13,KRDRVOPK2I,2010-10-14,220.0,226.65,227.01
201EA220,코스피200 C 201010 220.0,10.70,631,"595,245,000",872,2010-08-16,KRDRVOPK2I,2010-10-14,220.0,226.15,226.51
201EA220,코스피200 C 201010 220.0,11.85,82,"89,950,000",883,2010-08-17,KRDRVOPK2I,2010-10-14,220.0,228.60,227.96
201EA220,코스피200 C 201010 220.0,12.20,48,"56,935,000",893,2010-08-18,KRDRVOPK2I,2010-10-14,220.0,228.85,228.90
201EA220,코스피200 C 201010 220.0,14.95,"1,673","2,430,235,000","1,518",2010-08-19,KRDRVOPK2I,2010-10-14,220.0,232.70,231.88
201EA220,코스피200 C 201010 220.0,14.30,"1,999","2,842,225,000","3,399",2010-08-20,KRDRVOPK2I,2010-10-14,220.0,231.60,231.17
201EA220,코스피200 C 201010 220.0,13.75,327,"481,360,000","3,452",2010-08-23,KRDRVOPK2I,2010-10-14,220.0,231.00,230.20
201EA220,코스피200 C 201010 220.0,12.75,516,"648,980,000","3,657",2010-08-24,KRDRVOPK2I,2010-10-14,220.0,229.50,229.42
201EA220,코스피200 C 201010 220.0,10.20,850,"949,220,000","3,914",2010-08-25,KRDRVOPK2I,2010-10-14,220.0,226.45,225.99
201EA220,코스피200 C 201010 220.0,9.80,333,"351,615,000","3,970",2010-08-26,KRDRVOPK2I,2010-10-14,220.0,225.30,225.39
201EA220,코스피200 C 201010 220.0,9.35,348,"320,285,000","3,953",2010-08-27,KRDRVOPK2I,2010-10-14,220.0,225.15,225.52
201EA220,코스피200 C 201010 220.0,12.40,422,"493,490,000","4,183",2010-08-30,KRDRVOPK2I,2010-10-14,220.0,230.00,229.63
201EA220,코스피200 C 201010 220.0,9.75,"1,272","1,307,225,000","4,803",2010-08-31,KRDRVOPK2I,2010-10-14,220.0,226.55,226.81
201EA220,코스피200 C 201010 220.0,12.20,460,"543,595,000","4,837",2010-09-01,KRDRVOPK2I,2010-10-14,220.0,229.75,229.41
201EA220,코스피200 C 201010 220.0,13.25,416,"525,200,000","4,681",2010-09-02,KRDRVOPK2I,2010-10-14,220.0,231.30,230.66
201EA220,코스피200 C 201010 220.0,13.05,719,"980,585,000","4,486",2010-09-03,KRDRVOPK2I,2010-10-14,220.0,231.10,231.04
201EA220,코스피200 C 201010 220.0,14.65,80,"113,620,000","4,528",2010-09-06,KRDRVOPK2I,2010-10-14,220.0,233.00,232.77
201EA220,코스피200 C 201010 220.0,14.15,243,"349,340,000","4,588",2010-09-07,KRDRVOPK2I,2010-10-14,220.0,233.00,232.45
201EA220,코스피200 C 201010 220.0,12.55,940,"1,201,745,000","5,032",2010-09-08,KRDRVOPK2I,2010-10-14,220.0,230.60,230.94
201EA220,코스피200 C 201010 220.0,13.80,"1,557","2,057,215,000","5,001",2010-09-09,KRDRVOPK2I,2010-10-14,220.0,231.45,231.53
201EA220,코스피200 C 201010 220.0,15.75,585,"938,180,000","4,995",2010-09-10,KRDRVOPK2I,2010-10-14,220.0,235.85,233.93
201EA220,코스피200 C 201010 220.0,17.80,483,"818,295,000","5,113",2010-09-13,KRDRVOPK2I,2010-10-14,220.0,238.00,236.34
201EA220,코스피200 C 201010 220.0,17.25,450,"783,930,000","5,168",2010-09-14,KRDRVOPK2I,2010-10-14,220.0,237.80,235.98
201EA220,코스피200 C 201010 220.0,18.30,443,"774,870,000","5,339",2010-09-15,KRDRVOPK2I,2010-10-14,220.0,239.00,237.14
201EA220,코스피200 C 201010 220.0,16.60,83,"144,145,000","5,366",2010-09-16,KRDRVOPK2I,2010-10-14,220.0,237.10,235.37
201EA220,코스피200 C 201010 220.0,17.90,335,"588,340,000","5,295",2010-09-17,KRDRVOPK2I,2010-10-14,220.0,238.25,237.64
201EA220,코스피200 C 201010 220.0,18.55,79,"144,945,000","5,292",2010-09-20,KRDRVOPK2I,2010-10-14,220.0,239.60,238.29
201EA220,코스피200 C 201010 220.0,19.90,300,"570,445,000","5,248",2010-09-24,KRDRVOPK2I,2010-10-14,220.0,240.55,239.80
201EA220,코스피200 C 201010 220.0,21.70,375,"803,145,000","5,192",2010-09-27,KRDRVOPK2I,2010-10-14,220.0,242.35,241.38
201EA220,코스피200 C 201010 220.0,21.75,25,"53,665,000","5,191",2010-09-28,KRDRVOPK2I,2010-10-14,220.0,242.20,240.59
201EA220,코스피200 C 201010 220.0,23.30,12,"27,210,000","5,187",2010-09-29,KRDRVOPK2I,2010-10-14,220.0,243.90,242.27
201EA220,코스피200 C 201010 220.0,23.05,11,"25,260,000","5,185",2010-09-30,KRDRVOPK2I,2010-10-14,220.0,243.75,242.95
