ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201EB227,코스피200 C 201011 227.5,7.65,67,"51,365,000",66,2010-08-13,KRDRVOPK2I,2010-11-11,227.5,226.65,227.01
201EB227,코스피200 C 201011 227.5,7.75,136,"94,665,000",154,2010-08-16,KRDRVOPK2I,2010-11-11,227.5,226.15,226.51
201EB227,코스피200 C 201011 227.5,8.60,41,"33,105,000",160,2010-08-17,KRDRVOPK2I,2010-11-11,227.5,228.60,227.96
201EB227,코스피200 C 201011 227.5,9.10,121,"108,525,000",130,2010-08-18,KRDRVOPK2I,2010-11-11,227.5,228.85,228.90
201EB227,코스피200 C 201011 227.5,10.25,2,"2,050,000",130,2010-08-19,KRDRVOPK2I,2010-11-11,227.5,232.70,231.88
201EB227,코스피200 C 201011 227.5,10.00,3,"3,020,000",130,2010-08-20,KRDRVOPK2I,2010-11-11,227.5,231.60,231.17
201EB227,코스피200 C 201011 227.5,11.05,15,"16,575,000",130,2010-08-23,KRDRVOPK2I,2010-11-11,227.5,231.00,230.20
201EB227,코스피200 C 201011 227.5,10.15,10,"9,820,000",132,2010-08-24,KRDRVOPK2I,2010-11-11,227.5,229.50,229.42
201EB227,코스피200 C 201011 227.5,7.65,307,"262,610,000",147,2010-08-25,KRDRVOPK2I,2010-11-11,227.5,226.45,225.99
201EB227,코스피200 C 201011 227.5,7.50,27,"21,305,000",156,2010-08-26,KRDRVOPK2I,2010-11-11,227.5,225.30,225.39
201EB227,코스피200 C 201011 227.5,6.90,55,"37,495,000",168,2010-08-27,KRDRVOPK2I,2010-11-11,227.5,225.15,225.52
201EB227,코스피200 C 201011 227.5,8.90,84,"70,825,000",204,2010-08-30,KRDRVOPK2I,2010-11-11,227.5,230.00,229.63
201EB227,코스피200 C 201011 227.5,7.25,184,"144,720,000",257,2010-08-31,KRDRVOPK2I,2010-11-11,227.5,226.55,226.81
201EB227,코스피200 C 201011 227.5,9.05,59,"50,530,000",270,2010-09-01,KRDRVOPK2I,2010-11-11,227.5,229.75,229.41
201EB227,코스피200 C 201011 227.5,9.80,38,"34,980,000",245,2010-09-02,KRDRVOPK2I,2010-11-11,227.5,231.30,230.66
201EB227,코스피200 C 201011 227.5,-,0,0,245,2010-09-03,KRDRVOPK2I,2010-11-11,227.5,231.10,231.04
201EB227,코스피200 C 201011 227.5,10.35,32,"32,970,000",232,2010-09-06,KRDRVOPK2I,2010-11-11,227.5,233.00,232.77
201EB227,코스피200 C 201011 227.5,9.45,3,"3,045,000",232,2010-09-07,KRDRVOPK2I,2010-11-11,227.5,233.00,232.45
201EB227,코스피200 C 201011 227.5,9.20,133,"119,095,000",320,2010-09-08,KRDRVOPK2I,2010-11-11,227.5,230.60,230.94
201EB227,코스피200 C 201011 227.5,9.65,248,"226,520,000",491,2010-09-09,KRDRVOPK2I,2010-11-11,227.5,231.45,231.53
201EB227,코스피200 C 201011 227.5,11.50,87,"101,820,000",534,2010-09-10,KRDRVOPK2I,2010-11-11,227.5,235.85,233.93
