ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201FC212,코스피200 C 201112 212.5,-,0,0,0,2011-09-09,KRDRVOPK2I,2011-12-08,212.5,233.60,233.40
201FC212,코스피200 C 201112 212.5,24.75,1,"2,475,000",1,2011-09-14,KRDRVOPK2I,2011-12-08,212.5,226.10,225.15
201FC212,코스피200 C 201112 212.5,-,0,0,1,2011-09-15,KRDRVOPK2I,2011-12-08,212.5,230.15,228.58
201FC212,코스피200 C 201112 212.5,-,0,0,1,2011-09-16,KRDRVOPK2I,2011-12-08,212.5,239.00,237.50
201FC212,코스피200 C 201112 212.5,30.60,6,"18,360,000",6,2011-09-19,KRDRVOPK2I,2011-12-08,212.5,236.60,235.32
201FC212,코스피200 C 201112 212.5,-,0,0,6,2011-09-20,KRDRVOPK2I,2011-12-08,212.5,238.90,237.53
201FC212,코스피200 C 201112 212.5,33.70,1,"3,370,000",6,2011-09-21,KRDRVOPK2I,2011-12-08,212.5,240.75,239.51
201FC212,코스피200 C 201112 212.5,-,0,0,6,2011-09-22,KRDRVOPK2I,2011-12-08,212.5,231.00,232.05
201FC212,코스피200 C 201112 212.5,20.05,3,"6,265,000",6,2011-09-23,KRDRVOPK2I,2011-12-08,212.5,218.90,218.62
201FC212,코스피200 C 201112 212.5,18.10,2,"3,795,000",6,2011-09-26,KRDRVOPK2I,2011-12-08,212.5,214.35,214.18
201FC212,코스피200 C 201112 212.5,21.80,1,"2,180,000",7,2011-09-27,KRDRVOPK2I,2011-12-08,212.5,228.30,225.29
201FC212,코스피200 C 201112 212.5,-,0,0,7,2011-09-28,KRDRVOPK2I,2011-12-08,212.5,224.25,223.82
201FC212,코스피200 C 201112 212.5,25.95,1,"2,595,000",8,2011-09-29,KRDRVOPK2I,2011-12-08,212.5,229.55,230.37
201FC212,코스피200 C 201112 212.5,27.30,2,"5,145,000",10,2011-09-30,KRDRVOPK2I,2011-12-08,212.5,228.80,230.41
201FC212,코스피200 C 201112 212.5,19.65,1,"1,965,000",11,2011-10-04,KRDRVOPK2I,2011-12-08,212.5,221.00,221.93
201FC212,코스피200 C 201112 212.5,19.60,1,"1,960,000",12,2011-10-05,KRDRVOPK2I,2011-12-08,212.5,218.80,217.34
201FC212,코스피200 C 201112 212.5,23.25,1,"2,325,000",13,2011-10-06,KRDRVOPK2I,2011-12-08,212.5,225.55,223.94
201FC212,코스피200 C 201112 212.5,-,0,0,13,2011-10-07,KRDRVOPK2I,2011-12-08,212.5,229.85,230.27
201FC212,코스피200 C 201112 212.5,-,0,0,13,2011-10-10,KRDRVOPK2I,2011-12-08,212.5,231.35,230.82
201FC212,코스피200 C 201112 212.5,-,0,0,13,2011-10-11,KRDRVOPK2I,2011-12-08,212.5,235.30,234.80
201FC212,코스피200 C 201112 212.5,-,0,0,13,2011-10-12,KRDRVOPK2I,2011-12-08,212.5,236.60,236.66
201FC212,코스피200 C 201112 212.5,-,0,0,13,2011-10-13,KRDRVOPK2I,2011-12-08,212.5,238.30,238.09
201FC212,코스피200 C 201112 212.5,-,0,0,13,2011-10-14,KRDRVOPK2I,2011-12-08,212.5,240.60,239.67
201FC212,코스피200 C 201112 212.5,32.00,1,"3,200,000",12,2011-10-17,KRDRVOPK2I,2011-12-08,212.5,243.80,243.49
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-18,KRDRVOPK2I,2011-12-08,212.5,239.00,239.89
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-19,KRDRVOPK2I,2011-12-08,212.5,243.35,242.11
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-20,KRDRVOPK2I,2011-12-08,212.5,234.90,235.57
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-21,KRDRVOPK2I,2011-12-08,212.5,239.80,240.02
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-24,KRDRVOPK2I,2011-12-08,212.5,248.15,248.21
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-25,KRDRVOPK2I,2011-12-08,212.5,248.20,247.20
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-26,KRDRVOPK2I,2011-12-08,212.5,247.25,247.56
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-27,KRDRVOPK2I,2011-12-08,212.5,251.80,251.20
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-28,KRDRVOPK2I,2011-12-08,212.5,252.85,252.47
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-10-31,KRDRVOPK2I,2011-12-08,212.5,251.30,249.88
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-11-01,KRDRVOPK2I,2011-12-08,212.5,250.55,249.92
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-11-02,KRDRVOPK2I,2011-12-08,212.5,249.00,248.03
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-11-03,KRDRVOPK2I,2011-12-08,212.5,244.50,244.09
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-11-04,KRDRVOPK2I,2011-12-08,212.5,252.50,252.34
201FC212,코스피200 C 201112 212.5,-,0,0,12,2011-11-07,KRDRVOPK2I,2011-12-08,212.5,250.55,250.78
