ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201G7220,코스피200 C 201207 220.0,-,0,0,0,2012-05-21,KRDRVOPK2I,2012-07-12,220.0,238.05,238.62
201G7220,코스피200 C 201207 220.0,-,0,0,0,2012-05-22,KRDRVOPK2I,2012-07-12,220.0,242.05,242.66
201G7220,코스피200 C 201207 220.0,-,0,0,0,2012-05-23,KRDRVOPK2I,2012-07-12,220.0,240.15,239.76
201G7220,코스피200 C 201207 220.0,-,0,0,0,2012-05-24,KRDRVOPK2I,2012-07-12,220.0,240.35,240.51
201G7220,코스피200 C 201207 220.0,-,0,0,0,2012-05-25,KRDRVOPK2I,2012-07-12,220.0,241.20,241.60
201G7220,코스피200 C 201207 220.0,25.00,1,"12,500,000",1,2012-05-29,KRDRVOPK2I,2012-07-12,220.0,245.15,245.26
201G7220,코스피200 C 201207 220.0,25.45,10,"123,900,000",7,2012-05-30,KRDRVOPK2I,2012-07-12,220.0,243.55,244.68
201G7220,코스피200 C 201207 220.0,23.45,163,"1,875,325,000",164,2012-05-31,KRDRVOPK2I,2012-07-12,220.0,243.00,244.05
201G7220,코스피200 C 201207 220.0,25.40,8,"100,450,000",170,2012-06-01,KRDRVOPK2I,2012-07-12,220.0,242.95,242.98
201G7220,코스피200 C 201207 220.0,20.55,115,"1,174,825,000",285,2012-06-04,KRDRVOPK2I,2012-07-12,220.0,236.75,236.30
201G7220,코스피200 C 201207 220.0,22.75,6,"66,900,000",287,2012-06-05,KRDRVOPK2I,2012-07-12,220.0,239.50,238.79
201G7220,코스피200 C 201207 220.0,27.25,8,"110,025,000",288,2012-06-07,KRDRVOPK2I,2012-07-12,220.0,245.60,245.51
201G7220,코스피200 C 201207 220.0,25.50,1,"12,750,000",288,2012-06-08,KRDRVOPK2I,2012-07-12,220.0,243.95,243.69
201G7220,코스피200 C 201207 220.0,29.40,180,"2,647,275,000",458,2012-06-11,KRDRVOPK2I,2012-07-12,220.0,248.50,248.30
201G7220,코스피200 C 201207 220.0,27.90,173,"2,382,175,000",602,2012-06-12,KRDRVOPK2I,2012-07-12,220.0,246.40,246.43
201G7220,코스피200 C 201207 220.0,28.60,94,"1,315,250,000",696,2012-06-13,KRDRVOPK2I,2012-07-12,220.0,247.50,247.08
201G7220,코스피200 C 201207 220.0,29.00,191,"2,707,675,000",867,2012-06-14,KRDRVOPK2I,2012-07-12,220.0,247.30,248.62
201G7220,코스피200 C 201207 220.0,28.25,42,"601,850,000",886,2012-06-15,KRDRVOPK2I,2012-07-12,220.0,248.90,246.57
201G7220,코스피200 C 201207 220.0,32.70,93,"1,547,950,000",945,2012-06-18,KRDRVOPK2I,2012-07-12,220.0,254.00,251.37
201G7220,코스피200 C 201207 220.0,32.00,23,"366,125,000",955,2012-06-19,KRDRVOPK2I,2012-07-12,220.0,253.90,251.31
201G7220,코스피200 C 201207 220.0,33.60,24,"399,650,000",968,2012-06-20,KRDRVOPK2I,2012-07-12,220.0,254.55,252.92
201G7220,코스피200 C 201207 220.0,31.70,12,"193,825,000",973,2012-06-21,KRDRVOPK2I,2012-07-12,220.0,252.70,250.46
201G7220,코스피200 C 201207 220.0,23.55,28,"353,725,000",978,2012-06-22,KRDRVOPK2I,2012-07-12,220.0,244.95,244.15
201G7220,코스피200 C 201207 220.0,20.35,10,"101,900,000",977,2012-06-25,KRDRVOPK2I,2012-07-12,220.0,241.40,240.75
201G7220,코스피200 C 201207 220.0,19.55,13,"131,200,000",980,2012-06-26,KRDRVOPK2I,2012-07-12,220.0,240.20,239.68
201G7220,코스피200 C 201207 220.0,19.65,67,"637,525,000","1,019",2012-06-27,KRDRVOPK2I,2012-07-12,220.0,240.50,239.85
201G7220,코스피200 C 201207 220.0,19.90,24,"239,050,000","1,019",2012-06-28,KRDRVOPK2I,2012-07-12,220.0,240.90,239.98
201G7220,코스피200 C 201207 220.0,24.55,35,"344,625,000","1,014",2012-06-29,KRDRVOPK2I,2012-07-12,220.0,245.70,244.90
201G7220,코스피200 C 201207 220.0,24.40,180,"2,232,900,000","1,087",2012-07-02,KRDRVOPK2I,2012-07-12,220.0,245.70,244.46
201G7220,코스피200 C 201207 220.0,26.45,88,"1,170,775,000","1,088",2012-07-03,KRDRVOPK2I,2012-07-12,220.0,247.55,246.80
201G7220,코스피200 C 201207 220.0,27.75,44,"604,825,000","1,065",2012-07-04,KRDRVOPK2I,2012-07-12,220.0,248.40,247.76
201G7220,코스피200 C 201207 220.0,26.75,13,"175,025,000","1,061",2012-07-05,KRDRVOPK2I,2012-07-12,220.0,248.45,247.67
201G7220,코스피200 C 201207 220.0,24.45,12,"152,300,000","1,058",2012-07-06,KRDRVOPK2I,2012-07-12,220.0,245.50,245.07
201G7220,코스피200 C 201207 220.0,21.65,43,"493,425,000","1,054",2012-07-09,KRDRVOPK2I,2012-07-12,220.0,242.45,241.73
201G7220,코스피200 C 201207 220.0,20.80,32,"349,200,000","1,039",2012-07-10,KRDRVOPK2I,2012-07-12,220.0,242.00,240.88
201G7220,코스피200 C 201207 220.0,20.35,17,"169,925,000","1,038",2012-07-11,KRDRVOPK2I,2012-07-12,220.0,240.90,240.34
201G7220,코스피200 C 201207 220.0,16.95,75,"735,400,000",0,2012-07-12,KRDRVOPK2I,2012-07-12,220.0,236.20,234.66
