ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201GB252,코스피200 C 201211 252.5,-,0,0,0,2012-08-10,KRDRVOPK2I,2012-11-08,252.5,260.20,258.91
201GB252,코스피200 C 201211 252.5,14.15,1,"7,075,000",1,2012-08-13,KRDRVOPK2I,2012-11-08,252.5,258.55,256.65
201GB252,코스피200 C 201211 252.5,14.75,1,"7,375,000",2,2012-08-14,KRDRVOPK2I,2012-11-08,252.5,261.00,260.11
201GB252,코스피200 C 201211 252.5,15.35,1,"7,675,000",3,2012-08-16,KRDRVOPK2I,2012-11-08,252.5,261.25,260.08
201GB252,코스피200 C 201211 252.5,14.60,1,"7,300,000",3,2012-08-17,KRDRVOPK2I,2012-11-08,252.5,260.20,258.20
201GB252,코스피200 C 201211 252.5,13.70,1,"6,850,000",3,2012-08-20,KRDRVOPK2I,2012-11-08,252.5,259.40,258.03
201GB252,코스피200 C 201211 252.5,15.00,1,"7,500,000",4,2012-08-21,KRDRVOPK2I,2012-11-08,252.5,259.05,257.50
201GB252,코스피200 C 201211 252.5,12.80,1,"6,400,000",5,2012-08-22,KRDRVOPK2I,2012-11-08,252.5,256.55,256.21
201GB252,코스피200 C 201211 252.5,13.20,1,"6,600,000",6,2012-08-23,KRDRVOPK2I,2012-11-08,252.5,258.50,257.28
201GB252,코스피200 C 201211 252.5,11.45,1,"5,725,000",7,2012-08-24,KRDRVOPK2I,2012-11-08,252.5,254.85,253.73
201GB252,코스피200 C 201211 252.5,10.30,1,"5,150,000",8,2012-08-27,KRDRVOPK2I,2012-11-08,252.5,254.60,252.77
201GB252,코스피200 C 201211 252.5,9.60,1,"4,800,000",9,2012-08-28,KRDRVOPK2I,2012-11-08,252.5,253.55,252.57
201GB252,코스피200 C 201211 252.5,10.00,2,"10,025,000",11,2012-08-29,KRDRVOPK2I,2012-11-08,252.5,254.80,254.22
201GB252,코스피200 C 201211 252.5,8.55,6,"24,175,000",15,2012-08-30,KRDRVOPK2I,2012-11-08,252.5,250.50,250.96
201GB252,코스피200 C 201211 252.5,8.35,1,"4,175,000",16,2012-08-31,KRDRVOPK2I,2012-11-08,252.5,250.10,250.56
201GB252,코스피200 C 201211 252.5,8.25,13,"50,675,000",25,2012-09-03,KRDRVOPK2I,2012-11-08,252.5,251.15,251.23
201GB252,코스피200 C 201211 252.5,7.70,12,"46,900,000",32,2012-09-04,KRDRVOPK2I,2012-11-08,252.5,250.70,250.56
201GB252,코스피200 C 201211 252.5,5.85,1,"2,925,000",33,2012-09-05,KRDRVOPK2I,2012-11-08,252.5,245.35,245.75
201GB252,코스피200 C 201211 252.5,5.80,4,"11,525,000",31,2012-09-06,KRDRVOPK2I,2012-11-08,252.5,246.25,246.79
201GB252,코스피200 C 201211 252.5,8.65,1,"4,325,000",31,2012-09-07,KRDRVOPK2I,2012-11-08,252.5,254.20,254.02
201GB252,코스피200 C 201211 252.5,9.10,2,"9,100,000",31,2012-09-10,KRDRVOPK2I,2012-11-08,252.5,253.65,253.38
201GB252,코스피200 C 201211 252.5,8.20,44,"176,125,000",51,2012-09-11,KRDRVOPK2I,2012-11-08,252.5,252.80,252.73
201GB252,코스피200 C 201211 252.5,10.70,4,"18,925,000",51,2012-09-12,KRDRVOPK2I,2012-11-08,252.5,256.95,256.95
201GB252,코스피200 C 201211 252.5,10.40,35,"185,975,000",79,2012-09-13,KRDRVOPK2I,2012-11-08,252.5,256.60,256.87
201GB252,코스피200 C 201211 252.5,17.15,49,"400,050,000",128,2012-09-14,KRDRVOPK2I,2012-11-08,252.5,266.60,265.02
201GB252,코스피200 C 201211 252.5,15.65,1,"7,825,000",129,2012-09-17,KRDRVOPK2I,2012-11-08,252.5,265.95,263.97
201GB252,코스피200 C 201211 252.5,15.60,3,"23,450,000",130,2012-09-18,KRDRVOPK2I,2012-11-08,252.5,266.20,264.25
201GB252,코스피200 C 201211 252.5,-,0,0,130,2012-09-19,KRDRVOPK2I,2012-11-08,252.5,267.00,264.44
201GB252,코스피200 C 201211 252.5,15.25,1,"7,625,000",131,2012-09-20,KRDRVOPK2I,2012-11-08,252.5,264.35,261.87
201GB252,코스피200 C 201211 252.5,15.40,1,"7,700,000",131,2012-09-21,KRDRVOPK2I,2012-11-08,252.5,265.05,263.41
201GB252,코스피200 C 201211 252.5,14.55,2,"14,525,000",131,2012-09-24,KRDRVOPK2I,2012-11-08,252.5,265.40,263.56
201GB252,코스피200 C 201211 252.5,-,0,0,131,2012-09-25,KRDRVOPK2I,2012-11-08,252.5,264.55,262.03
201GB252,코스피200 C 201211 252.5,11.70,1,"5,850,000",131,2012-09-26,KRDRVOPK2I,2012-11-08,252.5,262.35,260.42
201GB252,코스피200 C 201211 252.5,12.90,3,"17,675,000",131,2012-09-27,KRDRVOPK2I,2012-11-08,252.5,264.25,261.62
201GB252,코스피200 C 201211 252.5,13.10,1,"6,550,000",132,2012-09-28,KRDRVOPK2I,2012-11-08,252.5,264.20,262.49
201GB252,코스피200 C 201211 252.5,13.70,1,"6,850,000",132,2012-10-02,KRDRVOPK2I,2012-11-08,252.5,263.70,262.48
201GB252,코스피200 C 201211 252.5,12.35,7,"42,075,000",130,2012-10-04,KRDRVOPK2I,2012-11-08,252.5,263.85,261.92
201GB252,코스피200 C 201211 252.5,12.45,6,"38,925,000",134,2012-10-05,KRDRVOPK2I,2012-11-08,252.5,264.10,262.07
201GB252,코스피200 C 201211 252.5,11.00,7,"37,350,000",134,2012-10-08,KRDRVOPK2I,2012-11-08,252.5,262.15,260.11
201GB252,코스피200 C 201211 252.5,10.65,22,"124,700,000",149,2012-10-09,KRDRVOPK2I,2012-11-08,252.5,262.00,259.66
201GB252,코스피200 C 201211 252.5,6.85,322,"1,230,700,000",293,2012-10-10,KRDRVOPK2I,2012-11-08,252.5,256.70,255.15
201GB252,코스피200 C 201211 252.5,5.35,"3,855","10,548,250,000","1,160",2012-10-11,KRDRVOPK2I,2012-11-08,252.5,254.25,252.84
201GB252,코스피200 C 201211 252.5,4.85,"8,722","21,964,050,000","2,404",2012-10-12,KRDRVOPK2I,2012-11-08,252.5,253.40,252.44
201GB252,코스피200 C 201211 252.5,4.30,"11,579","25,179,875,000","3,407",2012-10-15,KRDRVOPK2I,2012-11-08,252.5,253.10,251.44
201GB252,코스피200 C 201211 252.5,5.10,"8,474","21,006,075,000","3,110",2012-10-16,KRDRVOPK2I,2012-11-08,252.5,255.10,253.98
201GB252,코스피200 C 201211 252.5,6.35,"4,113","13,273,325,000","3,011",2012-10-17,KRDRVOPK2I,2012-11-08,252.5,257.30,256.06
201GB252,코스피200 C 201211 252.5,7.20,"2,291","8,018,200,000","3,031",2012-10-18,KRDRVOPK2I,2012-11-08,252.5,258.60,257.27
201GB252,코스피200 C 201211 252.5,5.25,"5,588","16,258,450,000","3,239",2012-10-19,KRDRVOPK2I,2012-11-08,252.5,255.75,254.79
201GB252,코스피200 C 201211 252.5,5.25,"17,990","37,438,070,000","3,834",2012-10-22,KRDRVOPK2I,2012-11-08,252.5,255.55,254.22
201GB252,코스피200 C 201211 252.5,3.55,"10,790","22,675,800,000","4,600",2012-10-23,KRDRVOPK2I,2012-11-08,252.5,252.70,251.86
201GB252,코스피200 C 201211 252.5,2.66,"116,212","160,063,155,000","10,227",2012-10-24,KRDRVOPK2I,2012-11-08,252.5,250.45,249.80
