ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201HB267,코스피200 C 201311 267.5,1.80,826,"756,940,000",586,2013-09-02,KRDRVOPK2I,2013-11-14,267.5,251.85,251.13
201HB267,코스피200 C 201311 267.5,2.03,652,"651,610,000",758,2013-09-03,KRDRVOPK2I,2013-11-14,267.5,252.60,252.05
201HB267,코스피200 C 201311 267.5,2.06,"1,224","1,205,405,000","1,335",2013-09-04,KRDRVOPK2I,2013-11-14,267.5,252.30,252.15
201HB267,코스피200 C 201311 267.5,2.86,970,"1,286,585,000","1,398",2013-09-05,KRDRVOPK2I,2013-11-14,267.5,255.25,254.62
201HB267,코스피200 C 201311 267.5,2.93,661,"938,980,000","1,070",2013-09-06,KRDRVOPK2I,2013-11-14,267.5,256.20,255.25
201HB267,코스피200 C 201311 267.5,3.60,330,"590,610,000","1,092",2013-09-09,KRDRVOPK2I,2013-11-14,267.5,258.05,258.12
201HB267,코스피200 C 201311 267.5,4.55,234,"497,025,000","1,087",2013-09-10,KRDRVOPK2I,2013-11-14,267.5,260.90,261.20
201HB267,코스피200 C 201311 267.5,4.85,230,"544,925,000","1,037",2013-09-11,KRDRVOPK2I,2013-11-14,267.5,262.00,262.38
201HB267,코스피200 C 201311 267.5,4.55,200,"543,825,000","1,007",2013-09-12,KRDRVOPK2I,2013-11-14,267.5,262.40,262.32
201HB267,코스피200 C 201311 267.5,4.50,175,"415,925,000","1,066",2013-09-13,KRDRVOPK2I,2013-11-14,267.5,263.10,260.83
201HB267,코스피200 C 201311 267.5,5.35,451,"1,271,150,000","1,162",2013-09-16,KRDRVOPK2I,2013-11-14,267.5,265.50,263.86
201HB267,코스피200 C 201311 267.5,4.70,199,"486,450,000","1,192",2013-09-17,KRDRVOPK2I,2013-11-14,267.5,264.20,262.56
201HB267,코스피200 C 201311 267.5,4.65,418,"977,050,000","1,217",2013-09-23,KRDRVOPK2I,2013-11-14,267.5,264.95,263.02
201HB267,코스피200 C 201311 267.5,4.15,540,"1,033,000,000","1,170",2013-09-24,KRDRVOPK2I,2013-11-14,267.5,264.70,262.83
201HB267,코스피200 C 201311 267.5,3.40,417,"762,725,000","1,161",2013-09-25,KRDRVOPK2I,2013-11-14,267.5,263.05,261.45
201HB267,코스피200 C 201311 267.5,4.15,332,"613,600,000","1,246",2013-09-26,KRDRVOPK2I,2013-11-14,267.5,265.60,262.68
201HB267,코스피200 C 201311 267.5,4.00,539,"1,106,725,000","1,398",2013-09-27,KRDRVOPK2I,2013-11-14,267.5,265.25,262.94
201HB267,코스피200 C 201311 267.5,3.05,343,"563,705,000","1,479",2013-09-30,KRDRVOPK2I,2013-11-14,267.5,263.05,260.91
201HB267,코스피200 C 201311 267.5,3.30,893,"1,583,695,000","1,746",2013-10-01,KRDRVOPK2I,2013-11-14,267.5,263.50,261.48
201HB267,코스피200 C 201311 267.5,3.10,514,"886,325,000","1,843",2013-10-02,KRDRVOPK2I,2013-11-14,267.5,263.80,261.87
201HB267,코스피200 C 201311 267.5,2.85,"8,348","11,189,810,000","5,981",2013-10-04,KRDRVOPK2I,2013-11-14,267.5,263.35,261.78
201HB267,코스피200 C 201311 267.5,2.72,"2,021","2,828,090,000","6,466",2013-10-07,KRDRVOPK2I,2013-11-14,267.5,263.15,261.85
201HB267,코스피200 C 201311 267.5,3.25,"5,999","7,394,065,000","6,866",2013-10-08,KRDRVOPK2I,2013-11-14,267.5,264.65,263.14
201HB267,코스피200 C 201311 267.5,2.85,"8,006","11,646,100,000","7,816",2013-10-10,KRDRVOPK2I,2013-11-14,267.5,263.70,262.90
201HB267,코스피200 C 201311 267.5,4.50,"13,913","29,386,575,000","8,465",2013-10-11,KRDRVOPK2I,2013-11-14,267.5,268.60,266.35
201HB267,코스피200 C 201311 267.5,4.25,"7,287","15,418,975,000","9,252",2013-10-14,KRDRVOPK2I,2013-11-14,267.5,268.20,265.81
201HB267,코스피200 C 201311 267.5,5.15,"6,769","17,814,775,000","9,093",2013-10-15,KRDRVOPK2I,2013-11-14,267.5,270.35,269.02
201HB267,코스피200 C 201311 267.5,5.65,"6,783","19,407,750,000","8,774",2013-10-16,KRDRVOPK2I,2013-11-14,267.5,270.60,268.25
201HB267,코스피200 C 201311 267.5,5.90,"4,963","14,935,375,000","8,550",2013-10-17,KRDRVOPK2I,2013-11-14,267.5,271.55,269.59
201HB267,코스피200 C 201311 267.5,6.65,"2,767","8,777,300,000","8,568",2013-10-18,KRDRVOPK2I,2013-11-14,267.5,272.95,271.24
201HB267,코스피200 C 201311 267.5,6.50,"1,459","4,934,200,000","8,503",2013-10-21,KRDRVOPK2I,2013-11-14,267.5,272.90,271.22
201HB267,코스피200 C 201311 267.5,6.35,"1,833","5,683,350,000","8,499",2013-10-22,KRDRVOPK2I,2013-11-14,267.5,272.80,271.11
201HB267,코스피200 C 201311 267.5,4.05,"4,234","11,277,650,000","8,603",2013-10-23,KRDRVOPK2I,2013-11-14,267.5,269.40,268.03
201HB267,코스피200 C 201311 267.5,4.70,"12,272","25,689,525,000","9,030",2013-10-24,KRDRVOPK2I,2013-11-14,267.5,270.70,269.36
201HB267,코스피200 C 201311 267.5,3.00,"20,779","33,326,585,000","10,600",2013-10-25,KRDRVOPK2I,2013-11-14,267.5,268.15,267.51
201HB267,코스피200 C 201311 267.5,4.50,"11,733","22,829,200,000","9,981",2013-10-28,KRDRVOPK2I,2013-11-14,267.5,271.00,269.74
201HB267,코스피200 C 201311 267.5,5.10,"10,338","23,633,825,000","9,664",2013-10-29,KRDRVOPK2I,2013-11-14,267.5,272.00,270.28
201HB267,코스피200 C 201311 267.5,5.75,"5,493","14,222,100,000","9,356",2013-10-30,KRDRVOPK2I,2013-11-14,267.5,272.85,271.44
201HB267,코스피200 C 201311 267.5,3.15,"9,739","19,525,300,000","9,745",2013-10-31,KRDRVOPK2I,2013-11-14,267.5,268.85,266.91
201HB267,코스피200 C 201311 267.5,3.25,"12,503","20,259,395,000","10,529",2013-11-01,KRDRVOPK2I,2013-11-14,267.5,269.50,268.63
201HB267,코스피200 C 201311 267.5,1.85,"122,995","135,293,940,000","16,421",2013-11-04,KRDRVOPK2I,2013-11-14,267.5,267.00,266.59
201HB267,코스피200 C 201311 267.5,1.03,"211,740","142,868,815,000","22,275",2013-11-05,KRDRVOPK2I,2013-11-14,267.5,265.65,264.96
201HB267,코스피200 C 201311 267.5,0.96,"211,819","112,727,060,000","24,534",2013-11-06,KRDRVOPK2I,2013-11-14,267.5,265.60,264.62
201HB267,코스피200 C 201311 267.5,0.37,"295,347","84,377,565,000","32,038",2013-11-07,KRDRVOPK2I,2013-11-14,267.5,263.50,263.34
201HB267,코스피200 C 201311 267.5,0.09,"256,526","20,252,395,000","42,234",2013-11-08,KRDRVOPK2I,2013-11-14,267.5,261.20,260.53
201HB267,코스피200 C 201311 267.5,0.07,"219,443","7,804,515,000","44,426",2013-11-11,KRDRVOPK2I,2013-11-14,267.5,261.70,260.15
201HB267,코스피200 C 201311 267.5,0.09,"231,227","10,900,220,000","46,644",2013-11-12,KRDRVOPK2I,2013-11-14,267.5,263.45,262.81
201HB267,코스피200 C 201311 267.5,0.02,"140,949","1,978,800,000","37,827",2013-11-13,KRDRVOPK2I,2013-11-14,267.5,258.50,258.04
201HB267,코스피200 C 201311 267.5,0.01,"8,673","58,045,000",0,2013-11-14,KRDRVOPK2I,2013-11-14,267.5,259.70,258.44
