ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201HC247,코스피200 C 201312 247.5,18.85,1,"9,425,000",1,2013-09-13,KRDRVOPK2I,2013-12-12,247.5,263.10,260.83
201HC247,코스피200 C 201312 247.5,-,0,0,1,2013-09-16,KRDRVOPK2I,2013-12-12,247.5,265.50,263.86
201HC247,코스피200 C 201312 247.5,19.50,1,"9,750,000",2,2013-09-17,KRDRVOPK2I,2013-12-12,247.5,264.20,262.56
201HC247,코스피200 C 201312 247.5,-,0,0,2,2013-09-23,KRDRVOPK2I,2013-12-12,247.5,264.95,263.02
201HC247,코스피200 C 201312 247.5,19.20,1,"9,600,000",3,2013-09-24,KRDRVOPK2I,2013-12-12,247.5,264.70,262.83
201HC247,코스피200 C 201312 247.5,17.70,1,"8,850,000",2,2013-09-25,KRDRVOPK2I,2013-12-12,247.5,263.05,261.45
201HC247,코스피200 C 201312 247.5,-,0,0,2,2013-09-26,KRDRVOPK2I,2013-12-12,247.5,265.60,262.68
201HC247,코스피200 C 201312 247.5,-,0,0,2,2013-09-27,KRDRVOPK2I,2013-12-12,247.5,265.25,262.94
201HC247,코스피200 C 201312 247.5,-,0,0,2,2013-09-30,KRDRVOPK2I,2013-12-12,247.5,263.05,260.91
201HC247,코스피200 C 201312 247.5,18.10,1,"9,050,000",3,2013-10-01,KRDRVOPK2I,2013-12-12,247.5,263.50,261.48
201HC247,코스피200 C 201312 247.5,19.25,1,"9,625,000",4,2013-10-02,KRDRVOPK2I,2013-12-12,247.5,263.80,261.87
201HC247,코스피200 C 201312 247.5,18.10,2,"18,100,000",4,2013-10-04,KRDRVOPK2I,2013-12-12,247.5,263.35,261.78
201HC247,코스피200 C 201312 247.5,-,0,0,4,2013-10-07,KRDRVOPK2I,2013-12-12,247.5,263.15,261.85
201HC247,코스피200 C 201312 247.5,-,0,0,4,2013-10-08,KRDRVOPK2I,2013-12-12,247.5,264.65,263.14
