ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201J3285,코스피200 C 201403 285.0,4.70,286,"691,775,000",253,2013-10-16,KRDRVOPK2I,2014-03-13,285.0,270.60,268.25
201J3285,코스피200 C 201403 285.0,5.00,287,"719,350,000",439,2013-10-17,KRDRVOPK2I,2014-03-13,285.0,271.55,269.59
201J3285,코스피200 C 201403 285.0,5.20,306,"786,650,000",671,2013-10-18,KRDRVOPK2I,2014-03-13,285.0,272.95,271.24
201J3285,코스피200 C 201403 285.0,5.15,623,"1,630,525,000","1,016",2013-10-21,KRDRVOPK2I,2014-03-13,285.0,272.90,271.22
201J3285,코스피200 C 201403 285.0,5.00,163,"405,350,000","1,013",2013-10-22,KRDRVOPK2I,2014-03-13,285.0,272.80,271.11
201J3285,코스피200 C 201403 285.0,4.00,154,"350,025,000","1,022",2013-10-23,KRDRVOPK2I,2014-03-13,285.0,269.40,268.03
201J3285,코스피200 C 201403 285.0,4.20,321,"644,050,000","1,168",2013-10-24,KRDRVOPK2I,2014-03-13,285.0,270.70,269.36
201J3285,코스피200 C 201403 285.0,3.50,557,"986,675,000","1,369",2013-10-25,KRDRVOPK2I,2014-03-13,285.0,268.15,267.51
201J3285,코스피200 C 201403 285.0,4.10,119,"234,250,000","1,407",2013-10-28,KRDRVOPK2I,2014-03-13,285.0,271.00,269.74
201J3285,코스피200 C 201403 285.0,4.25,180,"370,425,000","1,484",2013-10-29,KRDRVOPK2I,2014-03-13,285.0,272.00,270.28
201J3285,코스피200 C 201403 285.0,4.50,110,"236,675,000","1,514",2013-10-30,KRDRVOPK2I,2014-03-13,285.0,272.85,271.44
201J3285,코스피200 C 201403 285.0,3.45,465,"925,425,000","1,763",2013-10-31,KRDRVOPK2I,2014-03-13,285.0,268.85,266.91
201J3285,코스피200 C 201403 285.0,3.50,343,"601,725,000","1,919",2013-11-01,KRDRVOPK2I,2014-03-13,285.0,269.50,268.63
201J3285,코스피200 C 201403 285.0,2.83,488,"741,005,000","2,135",2013-11-04,KRDRVOPK2I,2014-03-13,285.0,267.00,266.59
201J3285,코스피200 C 201403 285.0,2.50,709,"917,150,000","2,535",2013-11-05,KRDRVOPK2I,2014-03-13,285.0,265.65,264.96
201J3285,코스피200 C 201403 285.0,2.40,387,"481,610,000","2,628",2013-11-06,KRDRVOPK2I,2014-03-13,285.0,265.60,264.62
201J3285,코스피200 C 201403 285.0,1.90,660,"664,475,000","2,972",2013-11-07,KRDRVOPK2I,2014-03-13,285.0,263.50,263.34
201J3285,코스피200 C 201403 285.0,1.48,921,"745,125,000","3,521",2013-11-08,KRDRVOPK2I,2014-03-13,285.0,261.20,260.53
201J3285,코스피200 C 201403 285.0,1.49,235,"177,550,000","3,611",2013-11-11,KRDRVOPK2I,2014-03-13,285.0,261.70,260.15
201J3285,코스피200 C 201403 285.0,1.62,895,"739,490,000","4,074",2013-11-12,KRDRVOPK2I,2014-03-13,285.0,263.45,262.81
201J3285,코스피200 C 201403 285.0,1.00,678,"417,900,000","4,295",2013-11-13,KRDRVOPK2I,2014-03-13,285.0,258.50,258.04
201J3285,코스피200 C 201403 285.0,1.18,710,"424,905,000","4,562",2013-11-14,KRDRVOPK2I,2014-03-13,285.0,259.70,258.44
201J3285,코스피200 C 201403 285.0,1.92,496,"429,545,000","4,646",2013-11-15,KRDRVOPK2I,2014-03-13,285.0,264.75,264.20
201J3285,코스피200 C 201403 285.0,2.13,403,"426,915,000","4,873",2013-11-18,KRDRVOPK2I,2014-03-13,285.0,265.60,265.03
201J3285,코스피200 C 201403 285.0,2.77,620,"834,595,000","5,180",2013-11-19,KRDRVOPK2I,2014-03-13,285.0,268.60,267.81
201J3285,코스피200 C 201403 285.0,2.41,761,"938,725,000","5,339",2013-11-20,KRDRVOPK2I,2014-03-13,285.0,266.90,265.62
201J3285,코스피200 C 201403 285.0,1.65,800,"727,380,000","5,579",2013-11-21,KRDRVOPK2I,2014-03-13,285.0,262.20,262.20
201J3285,코스피200 C 201403 285.0,1.90,235,"221,500,000","5,682",2013-11-22,KRDRVOPK2I,2014-03-13,285.0,263.80,263.86
201J3285,코스피200 C 201403 285.0,2.25,344,"417,515,000","5,709",2013-11-25,KRDRVOPK2I,2014-03-13,285.0,266.30,265.21
201J3285,코스피200 C 201403 285.0,2.44,477,"478,600,000","5,976",2013-11-26,KRDRVOPK2I,2014-03-13,285.0,267.30,266.26
201J3285,코스피200 C 201403 285.0,2.54,305,"368,860,000","5,915",2013-11-27,KRDRVOPK2I,2014-03-13,285.0,267.80,267.15
201J3285,코스피200 C 201403 285.0,3.10,443,"711,100,000","5,874",2013-11-28,KRDRVOPK2I,2014-03-13,285.0,270.00,269.70
201J3285,코스피200 C 201403 285.0,3.00,232,"367,155,000","5,831",2013-11-29,KRDRVOPK2I,2014-03-13,285.0,270.15,269.57
201J3285,코스피200 C 201403 285.0,2.50,442,"615,565,000","5,765",2013-12-02,KRDRVOPK2I,2014-03-13,285.0,268.30,267.58
201J3285,코스피200 C 201403 285.0,1.85,454,"474,900,000","5,789",2013-12-03,KRDRVOPK2I,2014-03-13,285.0,264.90,264.84
201J3285,코스피200 C 201403 285.0,1.37,575,"446,595,000","5,591",2013-12-04,KRDRVOPK2I,2014-03-13,285.0,261.50,261.48
