ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201JA287,코스피200 C 201410 287.5,0.07,270,"8,005,000",225,2014-09-01,KRDRVOPK2I,2014-10-09,287.5,265.35,265.27
201JA287,코스피200 C 201410 287.5,0.06,390,"10,535,000",411,2014-09-02,KRDRVOPK2I,2014-10-09,287.5,262.95,262.61
201JA287,코스피200 C 201410 287.5,0.05,192,"4,755,000",492,2014-09-03,KRDRVOPK2I,2014-10-09,287.5,262.50,262.27
201JA287,코스피200 C 201410 287.5,0.04,526,"13,260,000",734,2014-09-04,KRDRVOPK2I,2014-10-09,287.5,262.60,263.19
201JA287,코스피200 C 201410 287.5,0.03,755,"16,335,000",881,2014-09-05,KRDRVOPK2I,2014-10-09,287.5,261.90,262.09
201JA287,코스피200 C 201410 287.5,0.02,642,"8,940,000","1,275",2014-09-11,KRDRVOPK2I,2014-10-09,287.5,261.00,259.80
201JA287,코스피200 C 201410 287.5,0.02,"6,958","69,540,000","5,497",2014-09-12,KRDRVOPK2I,2014-10-09,287.5,262.80,261.39
201JA287,코스피200 C 201410 287.5,0.01,294,"1,750,000","5,480",2014-09-15,KRDRVOPK2I,2014-10-09,287.5,262.25,260.56
201JA287,코스피200 C 201410 287.5,0.01,124,"925,000","5,470",2014-09-16,KRDRVOPK2I,2014-10-09,287.5,262.55,261.45
201JA287,코스피200 C 201410 287.5,0.02,"3,591","35,750,000","6,802",2014-09-17,KRDRVOPK2I,2014-10-09,287.5,265.45,264.01
201JA287,코스피200 C 201410 287.5,0.02,"2,666","26,620,000","7,743",2014-09-18,KRDRVOPK2I,2014-10-09,287.5,264.10,261.72
201JA287,코스피200 C 201410 287.5,0.02,"3,642","36,285,000","8,244",2014-09-19,KRDRVOPK2I,2014-10-09,287.5,264.60,262.31
201JA287,코스피200 C 201410 287.5,0.01,"2,633","13,230,000","7,342",2014-09-22,KRDRVOPK2I,2014-10-09,287.5,261.10,260.15
201JA287,코스피200 C 201410 287.5,0.01,"1,539","7,695,000","7,397",2014-09-23,KRDRVOPK2I,2014-10-09,287.5,260.50,258.49
201JA287,코스피200 C 201410 287.5,0.01,265,"1,325,000","7,363",2014-09-24,KRDRVOPK2I,2014-10-09,287.5,260.50,258.88
201JA287,코스피200 C 201410 287.5,0.01,318,"1,590,000","7,397",2014-09-25,KRDRVOPK2I,2014-10-09,287.5,260.15,258.46
201JA287,코스피200 C 201410 287.5,0.01,122,"610,000","7,392",2014-09-26,KRDRVOPK2I,2014-10-09,287.5,259.45,258.33
201JA287,코스피200 C 201410 287.5,0.01,26,"130,000","7,390",2014-09-29,KRDRVOPK2I,2014-10-09,287.5,258.50,257.95
201JA287,코스피200 C 201410 287.5,-,0,0,"7,390",2014-09-30,KRDRVOPK2I,2014-10-09,287.5,257.00,256.77
201JA287,코스피200 C 201410 287.5,0.01,71,"355,000","7,414",2014-10-01,KRDRVOPK2I,2014-10-09,287.5,254.40,252.81
201JA287,코스피200 C 201410 287.5,0.01,7,"35,000","7,414",2014-10-02,KRDRVOPK2I,2014-10-09,287.5,250.90,250.06
201JA287,코스피200 C 201410 287.5,-,0,0,"7,414",2014-10-06,KRDRVOPK2I,2014-10-09,287.5,250.85,249.19
201JA287,코스피200 C 201410 287.5,-,0,0,"7,414",2014-10-07,KRDRVOPK2I,2014-10-09,287.5,250.80,249.93
201JA287,코스피200 C 201410 287.5,-,0,0,0,2014-10-08,KRDRVOPK2I,2014-10-09,287.5,250.30,248.36
