ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201JB257,코스피200 C 201411 257.5,11.85,3,"18,150,000",3,2014-08-18,KRDRVOPK2I,2014-11-13,257.5,265.20,264.24
201JB257,코스피200 C 201411 257.5,13.65,7,"47,575,000",5,2014-08-19,KRDRVOPK2I,2014-11-13,257.5,267.70,266.62
201JB257,코스피200 C 201411 257.5,-,0,0,5,2014-08-20,KRDRVOPK2I,2014-11-13,257.5,267.00,266.79
201JB257,코스피200 C 201411 257.5,-,0,0,5,2014-08-21,KRDRVOPK2I,2014-11-13,257.5,262.60,262.53
201JB257,코스피200 C 201411 257.5,11.00,7,"37,050,000",12,2014-08-22,KRDRVOPK2I,2014-11-13,257.5,264.70,264.26
201JB257,코스피200 C 201411 257.5,10.95,2,"10,975,000",14,2014-08-25,KRDRVOPK2I,2014-11-13,257.5,265.40,264.46
201JB257,코스피200 C 201411 257.5,12.20,3,"18,075,000",17,2014-08-26,KRDRVOPK2I,2014-11-13,257.5,266.10,265.14
201JB257,코스피200 C 201411 257.5,-,0,0,17,2014-08-27,KRDRVOPK2I,2014-11-13,257.5,266.35,265.88
201JB257,코스피200 C 201411 257.5,-,0,0,17,2014-08-28,KRDRVOPK2I,2014-11-13,257.5,266.65,266.19
201JB257,코스피200 C 201411 257.5,11.10,2,"11,075,000",19,2014-08-29,KRDRVOPK2I,2014-11-13,257.5,265.60,265.41
201JB257,코스피200 C 201411 257.5,10.95,5,"27,450,000",17,2014-09-01,KRDRVOPK2I,2014-11-13,257.5,265.35,265.27
201JB257,코스피200 C 201411 257.5,9.15,3,"14,100,000",15,2014-09-02,KRDRVOPK2I,2014-11-13,257.5,262.95,262.61
201JB257,코스피200 C 201411 257.5,8.55,5,"21,475,000",14,2014-09-03,KRDRVOPK2I,2014-11-13,257.5,262.50,262.27
201JB257,코스피200 C 201411 257.5,9.20,6,"28,500,000",17,2014-09-04,KRDRVOPK2I,2014-11-13,257.5,262.60,263.19
201JB257,코스피200 C 201411 257.5,8.35,5,"20,900,000",15,2014-09-05,KRDRVOPK2I,2014-11-13,257.5,261.90,262.09
201JB257,코스피200 C 201411 257.5,8.10,3,"12,175,000",16,2014-09-11,KRDRVOPK2I,2014-11-13,257.5,261.00,259.80
201JB257,코스피200 C 201411 257.5,7.70,17,"62,800,000",23,2014-09-12,KRDRVOPK2I,2014-11-13,257.5,262.80,261.39
201JB257,코스피200 C 201411 257.5,6.90,10,"33,100,000",30,2014-09-15,KRDRVOPK2I,2014-11-13,257.5,262.25,260.56
201JB257,코스피200 C 201411 257.5,7.55,22,"81,925,000",44,2014-09-16,KRDRVOPK2I,2014-11-13,257.5,262.55,261.45
201JB257,코스피200 C 201411 257.5,9.40,7,"32,275,000",46,2014-09-17,KRDRVOPK2I,2014-11-13,257.5,265.45,264.01
201JB257,코스피200 C 201411 257.5,8.30,9,"36,200,000",52,2014-09-18,KRDRVOPK2I,2014-11-13,257.5,264.10,261.72
201JB257,코스피200 C 201411 257.5,8.70,10,"43,875,000",52,2014-09-19,KRDRVOPK2I,2014-11-13,257.5,264.60,262.31
201JB257,코스피200 C 201411 257.5,6.40,75,"233,225,000",102,2014-09-22,KRDRVOPK2I,2014-11-13,257.5,261.10,260.15
201JB257,코스피200 C 201411 257.5,5.75,71,"202,225,000",145,2014-09-23,KRDRVOPK2I,2014-11-13,257.5,260.50,258.49
201JB257,코스피200 C 201411 257.5,5.65,123,"322,075,000",186,2014-09-24,KRDRVOPK2I,2014-11-13,257.5,260.50,258.88
201JB257,코스피200 C 201411 257.5,5.50,91,"261,525,000",227,2014-09-25,KRDRVOPK2I,2014-11-13,257.5,260.15,258.46
201JB257,코스피200 C 201411 257.5,5.10,243,"590,950,000",326,2014-09-26,KRDRVOPK2I,2014-11-13,257.5,259.45,258.33
201JB257,코스피200 C 201411 257.5,4.50,247,"590,575,000",389,2014-09-29,KRDRVOPK2I,2014-11-13,257.5,258.50,257.95
201JB257,코스피200 C 201411 257.5,3.65,903,"1,731,650,000",802,2014-09-30,KRDRVOPK2I,2014-11-13,257.5,257.00,256.77
201JB257,코스피200 C 201411 257.5,2.51,"2,602","3,565,345,000","1,672",2014-10-01,KRDRVOPK2I,2014-11-13,257.5,254.40,252.81
201JB257,코스피200 C 201411 257.5,1.65,"11,278","9,186,830,000","3,897",2014-10-02,KRDRVOPK2I,2014-11-13,257.5,250.90,250.06
201JB257,코스피200 C 201411 257.5,1.25,"10,749","7,381,055,000","6,422",2014-10-06,KRDRVOPK2I,2014-11-13,257.5,250.85,249.19
201JB257,코스피200 C 201411 257.5,1.17,"15,925","9,186,835,000","9,325",2014-10-07,KRDRVOPK2I,2014-11-13,257.5,250.80,249.93
201JB257,코스피200 C 201411 257.5,1.03,"30,834","14,668,835,000","13,883",2014-10-08,KRDRVOPK2I,2014-11-13,257.5,250.30,248.36
201JB257,코스피200 C 201411 257.5,0.49,"110,402","29,039,955,000","21,327",2014-10-10,KRDRVOPK2I,2014-11-13,257.5,245.60,245.06
201JB257,코스피200 C 201411 257.5,0.46,"129,344","23,430,650,000","38,533",2014-10-13,KRDRVOPK2I,2014-11-13,257.5,246.10,244.18
201JB257,코스피200 C 201411 257.5,0.36,"137,164","27,999,160,000","42,669",2014-10-14,KRDRVOPK2I,2014-11-13,257.5,244.80,244.47
201JB257,코스피200 C 201411 257.5,0.34,"114,362","19,498,270,000","42,594",2014-10-15,KRDRVOPK2I,2014-11-13,257.5,245.50,243.87
201JB257,코스피200 C 201411 257.5,0.24,"114,726","13,738,735,000","39,152",2014-10-16,KRDRVOPK2I,2014-11-13,257.5,243.65,242.79
201JB257,코스피200 C 201411 257.5,0.19,"96,567","10,032,615,000","43,215",2014-10-17,KRDRVOPK2I,2014-11-13,257.5,240.90,239.84
201JB257,코스피200 C 201411 257.5,0.18,"65,942","7,041,305,000","41,389",2014-10-20,KRDRVOPK2I,2014-11-13,257.5,244.40,243.90
201JB257,코스피200 C 201411 257.5,0.09,"94,853","4,908,120,000","40,702",2014-10-21,KRDRVOPK2I,2014-11-13,257.5,242.40,241.48
201JB257,코스피200 C 201411 257.5,0.11,"76,562","4,147,300,000","38,202",2014-10-22,KRDRVOPK2I,2014-11-13,257.5,244.55,244.12
201JB257,코스피200 C 201411 257.5,0.10,"114,076","5,687,170,000","41,408",2014-10-23,KRDRVOPK2I,2014-11-13,257.5,244.60,243.38
201JB257,코스피200 C 201411 257.5,0.08,"96,230","3,838,150,000","46,863",2014-10-24,KRDRVOPK2I,2014-11-13,257.5,243.30,242.91
201JB257,코스피200 C 201411 257.5,0.08,"59,787","2,745,610,000","46,841",2014-10-27,KRDRVOPK2I,2014-11-13,257.5,244.80,243.89
201JB257,코스피200 C 201411 257.5,0.06,"47,379","1,452,340,000","45,513",2014-10-28,KRDRVOPK2I,2014-11-13,257.5,244.45,243.30
201JB257,코스피200 C 201411 257.5,0.16,"129,847","9,923,530,000","42,044",2014-10-29,KRDRVOPK2I,2014-11-13,257.5,249.20,248.64
201JB257,코스피200 C 201411 257.5,0.13,"110,255","6,089,020,000","42,779",2014-10-30,KRDRVOPK2I,2014-11-13,257.5,249.00,248.84
201JB257,코스피200 C 201411 257.5,0.25,"212,027","23,650,230,000","50,377",2014-10-31,KRDRVOPK2I,2014-11-13,257.5,250.20,250.45
201JB257,코스피200 C 201411 257.5,0.12,"162,122","12,786,775,000","49,665",2014-11-03,KRDRVOPK2I,2014-11-13,257.5,249.05,248.69
201JB257,코스피200 C 201411 257.5,0.07,"208,101","10,026,235,000","54,396",2014-11-04,KRDRVOPK2I,2014-11-13,257.5,247.00,246.51
201JB257,코스피200 C 201411 257.5,0.04,"122,398","3,699,240,000","58,359",2014-11-05,KRDRVOPK2I,2014-11-13,257.5,246.60,245.86
201JB257,코스피200 C 201411 257.5,0.05,"170,147","4,054,480,000","51,006",2014-11-06,KRDRVOPK2I,2014-11-13,257.5,248.05,247.19
201JB257,코스피200 C 201411 257.5,0.03,"75,784","1,728,435,000","55,209",2014-11-07,KRDRVOPK2I,2014-11-13,257.5,248.30,247.39
201JB257,코스피200 C 201411 257.5,0.04,"173,010","5,364,005,000","52,861",2014-11-10,KRDRVOPK2I,2014-11-13,257.5,250.80,250.64
201JB257,코스피200 C 201411 257.5,0.02,"55,972","664,890,000","53,564",2014-11-11,KRDRVOPK2I,2014-11-13,257.5,250.50,250.45
201JB257,코스피200 C 201411 257.5,0.02,"84,858","998,175,000","46,905",2014-11-12,KRDRVOPK2I,2014-11-13,257.5,251.45,251.26
201JB257,코스피200 C 201411 257.5,0.01,"14,878","83,615,000",0,2014-11-13,KRDRVOPK2I,2014-11-13,257.5,250.50,250.11
