ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201KA192,코스피200 C 201510 192.5,-,0,0,0,2015-08-25,KRDRVOPK2I,2015-10-08,192.5,223.05,223.07
201KA192,코스피200 C 201510 192.5,-,0,0,0,2015-08-26,KRDRVOPK2I,2015-10-08,192.5,226.95,227.71
201KA192,코스피200 C 201510 192.5,-,0,0,0,2015-08-27,KRDRVOPK2I,2015-10-08,192.5,228.00,228.94
201KA192,코스피200 C 201510 192.5,-,0,0,0,2015-08-28,KRDRVOPK2I,2015-10-08,192.5,231.70,232.35
201KA192,코스피200 C 201510 192.5,-,0,0,0,2015-08-31,KRDRVOPK2I,2015-10-08,192.5,231.05,232.80
201KA192,코스피200 C 201510 192.5,36.85,4,"73,950,000",2,2015-09-01,KRDRVOPK2I,2015-10-08,192.5,228.80,229.55
201KA192,코스피200 C 201510 192.5,35.75,1,"17,875,000",3,2015-09-02,KRDRVOPK2I,2015-10-08,192.5,229.45,229.91
201KA192,코스피200 C 201510 192.5,-,0,0,3,2015-09-03,KRDRVOPK2I,2015-10-08,192.5,229.50,230.40
201KA192,코스피200 C 201510 192.5,35.25,2,"35,325,000",2,2015-09-04,KRDRVOPK2I,2015-10-08,192.5,227.30,227.90
201KA192,코스피200 C 201510 192.5,35.20,5,"87,975,000",6,2015-09-07,KRDRVOPK2I,2015-10-08,192.5,227.30,227.31
201KA192,코스피200 C 201510 192.5,35.15,302,"5,239,450,000",293,2015-09-08,KRDRVOPK2I,2015-10-08,192.5,228.00,227.76
201KA192,코스피200 C 201510 192.5,40.60,8,"156,250,000",297,2015-09-09,KRDRVOPK2I,2015-10-08,192.5,234.85,234.40
201KA192,코스피200 C 201510 192.5,41.85,20,"404,900,000",314,2015-09-10,KRDRVOPK2I,2015-10-08,192.5,236.05,237.18
201KA192,코스피200 C 201510 192.5,40.70,3,"61,450,000",315,2015-09-11,KRDRVOPK2I,2015-10-08,192.5,234.00,233.74
201KA192,코스피200 C 201510 192.5,39.85,8,"157,575,000",314,2015-09-14,KRDRVOPK2I,2015-10-08,192.5,232.45,233.06
201KA192,코스피200 C 201510 192.5,40.20,3,"60,050,000",314,2015-09-15,KRDRVOPK2I,2015-10-08,192.5,233.10,233.59
201KA192,코스피200 C 201510 192.5,45.35,2,"44,725,000",314,2015-09-16,KRDRVOPK2I,2015-10-08,192.5,239.20,238.78
201KA192,코스피200 C 201510 192.5,46.75,1,"23,375,000",314,2015-09-17,KRDRVOPK2I,2015-10-08,192.5,239.90,239.29
201KA192,코스피200 C 201510 192.5,48.00,2,"46,950,000",315,2015-09-18,KRDRVOPK2I,2015-10-08,192.5,241.30,241.12
201KA192,코스피200 C 201510 192.5,43.85,3,"65,650,000",315,2015-09-21,KRDRVOPK2I,2015-10-08,192.5,237.10,236.72
201KA192,코스피200 C 201510 192.5,45.30,1,"22,650,000",315,2015-09-22,KRDRVOPK2I,2015-10-08,192.5,238.50,238.68
201KA192,코스피200 C 201510 192.5,41.95,1,"20,975,000",315,2015-09-23,KRDRVOPK2I,2015-10-08,192.5,235.60,234.26
201KA192,코스피200 C 201510 192.5,41.55,1,"20,775,000",315,2015-09-24,KRDRVOPK2I,2015-10-08,192.5,234.90,234.26
201KA192,코스피200 C 201510 192.5,41.55,1,"20,775,000",316,2015-09-25,KRDRVOPK2I,2015-10-08,192.5,234.85,233.79
201KA192,코스피200 C 201510 192.5,39.25,4,"77,700,000",314,2015-09-30,KRDRVOPK2I,2015-10-08,192.5,236.40,236.71
201KA192,코스피200 C 201510 192.5,46.45,2,"46,775,000",314,2015-10-01,KRDRVOPK2I,2015-10-08,192.5,239.00,238.62
201KA192,코스피200 C 201510 192.5,44.40,2,"44,425,000",314,2015-10-02,KRDRVOPK2I,2015-10-08,192.5,237.20,237.15
201KA192,코스피200 C 201510 192.5,44.80,280,"6,252,575,000",210,2015-10-05,KRDRVOPK2I,2015-10-08,192.5,238.25,237.98
201KA192,코스피200 C 201510 192.5,46.90,1,"23,450,000",210,2015-10-06,KRDRVOPK2I,2015-10-08,192.5,240.15,240.18
201KA192,코스피200 C 201510 192.5,50.55,1,"25,275,000",210,2015-10-07,KRDRVOPK2I,2015-10-08,192.5,243.80,243.52
201KA192,코스피200 C 201510 192.5,51.75,11,"286,325,000",0,2015-10-08,KRDRVOPK2I,2015-10-08,192.5,245.80,246.02
