ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201LB290,코스피200 C 201611 290.0,0.05,7,"160,000",7,2016-09-06,KRDRVOPK2I,2016-11-10,290.0,260.85,260.93
201LB290,코스피200 C 201611 290.0,0.05,81,"2,070,000",87,2016-09-07,KRDRVOPK2I,2016-11-10,290.0,259.95,260.31
201LB290,코스피200 C 201611 290.0,0.04,33,"755,000",106,2016-09-08,KRDRVOPK2I,2016-11-10,290.0,261.10,260.86
201LB290,코스피200 C 201611 290.0,0.03,47,"665,000",151,2016-09-09,KRDRVOPK2I,2016-11-10,290.0,258.00,257.31
201LB290,코스피200 C 201611 290.0,0.02,119,"1,205,000",251,2016-09-12,KRDRVOPK2I,2016-11-10,290.0,251.70,250.53
201LB290,코스피200 C 201611 290.0,0.02,62,"600,000",280,2016-09-13,KRDRVOPK2I,2016-11-10,290.0,252.05,251.77
201LB290,코스피200 C 201611 290.0,0.01,147,"1,465,000",397,2016-09-19,KRDRVOPK2I,2016-11-10,290.0,254.60,253.93
201LB290,코스피200 C 201611 290.0,0.01,18,"155,000",412,2016-09-20,KRDRVOPK2I,2016-11-10,290.0,255.10,255.09
201LB290,코스피200 C 201611 290.0,0.02,56,"550,000",411,2016-09-21,KRDRVOPK2I,2016-11-10,290.0,256.60,256.52
201LB290,코스피200 C 201611 290.0,0.02,77,"495,000",419,2016-09-22,KRDRVOPK2I,2016-11-10,290.0,259.10,258.34
201LB290,코스피200 C 201611 290.0,0.02,23,"230,000",409,2016-09-23,KRDRVOPK2I,2016-11-10,290.0,259.00,258.37
201LB290,코스피200 C 201611 290.0,0.02,42,"295,000",417,2016-09-26,KRDRVOPK2I,2016-11-10,290.0,258.30,257.48
201LB290,코스피200 C 201611 290.0,0.01,827,"4,155,000","1,077",2016-09-27,KRDRVOPK2I,2016-11-10,290.0,260.40,259.57
201LB290,코스피200 C 201611 290.0,0.01,39,"285,000","1,107",2016-09-28,KRDRVOPK2I,2016-11-10,290.0,258.90,258.21
201LB290,코스피200 C 201611 290.0,0.02,57,"315,000","1,097",2016-09-29,KRDRVOPK2I,2016-11-10,290.0,261.05,260.35
201LB290,코스피200 C 201611 290.0,0.01,36,"220,000","1,126",2016-09-30,KRDRVOPK2I,2016-11-10,290.0,258.20,257.49
201LB290,코스피200 C 201611 290.0,0.01,262,"1,355,000","1,347",2016-10-04,KRDRVOPK2I,2016-11-10,290.0,259.50,259.18
201LB290,코스피200 C 201611 290.0,0.01,"1,816","9,080,000","2,906",2016-10-05,KRDRVOPK2I,2016-11-10,290.0,259.55,258.99
201LB290,코스피200 C 201611 290.0,0.01,606,"3,030,000","3,371",2016-10-06,KRDRVOPK2I,2016-11-10,290.0,261.10,261.13
201LB290,코스피200 C 201611 290.0,0.01,"1,462","7,360,000","4,802",2016-10-07,KRDRVOPK2I,2016-11-10,290.0,260.55,260.06
201LB290,코스피200 C 201611 290.0,0.01,465,"2,330,000","5,204",2016-10-10,KRDRVOPK2I,2016-11-10,290.0,261.00,260.31
201LB290,코스피200 C 201611 290.0,0.01,734,"3,670,000","5,901",2016-10-11,KRDRVOPK2I,2016-11-10,290.0,257.00,256.15
201LB290,코스피200 C 201611 290.0,0.01,117,"585,000","5,972",2016-10-12,KRDRVOPK2I,2016-11-10,290.0,256.40,256.20
201LB290,코스피200 C 201611 290.0,0.01,179,"895,000","6,124",2016-10-13,KRDRVOPK2I,2016-11-10,290.0,254.30,253.93
201LB290,코스피200 C 201611 290.0,0.01,27,"135,000","6,146",2016-10-14,KRDRVOPK2I,2016-11-10,290.0,255.70,255.09
201LB290,코스피200 C 201611 290.0,0.01,5,"25,000","6,151",2016-10-17,KRDRVOPK2I,2016-11-10,290.0,256.20,256.19
201LB290,코스피200 C 201611 290.0,0.01,13,"65,000","6,163",2016-10-18,KRDRVOPK2I,2016-11-10,290.0,258.10,257.98
201LB290,코스피200 C 201611 290.0,0.01,49,"245,000","6,204",2016-10-19,KRDRVOPK2I,2016-11-10,290.0,258.25,258.21
201LB290,코스피200 C 201611 290.0,0.01,2,"10,000","6,206",2016-10-20,KRDRVOPK2I,2016-11-10,290.0,258.55,258.41
201LB290,코스피200 C 201611 290.0,0.01,32,"160,000","6,202",2016-10-21,KRDRVOPK2I,2016-11-10,290.0,257.65,257.26
201LB290,코스피200 C 201611 290.0,0.01,2,"10,000","6,204",2016-10-24,KRDRVOPK2I,2016-11-10,290.0,259.55,259.48
201LB290,코스피200 C 201611 290.0,0.01,1,"5,000","6,205",2016-10-25,KRDRVOPK2I,2016-11-10,290.0,258.80,258.57
201LB290,코스피200 C 201611 290.0,0.01,1,"5,000","6,206",2016-10-26,KRDRVOPK2I,2016-11-10,290.0,255.70,255.52
201LB290,코스피200 C 201611 290.0,0.01,1,"5,000","6,207",2016-10-27,KRDRVOPK2I,2016-11-10,290.0,256.90,256.66
201LB290,코스피200 C 201611 290.0,0.01,1,"5,000","6,208",2016-10-28,KRDRVOPK2I,2016-11-10,290.0,257.15,256.53
201LB290,코스피200 C 201611 290.0,0.01,1,"5,000","6,209",2016-10-31,KRDRVOPK2I,2016-11-10,290.0,256.50,255.93
201LB290,코스피200 C 201611 290.0,0.01,2,"10,000","6,211",2016-11-01,KRDRVOPK2I,2016-11-10,290.0,256.50,255.99
201LB290,코스피200 C 201611 290.0,0.01,1,"5,000","6,212",2016-11-02,KRDRVOPK2I,2016-11-10,290.0,253.15,252.83
201LB290,코스피200 C 201611 290.0,0.01,2,"10,000","6,214",2016-11-03,KRDRVOPK2I,2016-11-10,290.0,253.70,252.90
201LB290,코스피200 C 201611 290.0,0.01,1,"5,000","6,215",2016-11-04,KRDRVOPK2I,2016-11-10,290.0,253.05,252.57
201LB290,코스피200 C 201611 290.0,0.01,2,"10,000","6,217",2016-11-07,KRDRVOPK2I,2016-11-10,290.0,255.15,254.60
201LB290,코스피200 C 201611 290.0,0.01,5,"25,000","6,221",2016-11-08,KRDRVOPK2I,2016-11-10,290.0,256.00,255.26
201LB290,코스피200 C 201611 290.0,0.01,10,"50,000","6,223",2016-11-09,KRDRVOPK2I,2016-11-10,290.0,249.90,249.67
201LB290,코스피200 C 201611 290.0,0.01,3,"15,000",0,2016-11-10,KRDRVOPK2I,2016-11-10,290.0,255.30,255.31
