ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201MA332,코스피200 C 201710 332.5,1.44,182,"66,402,500",171,2017-05-24,KRDRVOPK2I,2017-10-12,332.5,302.00,301.71
201MA332,코스피200 C 201710 332.5,2.27,26,"14,167,500",195,2017-05-25,KRDRVOPK2I,2017-10-12,332.5,305.60,305.22
201MA332,코스피200 C 201710 332.5,2.66,32,"20,360,000",225,2017-05-26,KRDRVOPK2I,2017-10-12,332.5,307.45,306.96
201MA332,코스피200 C 201710 332.5,-,0,0,225,2017-05-29,KRDRVOPK2I,2017-10-12,332.5,306.90,306.52
201MA332,코스피200 C 201710 332.5,1.96,2,"937,500",224,2017-05-30,KRDRVOPK2I,2017-10-12,332.5,304.45,304.59
201MA332,코스피200 C 201710 332.5,-,0,0,224,2017-05-31,KRDRVOPK2I,2017-10-12,332.5,305.15,304.67
201MA332,코스피200 C 201710 332.5,1.89,17,"5,682,500",240,2017-06-01,KRDRVOPK2I,2017-10-12,332.5,304.25,304.03
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-02,KRDRVOPK2I,2017-10-12,332.5,307.85,307.83
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-05,KRDRVOPK2I,2017-10-12,332.5,307.70,307.33
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-07,KRDRVOPK2I,2017-10-12,332.5,305.50,305.68
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-08,KRDRVOPK2I,2017-10-12,332.5,306.75,306.25
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-09,KRDRVOPK2I,2017-10-12,332.5,309.90,309.38
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-12,KRDRVOPK2I,2017-10-12,332.5,306.65,306.24
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-13,KRDRVOPK2I,2017-10-12,332.5,308.40,308.02
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-14,KRDRVOPK2I,2017-10-12,332.5,308.75,307.95
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-15,KRDRVOPK2I,2017-10-12,332.5,307.00,306.69
201MA332,코스피200 C 201710 332.5,-,0,0,240,2017-06-16,KRDRVOPK2I,2017-10-12,332.5,307.35,306.79
201MA332,코스피200 C 201710 332.5,1.42,82,"30,205,000",270,2017-06-19,KRDRVOPK2I,2017-10-12,332.5,309.15,308.61
201MA332,코스피200 C 201710 332.5,-,0,0,270,2017-06-20,KRDRVOPK2I,2017-10-12,332.5,309.45,309.31
201MA332,코스피200 C 201710 332.5,1.20,70,"21,600,000",268,2017-06-21,KRDRVOPK2I,2017-10-12,332.5,308.15,307.52
201MA332,코스피200 C 201710 332.5,1.35,50,"15,300,000",219,2017-06-22,KRDRVOPK2I,2017-10-12,332.5,309.90,309.47
201MA332,코스피200 C 201710 332.5,1.40,6,"2,090,000",218,2017-06-23,KRDRVOPK2I,2017-10-12,332.5,310.60,310.26
201MA332,코스피200 C 201710 332.5,1.60,12,"4,792,500",209,2017-06-26,KRDRVOPK2I,2017-10-12,332.5,311.90,311.89
201MA332,코스피200 C 201710 332.5,-,0,0,209,2017-06-27,KRDRVOPK2I,2017-10-12,332.5,312.45,312.12
201MA332,코스피200 C 201710 332.5,-,0,0,209,2017-06-28,KRDRVOPK2I,2017-10-12,332.5,311.60,310.84
201MA332,코스피200 C 201710 332.5,-,0,0,209,2017-06-29,KRDRVOPK2I,2017-10-12,332.5,313.70,312.56
201MA332,코스피200 C 201710 332.5,-,0,0,209,2017-06-30,KRDRVOPK2I,2017-10-12,332.5,312.90,311.76
201MA332,코스피200 C 201710 332.5,-,0,0,209,2017-07-03,KRDRVOPK2I,2017-10-12,332.5,313.30,312.39
201MA332,코스피200 C 201710 332.5,-,0,0,209,2017-07-04,KRDRVOPK2I,2017-10-12,332.5,311.00,310.46
201MA332,코스피200 C 201710 332.5,-,0,0,209,2017-07-05,KRDRVOPK2I,2017-10-12,332.5,312.45,311.77
201MA332,코스피200 C 201710 332.5,1.59,4,"1,590,000",209,2017-07-06,KRDRVOPK2I,2017-10-12,332.5,312.45,311.88
201MA332,코스피200 C 201710 332.5,1.08,151,"44,125,000",240,2017-07-07,KRDRVOPK2I,2017-10-12,332.5,311.60,310.66
201MA332,코스피200 C 201710 332.5,1.17,31,"8,837,500",261,2017-07-10,KRDRVOPK2I,2017-10-12,332.5,312.15,311.46
201MA332,코스피200 C 201710 332.5,1.29,17,"5,210,000",269,2017-07-11,KRDRVOPK2I,2017-10-12,332.5,314.05,313.59
201MA332,코스피200 C 201710 332.5,1.26,2,"640,000",271,2017-07-12,KRDRVOPK2I,2017-10-12,332.5,313.95,313.58
201MA332,코스피200 C 201710 332.5,1.80,10,"4,300,000",272,2017-07-13,KRDRVOPK2I,2017-10-12,332.5,317.90,316.35
