ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201MC330,코스피200 C 201712 330.0,2.97,"1,730","1,668,650,000","1,291",2017-05-10,KRDRVOPK2I,2017-12-14,330.0,296.55,296.19
201MC330,코스피200 C 201712 330.0,3.33,"1,004","815,082,500","1,686",2017-05-11,KRDRVOPK2I,2017-12-14,330.0,300.20,299.75
201MC330,코스피200 C 201712 330.0,2.48,"1,810","1,259,440,000","2,970",2017-05-12,KRDRVOPK2I,2017-12-14,330.0,298.75,298.25
201MC330,코스피200 C 201712 330.0,2.80,"1,636","1,113,002,500","4,285",2017-05-15,KRDRVOPK2I,2017-12-14,330.0,299.75,298.87
201MC330,코스피200 C 201712 330.0,2.73,"3,515","2,687,260,000","6,064",2017-05-16,KRDRVOPK2I,2017-12-14,330.0,299.35,299.67
201MC330,코스피200 C 201712 330.0,2.69,"1,027","710,120,000","6,659",2017-05-17,KRDRVOPK2I,2017-12-14,330.0,299.60,299.34
201MC330,코스피200 C 201712 330.0,2.58,"2,163","1,302,792,500","7,651",2017-05-18,KRDRVOPK2I,2017-12-14,330.0,298.75,298.47
201MC330,코스피200 C 201712 330.0,2.42,"1,090","679,377,500","8,176",2017-05-19,KRDRVOPK2I,2017-12-14,330.0,298.35,298.08
201MC330,코스피200 C 201712 330.0,2.91,"1,603","1,100,970,000","9,280",2017-05-22,KRDRVOPK2I,2017-12-14,330.0,300.70,300.63
201MC330,코스피200 C 201712 330.0,3.16,"1,359","1,175,720,000","9,841",2017-05-23,KRDRVOPK2I,2017-12-14,330.0,301.15,301.36
201MC330,코스피200 C 201712 330.0,3.30,"1,981","1,682,617,500","10,978",2017-05-24,KRDRVOPK2I,2017-12-14,330.0,302.00,301.71
201MC330,코스피200 C 201712 330.0,4.45,"1,077","1,090,017,500","10,565",2017-05-25,KRDRVOPK2I,2017-12-14,330.0,305.60,305.22
201MC330,코스피200 C 201712 330.0,4.91,"1,240","1,529,497,500","10,344",2017-05-26,KRDRVOPK2I,2017-12-14,330.0,307.45,306.96
201MC330,코스피200 C 201712 330.0,4.50,304,"406,732,500","10,316",2017-05-29,KRDRVOPK2I,2017-12-14,330.0,306.90,306.52
201MC330,코스피200 C 201712 330.0,4.05,395,"417,075,000","10,341",2017-05-30,KRDRVOPK2I,2017-12-14,330.0,304.45,304.59
201MC330,코스피200 C 201712 330.0,4.05,24,"24,617,500","10,344",2017-05-31,KRDRVOPK2I,2017-12-14,330.0,305.15,304.67
201MC330,코스피200 C 201712 330.0,3.79,386,"367,637,500","10,311",2017-06-01,KRDRVOPK2I,2017-12-14,330.0,304.25,304.03
201MC330,코스피200 C 201712 330.0,4.90,47,"52,582,500","10,330",2017-06-02,KRDRVOPK2I,2017-12-14,330.0,307.85,307.83
201MC330,코스피200 C 201712 330.0,4.67,898,"1,103,722,500","10,421",2017-06-05,KRDRVOPK2I,2017-12-14,330.0,307.70,307.33
201MC330,코스피200 C 201712 330.0,4.03,154,"168,992,500","10,442",2017-06-07,KRDRVOPK2I,2017-12-14,330.0,305.50,305.68
201MC330,코스피200 C 201712 330.0,3.95,185,"176,942,500","10,388",2017-06-08,KRDRVOPK2I,2017-12-14,330.0,306.75,306.25
201MC330,코스피200 C 201712 330.0,4.47,155,"171,445,000","10,364",2017-06-09,KRDRVOPK2I,2017-12-14,330.0,309.90,309.38
201MC330,코스피200 C 201712 330.0,3.50,"1,642","1,453,772,500","11,157",2017-06-12,KRDRVOPK2I,2017-12-14,330.0,306.65,306.24
201MC330,코스피200 C 201712 330.0,4.00,59,"56,372,500","11,129",2017-06-13,KRDRVOPK2I,2017-12-14,330.0,308.40,308.02
