ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201PC307,코스피200 C 201912 307.5,0.90,12,"2,795,000",5,2019-06-14,KRDRVOPK2I,2019-12-12,307.5,269.95,270.48
201PC307,코스피200 C 201912 307.5,-,0,0,5,2019-06-17,KRDRVOPK2I,2019-12-12,307.5,270.25,270.09
201PC307,코스피200 C 201912 307.5,-,0,0,5,2019-06-18,KRDRVOPK2I,2019-12-12,307.5,271.65,271.36
201PC307,코스피200 C 201912 307.5,-,0,0,5,2019-06-19,KRDRVOPK2I,2019-12-12,307.5,274.85,275.31
201PC307,코스피200 C 201912 307.5,-,0,0,5,2019-06-20,KRDRVOPK2I,2019-12-12,307.5,276.10,276.01
201PC307,코스피200 C 201912 307.5,-,0,0,5,2019-06-21,KRDRVOPK2I,2019-12-12,307.5,275.70,275.48
201PC307,코스피200 C 201912 307.5,-,0,0,5,2019-06-24,KRDRVOPK2I,2019-12-12,307.5,275.70,275.58
201PC307,코스피200 C 201912 307.5,-,0,0,5,2019-06-25,KRDRVOPK2I,2019-12-12,307.5,275.05,275.28
201PC307,코스피200 C 201912 307.5,-,0,0,5,2019-06-26,KRDRVOPK2I,2019-12-12,307.5,275.75,275.53
201PC307,코스피200 C 201912 307.5,-,0,0,5,2019-06-27,KRDRVOPK2I,2019-12-12,307.5,279.20,277.75
201PC307,코스피200 C 201912 307.5,1.44,4,"1,495,000",8,2019-06-28,KRDRVOPK2I,2019-12-12,307.5,278.40,277.50
201PC307,코스피200 C 201912 307.5,1.48,5,"1,857,500",13,2019-07-01,KRDRVOPK2I,2019-12-12,307.5,278.10,277.27
201PC307,코스피200 C 201912 307.5,-,0,0,13,2019-07-02,KRDRVOPK2I,2019-12-12,307.5,277.00,275.97
201PC307,코스피200 C 201912 307.5,0.79,98,"25,652,500",107,2019-07-03,KRDRVOPK2I,2019-12-12,307.5,273.00,272.37
201PC307,코스피200 C 201912 307.5,0.75,28,"5,967,500",85,2019-07-04,KRDRVOPK2I,2019-12-12,307.5,275.55,274.54
201PC307,코스피200 C 201912 307.5,0.93,3,"695,000",86,2019-07-05,KRDRVOPK2I,2019-12-12,307.5,274.85,274.35
201PC307,코스피200 C 201912 307.5,0.56,91,"12,685,000",23,2019-07-08,KRDRVOPK2I,2019-12-12,307.5,269.20,268.55
201PC307,코스피200 C 201912 307.5,0.48,3,"370,000",23,2019-07-09,KRDRVOPK2I,2019-12-12,307.5,268.00,267.72
201PC307,코스피200 C 201912 307.5,-,0,0,23,2019-07-10,KRDRVOPK2I,2019-12-12,307.5,269.65,268.75
201PC307,코스피200 C 201912 307.5,-,0,0,23,2019-07-11,KRDRVOPK2I,2019-12-12,307.5,273.00,271.78
201PC307,코스피200 C 201912 307.5,-,0,0,23,2019-07-12,KRDRVOPK2I,2019-12-12,307.5,273.45,272.68
201PC307,코스피200 C 201912 307.5,0.56,7,"955,000",27,2019-07-15,KRDRVOPK2I,2019-12-12,307.5,273.50,272.64
201PC307,코스피200 C 201912 307.5,0.58,66,"9,210,000",61,2019-07-16,KRDRVOPK2I,2019-12-12,307.5,274.70,274.05
201PC307,코스피200 C 201912 307.5,0.45,16,"1,890,000",57,2019-07-17,KRDRVOPK2I,2019-12-12,307.5,271.85,271.48
201PC307,코스피200 C 201912 307.5,0.47,573,"63,120,000",552,2019-07-18,KRDRVOPK2I,2019-12-12,307.5,271.10,270.67
201PC307,코스피200 C 201912 307.5,0.75,110,"17,857,500",568,2019-07-19,KRDRVOPK2I,2019-12-12,307.5,275.15,274.55
201PC307,코스피200 C 201912 307.5,0.68,15,"2,537,500",568,2019-07-22,KRDRVOPK2I,2019-12-12,307.5,275.15,274.55
201PC307,코스피200 C 201912 307.5,0.76,90,"17,375,000",601,2019-07-23,KRDRVOPK2I,2019-12-12,307.5,276.45,275.92
201PC307,코스피200 C 201912 307.5,0.62,45,"8,922,500",641,2019-07-24,KRDRVOPK2I,2019-12-12,307.5,274.05,273.22
201PC307,코스피200 C 201912 307.5,0.57,106,"15,862,500",714,2019-07-25,KRDRVOPK2I,2019-12-12,307.5,273.80,273.04
201PC307,코스피200 C 201912 307.5,0.52,3,"390,000",714,2019-07-26,KRDRVOPK2I,2019-12-12,307.5,272.55,272.25
201PC307,코스피200 C 201912 307.5,0.36,90,"8,835,000",712,2019-07-29,KRDRVOPK2I,2019-12-12,307.5,268.40,267.75
201PC307,코스피200 C 201912 307.5,0.38,8,"760,000",712,2019-07-30,KRDRVOPK2I,2019-12-12,307.5,269.40,268.95
201PC307,코스피200 C 201912 307.5,0.30,49,"3,842,500",713,2019-07-31,KRDRVOPK2I,2019-12-12,307.5,266.85,266.34
201PC307,코스피200 C 201912 307.5,0.26,11,"720,000",711,2019-08-01,KRDRVOPK2I,2019-12-12,307.5,266.20,265.73
201PC307,코스피200 C 201912 307.5,0.19,2,"97,500",711,2019-08-02,KRDRVOPK2I,2019-12-12,307.5,263.15,262.99
201PC307,코스피200 C 201912 307.5,0.12,17,"585,000",712,2019-08-05,KRDRVOPK2I,2019-12-12,307.5,256.95,257.19
201PC307,코스피200 C 201912 307.5,-,0,0,712,2019-08-06,KRDRVOPK2I,2019-12-12,307.5,253.65,253.41
201PC307,코스피200 C 201912 307.5,0.12,6,"172,500",713,2019-08-07,KRDRVOPK2I,2019-12-12,307.5,253.00,252.00
201PC307,코스피200 C 201912 307.5,0.11,2,"57,500",711,2019-08-08,KRDRVOPK2I,2019-12-12,307.5,253.60,252.40
201PC307,코스피200 C 201912 307.5,0.10,27,"677,500",724,2019-08-09,KRDRVOPK2I,2019-12-12,307.5,255.25,254.85
201PC307,코스피200 C 201912 307.5,0.09,1,"22,500",724,2019-08-12,KRDRVOPK2I,2019-12-12,307.5,255.45,255.35
201PC307,코스피200 C 201912 307.5,-,0,0,724,2019-08-13,KRDRVOPK2I,2019-12-12,307.5,252.05,252.83
201PC307,코스피200 C 201912 307.5,0.07,4,"75,000",725,2019-08-14,KRDRVOPK2I,2019-12-12,307.5,255.20,254.86
201PC307,코스피200 C 201912 307.5,0.07,22,"385,000",725,2019-08-16,KRDRVOPK2I,2019-12-12,307.5,254.05,253.90
201PC307,코스피200 C 201912 307.5,-,0,0,725,2019-08-19,KRDRVOPK2I,2019-12-12,307.5,255.75,255.11
201PC307,코스피200 C 201912 307.5,-,0,0,725,2019-08-20,KRDRVOPK2I,2019-12-12,307.5,258.00,258.05
201PC307,코스피200 C 201912 307.5,-,0,0,725,2019-08-21,KRDRVOPK2I,2019-12-12,307.5,258.40,258.38
201PC307,코스피200 C 201912 307.5,0.06,4,"60,000",725,2019-08-22,KRDRVOPK2I,2019-12-12,307.5,256.40,256.28
201PC307,코스피200 C 201912 307.5,0.06,6,"90,000",726,2019-08-23,KRDRVOPK2I,2019-12-12,307.5,256.35,256.11
201PC307,코스피200 C 201912 307.5,0.04,44,"440,000",758,2019-08-26,KRDRVOPK2I,2019-12-12,307.5,252.60,252.19
201PC307,코스피200 C 201912 307.5,0.04,3,"30,000",761,2019-08-27,KRDRVOPK2I,2019-12-12,307.5,254.00,253.50
201PC307,코스피200 C 201912 307.5,-,0,0,761,2019-08-28,KRDRVOPK2I,2019-12-12,307.5,255.85,255.53
201PC307,코스피200 C 201912 307.5,-,0,0,761,2019-08-29,KRDRVOPK2I,2019-12-12,307.5,254.20,254.31
201PC307,코스피200 C 201912 307.5,0.07,54,"945,000",774,2019-08-30,KRDRVOPK2I,2019-12-12,307.5,259.15,259.00
201PC307,코스피200 C 201912 307.5,0.07,1,"17,500",773,2019-09-02,KRDRVOPK2I,2019-12-12,307.5,259.35,259.08
201PC307,코스피200 C 201912 307.5,0.07,1,"17,500",774,2019-09-03,KRDRVOPK2I,2019-12-12,307.5,257.95,258.25
201PC307,코스피200 C 201912 307.5,0.07,4,"72,500",773,2019-09-04,KRDRVOPK2I,2019-12-12,307.5,261.90,261.69
