ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201R6370,코스피200 C 202106 370.0,2.51,8,"5,237,500",8,2020-01-21,KRDRVOPK2I,2021-06-10,370.0,302.00,302.11
201R6370,코스피200 C 202106 370.0,-,0,0,8,2020-01-22,KRDRVOPK2I,2021-06-10,370.0,306.75,306.08
201R6370,코스피200 C 202106 370.0,2.53,6,"3,915,000",14,2020-01-23,KRDRVOPK2I,2021-06-10,370.0,302.85,302.33
201R6370,코스피200 C 202106 370.0,1.70,14,"6,042,500",27,2020-01-28,KRDRVOPK2I,2021-06-10,370.0,293.00,292.77
201R6370,코스피200 C 202106 370.0,1.77,3,"1,300,000",30,2020-01-29,KRDRVOPK2I,2021-06-10,370.0,294.15,293.98
201R6370,코스피200 C 202106 370.0,1.26,6,"2,125,000",34,2020-01-30,KRDRVOPK2I,2021-06-10,370.0,288.00,288.37
201R6370,코스피200 C 202106 370.0,1.18,8,"2,590,000",42,2020-01-31,KRDRVOPK2I,2021-06-10,370.0,285.15,284.53
201R6370,코스피200 C 202106 370.0,1.08,34,"8,092,500",40,2020-02-03,KRDRVOPK2I,2021-06-10,370.0,285.20,285.05
201R6370,코스피200 C 202106 370.0,1.28,4,"1,227,500",43,2020-02-04,KRDRVOPK2I,2021-06-10,370.0,291.40,290.68
201R6370,코스피200 C 202106 370.0,1.54,2,"770,000",44,2020-02-05,KRDRVOPK2I,2021-06-10,370.0,292.30,292.02
201R6370,코스피200 C 202106 370.0,2.15,4,"2,052,500",43,2020-02-06,KRDRVOPK2I,2021-06-10,370.0,301.40,300.65
201R6370,코스피200 C 202106 370.0,2.00,3,"1,540,000",44,2020-02-07,KRDRVOPK2I,2021-06-10,370.0,298.00,298.21
201R6370,코스피200 C 202106 370.0,1.83,11,"5,042,500",53,2020-02-10,KRDRVOPK2I,2021-06-10,370.0,296.45,296.24
201R6370,코스피200 C 202106 370.0,2.23,1,"557,500",54,2020-02-11,KRDRVOPK2I,2021-06-10,370.0,299.80,299.28
201R6370,코스피200 C 202106 370.0,2.25,1,"562,500",54,2020-02-12,KRDRVOPK2I,2021-06-10,370.0,301.85,301.54
201R6370,코스피200 C 202106 370.0,-,0,0,54,2020-02-13,KRDRVOPK2I,2021-06-10,370.0,300.45,300.93
201R6370,코스피200 C 202106 370.0,2.60,57,"36,290,000",106,2020-02-14,KRDRVOPK2I,2021-06-10,370.0,303.35,303.01
201R6370,코스피200 C 202106 370.0,2.60,3,"1,927,500",105,2020-02-17,KRDRVOPK2I,2021-06-10,370.0,302.95,302.76
201R6370,코스피200 C 202106 370.0,2.35,1,"587,500",106,2020-02-18,KRDRVOPK2I,2021-06-10,370.0,297.80,297.74
201R6370,코스피200 C 202106 370.0,2.15,4,"2,070,000",108,2020-02-19,KRDRVOPK2I,2021-06-10,370.0,298.75,298.33
201R6370,코스피200 C 202106 370.0,1.91,2,"992,500",109,2020-02-20,KRDRVOPK2I,2021-06-10,370.0,297.40,296.65
201R6370,코스피200 C 202106 370.0,-,0,0,109,2020-02-21,KRDRVOPK2I,2021-06-10,370.0,291.90,292.42
201R6370,코스피200 C 202106 370.0,1.06,212,"58,305,000",245,2020-02-24,KRDRVOPK2I,2021-06-10,370.0,281.15,281.02
201R6370,코스피200 C 202106 370.0,1.05,20,"5,297,500",245,2020-02-25,KRDRVOPK2I,2021-06-10,370.0,284.70,284.24
201R6370,코스피200 C 202106 370.0,1.06,12,"3,180,000",233,2020-02-26,KRDRVOPK2I,2021-06-10,370.0,280.00,279.94
201R6370,코스피200 C 202106 370.0,0.94,2,"492,500",234,2020-02-27,KRDRVOPK2I,2021-06-10,370.0,277.75,277.09
201R6370,코스피200 C 202106 370.0,1.12,27,"7,495,000",239,2020-02-28,KRDRVOPK2I,2021-06-10,370.0,267.85,268.02
201R6370,코스피200 C 202106 370.0,1.20,3,"980,000",239,2020-03-02,KRDRVOPK2I,2021-06-10,370.0,270.90,270.37
201R6370,코스피200 C 202106 370.0,1.09,3,"837,500",236,2020-03-03,KRDRVOPK2I,2021-06-10,370.0,272.30,271.56
201R6370,코스피200 C 202106 370.0,1.14,1,"285,000",237,2020-03-04,KRDRVOPK2I,2021-06-10,370.0,278.25,278.13
201R6370,코스피200 C 202106 370.0,1.12,1,"280,000",237,2020-03-05,KRDRVOPK2I,2021-06-10,370.0,281.25,281.38
201R6370,코스피200 C 202106 370.0,1.08,5,"1,357,500",239,2020-03-06,KRDRVOPK2I,2021-06-10,370.0,274.20,275.10
201R6370,코스피200 C 202106 370.0,1.01,8,"2,027,500",234,2020-03-09,KRDRVOPK2I,2021-06-10,370.0,262.35,263.11
201R6370,코스피200 C 202106 370.0,0.95,3,"747,500",235,2020-03-10,KRDRVOPK2I,2021-06-10,370.0,265.00,264.67
201R6370,코스피200 C 202106 370.0,0.91,1,"227,500",235,2020-03-11,KRDRVOPK2I,2021-06-10,370.0,256.90,257.01
201R6370,코스피200 C 202106 370.0,0.81,11,"2,202,500",240,2020-03-12,KRDRVOPK2I,2021-06-10,370.0,245.60,247.62
201R6370,코스피200 C 202106 370.0,0.95,122,"27,862,500",119,2020-03-13,KRDRVOPK2I,2021-06-10,370.0,240.55,240.65
201R6370,코스피200 C 202106 370.0,1.45,45,"16,435,000",106,2020-03-16,KRDRVOPK2I,2021-06-10,370.0,229.55,232.97
201R6370,코스피200 C 202106 370.0,1.49,13,"4,872,500",94,2020-03-17,KRDRVOPK2I,2021-06-10,370.0,224.40,226.89
201R6370,코스피200 C 202106 370.0,1.08,50,"17,287,500",141,2020-03-18,KRDRVOPK2I,2021-06-10,370.0,211.60,215.83
201R6370,코스피200 C 202106 370.0,1.15,45,"12,825,000",97,2020-03-19,KRDRVOPK2I,2021-06-10,370.0,197.50,199.28
201R6370,코스피200 C 202106 370.0,0.96,1,"240,000",97,2020-03-20,KRDRVOPK2I,2021-06-10,370.0,215.55,213.67
