ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201RA477,코스피200 C 202110 477.5,2.00,9,"4,315,000",9,2021-06-17,KRDRVOPK2I,2021-10-14,477.5,432.85,434.73
201RA477,코스피200 C 202110 477.5,2.09,36,"18,345,000",45,2021-06-18,KRDRVOPK2I,2021-10-14,477.5,434.50,435.02
201RA477,코스피200 C 202110 477.5,1.55,18,"6,927,500",54,2021-06-21,KRDRVOPK2I,2021-10-14,477.5,430.35,431.46
201RA477,코스피200 C 202110 477.5,1.75,29,"11,830,000",81,2021-06-22,KRDRVOPK2I,2021-10-14,477.5,433.40,434.42
201RA477,코스피200 C 202110 477.5,1.92,4,"1,860,000",85,2021-06-23,KRDRVOPK2I,2021-10-14,477.5,435.85,436.73
201RA477,코스피200 C 202110 477.5,2.22,5,"2,632,500",86,2021-06-24,KRDRVOPK2I,2021-10-14,477.5,437.70,438.38
201RA477,코스피200 C 202110 477.5,2.66,3,"1,977,500",89,2021-06-25,KRDRVOPK2I,2021-10-14,477.5,439.70,440.40
201RA477,코스피200 C 202110 477.5,2.43,1,"607,500",88,2021-06-28,KRDRVOPK2I,2021-10-14,477.5,438.85,439.98
201RA477,코스피200 C 202110 477.5,2.10,4,"2,095,000",91,2021-06-29,KRDRVOPK2I,2021-10-14,477.5,437.05,437.54
201RA477,코스피200 C 202110 477.5,-,0,0,91,2021-06-30,KRDRVOPK2I,2021-10-14,477.5,438.85,438.84
201RA477,코스피200 C 202110 477.5,-,0,0,91,2021-07-01,KRDRVOPK2I,2021-10-14,477.5,435.90,436.34
201RA477,코스피200 C 202110 477.5,-,0,0,91,2021-07-02,KRDRVOPK2I,2021-10-14,477.5,435.70,436.00
201RA477,코스피200 C 202110 477.5,1.65,12,"4,705,000",103,2021-07-05,KRDRVOPK2I,2021-10-14,477.5,438.25,437.66
