ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-08-23,KRDRVOPK2I,2021-11-11,360.0,405.15,404.58
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-08-24,KRDRVOPK2I,2021-11-11,360.0,413.00,412.48
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-08-25,KRDRVOPK2I,2021-11-11,360.0,413.45,413.95
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-08-26,KRDRVOPK2I,2021-11-11,360.0,410.50,410.38
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-08-27,KRDRVOPK2I,2021-11-11,360.0,410.60,410.24
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-08-30,KRDRVOPK2I,2021-11-11,360.0,411.90,411.50
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-08-31,KRDRVOPK2I,2021-11-11,360.0,419.50,419.79
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-09-01,KRDRVOPK2I,2021-11-11,360.0,419.80,419.92
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-09-02,KRDRVOPK2I,2021-11-11,360.0,416.60,415.89
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-09-03,KRDRVOPK2I,2021-11-11,360.0,419.15,419.22
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-09-06,KRDRVOPK2I,2021-11-11,360.0,420.15,420.37
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-09-07,KRDRVOPK2I,2021-11-11,360.0,418.50,417.80
201RB360,코스피200 C 202111 360.0,-,0,0,0,2021-09-08,KRDRVOPK2I,2021-11-11,360.0,414.50,414.54
201RB360,코스피200 C 202111 360.0,49.50,9,"110,962,500",9,2021-09-09,KRDRVOPK2I,2021-11-11,360.0,407.40,407.28
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-10,KRDRVOPK2I,2021-11-11,360.0,408.20,408.70
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-13,KRDRVOPK2I,2021-11-11,360.0,409.70,409.70
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-14,KRDRVOPK2I,2021-11-11,360.0,412.60,412.36
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-15,KRDRVOPK2I,2021-11-11,360.0,413.00,412.85
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-16,KRDRVOPK2I,2021-11-11,360.0,409.10,409.22
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-17,KRDRVOPK2I,2021-11-11,360.0,410.75,410.99
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-23,KRDRVOPK2I,2021-11-11,360.0,409.55,410.46
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-24,KRDRVOPK2I,2021-11-11,360.0,409.25,409.84
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-27,KRDRVOPK2I,2021-11-11,360.0,410.70,410.97
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-09-28,KRDRVOPK2I,2021-11-11,360.0,404.90,406.20
201RB360,코스피200 C 202111 360.0,38.30,2,"19,200,000",8,2021-09-29,KRDRVOPK2I,2021-11-11,360.0,399.15,400.09
201RB360,코스피200 C 202111 360.0,-,0,0,8,2021-09-30,KRDRVOPK2I,2021-11-11,360.0,401.50,401.30
201RB360,코스피200 C 202111 360.0,35.90,15,"141,225,000",10,2021-10-01,KRDRVOPK2I,2021-11-11,360.0,393.60,394.79
201RB360,코스피200 C 202111 360.0,30.55,3,"22,787,500",9,2021-10-05,KRDRVOPK2I,2021-11-11,360.0,388.75,388.01
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-10-06,KRDRVOPK2I,2021-11-11,360.0,382.40,381.93
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-10-07,KRDRVOPK2I,2021-11-11,360.0,388.20,388.14
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-10-08,KRDRVOPK2I,2021-11-11,360.0,388.05,387.42
201RB360,코스피200 C 202111 360.0,-,0,0,9,2021-10-12,KRDRVOPK2I,2021-11-11,360.0,380.25,380.69
201RB360,코스피200 C 202111 360.0,26.55,3,"19,500,000",12,2021-10-13,KRDRVOPK2I,2021-11-11,360.0,384.60,384.10
201RB360,코스피200 C 202111 360.0,29.60,24,"174,177,500",33,2021-10-14,KRDRVOPK2I,2021-11-11,360.0,389.40,389.59
201RB360,코스피200 C 202111 360.0,-,0,0,33,2021-10-15,KRDRVOPK2I,2021-11-11,360.0,394.60,393.19
201RB360,코스피200 C 202111 360.0,33.00,13,"105,675,000",40,2021-10-18,KRDRVOPK2I,2021-11-11,360.0,392.90,392.02
201RB360,코스피200 C 202111 360.0,35.95,1,"8,987,500",40,2021-10-19,KRDRVOPK2I,2021-11-11,360.0,395.80,395.41
201RB360,코스피200 C 202111 360.0,-,0,0,40,2021-10-20,KRDRVOPK2I,2021-11-11,360.0,394.00,393.74
201RB360,코스피200 C 202111 360.0,33.80,1,"8,450,000",40,2021-10-21,KRDRVOPK2I,2021-11-11,360.0,393.40,393.18
201RB360,코스피200 C 202111 360.0,33.40,2,"17,000,000",40,2021-10-22,KRDRVOPK2I,2021-11-11,360.0,394.40,393.34
201RB360,코스피200 C 202111 360.0,-,0,0,40,2021-10-25,KRDRVOPK2I,2021-11-11,360.0,395.85,395.01
201RB360,코스피200 C 202111 360.0,37.70,1,"9,425,000",41,2021-10-26,KRDRVOPK2I,2021-11-11,360.0,399.35,399.07
201RB360,코스피200 C 202111 360.0,-,0,0,41,2021-10-27,KRDRVOPK2I,2021-11-11,360.0,395.45,395.48
201RB360,코스피200 C 202111 360.0,36.30,2,"18,150,000",41,2021-10-28,KRDRVOPK2I,2021-11-11,360.0,394.35,393.89
201RB360,코스피200 C 202111 360.0,30.45,1,"7,612,500",42,2021-10-29,KRDRVOPK2I,2021-11-11,360.0,388.15,388.47
201RB360,코스피200 C 202111 360.0,31.05,1,"7,762,500",42,2021-11-01,KRDRVOPK2I,2021-11-11,360.0,390.90,389.81
201RB360,코스피200 C 202111 360.0,-,0,0,42,2021-11-02,KRDRVOPK2I,2021-11-11,360.0,395.60,394.82
201RB360,코스피200 C 202111 360.0,29.90,4,"29,750,000",42,2021-11-03,KRDRVOPK2I,2021-11-11,360.0,389.05,389.48
201RB360,코스피200 C 202111 360.0,-,0,0,42,2021-11-04,KRDRVOPK2I,2021-11-11,360.0,392.45,391.54
201RB360,코스피200 C 202111 360.0,28.55,1,"7,137,500",42,2021-11-05,KRDRVOPK2I,2021-11-11,360.0,390.65,389.86
201RB360,코스피200 C 202111 360.0,-,0,0,42,2021-11-08,KRDRVOPK2I,2021-11-11,360.0,389.95,389.59
201RB360,코스피200 C 202111 360.0,-,0,0,42,2021-11-09,KRDRVOPK2I,2021-11-11,360.0,390.50,390.36
201RB360,코스피200 C 202111 360.0,28.30,1,"7,075,000",43,2021-11-10,KRDRVOPK2I,2021-11-11,360.0,386.45,386.24
201RB360,코스피200 C 202111 360.0,24.40,11,"67,150,000",0,2021-11-11,KRDRVOPK2I,2021-11-11,360.0,386.55,385.97
