ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201RC470,코스피200 C 202112 470.0,17.40,13,"50,500,000",13,2021-01-08,KRDRVOPK2I,2021-12-09,470.0,430.35,430.22
201RC470,코스피200 C 202112 470.0,21.35,"1,513","7,664,912,500","1,416",2021-01-11,KRDRVOPK2I,2021-12-09,470.0,432.55,431.13
201RC470,코스피200 C 202112 470.0,15.60,126,"613,925,000","1,379",2021-01-12,KRDRVOPK2I,2021-12-09,470.0,427.70,427.87
201RC470,코스피200 C 202112 470.0,16.50,2,"8,200,000","1,380",2021-01-13,KRDRVOPK2I,2021-12-09,470.0,428.75,430.38
201RC470,코스피200 C 202112 470.0,-,0,0,"1,380",2021-01-14,KRDRVOPK2I,2021-12-09,470.0,430.15,429.85
201RC470,코스피200 C 202112 470.0,16.20,21,"84,675,000","1,388",2021-01-15,KRDRVOPK2I,2021-12-09,470.0,419.40,420.43
201RC470,코스피200 C 202112 470.0,14.30,1,"3,575,000","1,387",2021-01-18,KRDRVOPK2I,2021-12-09,470.0,409.10,410.50
201RC470,코스피200 C 202112 470.0,17.90,6,"25,712,500","1,389",2021-01-19,KRDRVOPK2I,2021-12-09,470.0,422.55,421.35
201RC470,코스피200 C 202112 470.0,17.30,13,"55,025,000","1,390",2021-01-20,KRDRVOPK2I,2021-12-09,470.0,423.60,424.01
201RC470,코스피200 C 202112 470.0,17.90,4,"17,825,000","1,392",2021-01-21,KRDRVOPK2I,2021-12-09,470.0,429.70,430.27
201RC470,코스피200 C 202112 470.0,17.70,7,"27,575,000","1,396",2021-01-22,KRDRVOPK2I,2021-12-09,470.0,426.75,427.13
201RC470,코스피200 C 202112 470.0,21.20,10,"52,362,500","1,396",2021-01-25,KRDRVOPK2I,2021-12-09,470.0,436.60,437.30
201RC470,코스피200 C 202112 470.0,17.00,6,"29,050,000","1,392",2021-01-26,KRDRVOPK2I,2021-12-09,470.0,424.90,426.73
201RC470,코스피200 C 202112 470.0,16.80,13,"55,450,000","1,393",2021-01-27,KRDRVOPK2I,2021-12-09,470.0,422.95,423.67
201RC470,코스피200 C 202112 470.0,15.00,9,"34,937,500","1,395",2021-01-28,KRDRVOPK2I,2021-12-09,470.0,414.05,416.40
201RC470,코스피200 C 202112 470.0,12.50,6,"21,875,000","1,395",2021-01-29,KRDRVOPK2I,2021-12-09,470.0,404.45,404.56
201RC470,코스피200 C 202112 470.0,15.00,2,"7,250,000","1,397",2021-02-01,KRDRVOPK2I,2021-12-09,470.0,415.30,415.45
201RC470,코스피200 C 202112 470.0,18.30,19,"91,912,500","1,389",2021-02-02,KRDRVOPK2I,2021-12-09,470.0,422.10,421.03
201RC470,코스피200 C 202112 470.0,17.45,3,"13,512,500","1,386",2021-02-03,KRDRVOPK2I,2021-12-09,470.0,425.30,425.21
201RC470,코스피200 C 202112 470.0,15.50,3,"12,125,000","1,386",2021-02-04,KRDRVOPK2I,2021-12-09,470.0,417.05,418.31
201RC470,코스피200 C 202112 470.0,-,0,0,"1,386",2021-02-05,KRDRVOPK2I,2021-12-09,470.0,422.50,423.30
201RC470,코스피200 C 202112 470.0,15.00,15,"62,300,000","1,384",2021-02-08,KRDRVOPK2I,2021-12-09,470.0,418.50,418.95
201RC470,코스피200 C 202112 470.0,-,0,0,"1,384",2021-02-09,KRDRVOPK2I,2021-12-09,470.0,417.10,417.91
201RC470,코스피200 C 202112 470.0,15.35,1,"3,837,500","1,383",2021-02-10,KRDRVOPK2I,2021-12-09,470.0,421.25,419.65
