ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-15,KRDRVOPK2I,2022-10-13,305.0,352.95,353.84
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-18,KRDRVOPK2I,2022-10-13,305.0,353.70,353.63
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-19,KRDRVOPK2I,2022-10-13,305.0,357.20,357.36
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-20,KRDRVOPK2I,2022-10-13,305.0,356.95,357.52
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-21,KRDRVOPK2I,2022-10-13,305.0,358.90,359.02
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-22,KRDRVOPK2I,2022-10-13,305.0,354.55,355.43
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-25,KRDRVOPK2I,2022-10-13,305.0,348.35,348.98
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-26,KRDRVOPK2I,2022-10-13,305.0,350.05,350.67
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-27,KRDRVOPK2I,2022-10-13,305.0,345.40,346.21
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-28,KRDRVOPK2I,2022-10-13,305.0,349.90,350.16
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-04-29,KRDRVOPK2I,2022-10-13,305.0,355.60,355.08
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-02,KRDRVOPK2I,2022-10-13,305.0,353.45,354.02
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-03,KRDRVOPK2I,2022-10-13,305.0,352.85,353.32
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-04,KRDRVOPK2I,2022-10-13,305.0,353.55,353.85
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-06,KRDRVOPK2I,2022-10-13,305.0,348.30,349.00
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-09,KRDRVOPK2I,2022-10-13,305.0,345.30,345.41
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-10,KRDRVOPK2I,2022-10-13,305.0,343.10,343.67
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-11,KRDRVOPK2I,2022-10-13,305.0,343.05,343.44
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-12,KRDRVOPK2I,2022-10-13,305.0,337.80,337.94
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-13,KRDRVOPK2I,2022-10-13,305.0,345.70,345.50
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-16,KRDRVOPK2I,2022-10-13,305.0,344.15,343.94
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-17,KRDRVOPK2I,2022-10-13,305.0,347.60,347.53
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-18,KRDRVOPK2I,2022-10-13,305.0,348.40,348.34
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-19,KRDRVOPK2I,2022-10-13,305.0,342.10,343.24
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-20,KRDRVOPK2I,2022-10-13,305.0,349.65,349.29
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-23,KRDRVOPK2I,2022-10-13,305.0,350.70,350.34
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-24,KRDRVOPK2I,2022-10-13,305.0,344.20,344.08
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-25,KRDRVOPK2I,2022-10-13,305.0,346.15,345.60
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-26,KRDRVOPK2I,2022-10-13,305.0,344.80,344.26
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-27,KRDRVOPK2I,2022-10-13,305.0,348.90,348.04
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-30,KRDRVOPK2I,2022-10-13,305.0,352.95,352.49
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-05-31,KRDRVOPK2I,2022-10-13,305.0,354.15,354.54
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-02,KRDRVOPK2I,2022-10-13,305.0,350.00,350.51
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-03,KRDRVOPK2I,2022-10-13,305.0,352.40,352.01
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-07,KRDRVOPK2I,2022-10-13,305.0,345.70,345.67
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-08,KRDRVOPK2I,2022-10-13,305.0,346.65,346.22
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-09,KRDRVOPK2I,2022-10-13,305.0,345.50,346.62
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-10,KRDRVOPK2I,2022-10-13,305.0,341.10,341.89
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-13,KRDRVOPK2I,2022-10-13,305.0,329.25,329.88
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-14,KRDRVOPK2I,2022-10-13,305.0,327.00,328.23
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-15,KRDRVOPK2I,2022-10-13,305.0,321.40,322.21
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-16,KRDRVOPK2I,2022-10-13,305.0,321.60,322.25
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-17,KRDRVOPK2I,2022-10-13,305.0,319.00,320.09
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-20,KRDRVOPK2I,2022-10-13,305.0,313.85,314.44
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-21,KRDRVOPK2I,2022-10-13,305.0,316.70,316.38
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-22,KRDRVOPK2I,2022-10-13,305.0,308.30,308.08
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-23,KRDRVOPK2I,2022-10-13,305.0,306.10,305.45
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-24,KRDRVOPK2I,2022-10-13,305.0,312.70,312.07
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-27,KRDRVOPK2I,2022-10-13,305.0,316.60,316.20
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-28,KRDRVOPK2I,2022-10-13,305.0,318.95,319.11
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-29,KRDRVOPK2I,2022-10-13,305.0,313.30,312.86
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-06-30,KRDRVOPK2I,2022-10-13,305.0,307.45,307.20
201SA305,코스피200 C 202210 305.0,-,0,0,0,2022-07-01,KRDRVOPK2I,2022-10-13,305.0,304.95,304.02
201SA305,코스피200 C 202210 305.0,12.20,4,"12,175,000",4,2022-07-04,KRDRVOPK2I,2022-10-13,305.0,305.05,304.01
201SA305,코스피200 C 202210 305.0,-,0,0,4,2022-07-05,KRDRVOPK2I,2022-10-13,305.0,309.95,309.03
201SA305,코스피200 C 202210 305.0,-,0,0,4,2022-07-06,KRDRVOPK2I,2022-10-13,305.0,303.30,302.28
201SA305,코스피200 C 202210 305.0,-,0,0,4,2022-07-07,KRDRVOPK2I,2022-10-13,305.0,308.95,308.31
201SA305,코스피200 C 202210 305.0,-,0,0,4,2022-07-08,KRDRVOPK2I,2022-10-13,305.0,310.80,310.15
201SA305,코스피200 C 202210 305.0,-,0,0,4,2022-07-11,KRDRVOPK2I,2022-10-13,305.0,309.10,308.29
201SA305,코스피200 C 202210 305.0,-,0,0,4,2022-07-12,KRDRVOPK2I,2022-10-13,305.0,305.55,305.03
201SA305,코스피200 C 202210 305.0,-,0,0,4,2022-07-13,KRDRVOPK2I,2022-10-13,305.0,307.90,306.59
201SA305,코스피200 C 202210 305.0,12.95,1,"3,237,500",5,2022-07-14,KRDRVOPK2I,2022-10-13,305.0,306.60,305.35
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-15,KRDRVOPK2I,2022-10-13,305.0,308.00,307.91
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-18,KRDRVOPK2I,2022-10-13,305.0,316.00,314.87
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-19,KRDRVOPK2I,2022-10-13,305.0,313.70,313.90
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-20,KRDRVOPK2I,2022-10-13,305.0,316.50,316.02
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-21,KRDRVOPK2I,2022-10-13,305.0,318.80,319.68
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-22,KRDRVOPK2I,2022-10-13,305.0,318.20,317.33
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-25,KRDRVOPK2I,2022-10-13,305.0,319.10,318.34
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-26,KRDRVOPK2I,2022-10-13,305.0,320.50,319.61
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-27,KRDRVOPK2I,2022-10-13,305.0,320.25,319.74
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-28,KRDRVOPK2I,2022-10-13,305.0,322.80,321.62
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-07-29,KRDRVOPK2I,2022-10-13,305.0,323.45,323.31
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-08-01,KRDRVOPK2I,2022-10-13,305.0,323.90,322.97
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-08-02,KRDRVOPK2I,2022-10-13,305.0,321.50,321.64
201SA305,코스피200 C 202210 305.0,-,0,0,5,2022-08-03,KRDRVOPK2I,2022-10-13,305.0,324.15,323.80
201SA305,코스피200 C 202210 305.0,23.80,4,"23,800,000",1,2022-08-04,KRDRVOPK2I,2022-10-13,305.0,325.75,325.47
201SA305,코스피200 C 202210 305.0,-,0,0,1,2022-08-05,KRDRVOPK2I,2022-10-13,305.0,327.35,327.50
201SA305,코스피200 C 202210 305.0,-,0,0,1,2022-08-08,KRDRVOPK2I,2022-10-13,305.0,326.85,327.23
201SA305,코스피200 C 202210 305.0,-,0,0,1,2022-08-09,KRDRVOPK2I,2022-10-13,305.0,328.20,328.11
201SA305,코스피200 C 202210 305.0,22.10,28,"158,925,000",29,2022-08-10,KRDRVOPK2I,2022-10-13,305.0,324.50,324.35
201SA305,코스피200 C 202210 305.0,26.75,116,"746,712,500",135,2022-08-11,KRDRVOPK2I,2022-10-13,305.0,330.20,329.92
201SA305,코스피200 C 202210 305.0,27.20,26,"178,012,500",160,2022-08-12,KRDRVOPK2I,2022-10-13,305.0,330.70,330.67
201SA305,코스피200 C 202210 305.0,28.50,11,"80,350,000",169,2022-08-16,KRDRVOPK2I,2022-10-13,305.0,332.05,331.78
201SA305,코스피200 C 202210 305.0,26.25,5,"32,825,000",172,2022-08-17,KRDRVOPK2I,2022-10-13,305.0,329.80,329.91
201SA305,코스피200 C 202210 305.0,25.60,8,"49,487,500",174,2022-08-18,KRDRVOPK2I,2022-10-13,305.0,328.35,328.80
201SA305,코스피200 C 202210 305.0,24.00,7,"41,575,000",178,2022-08-19,KRDRVOPK2I,2022-10-13,305.0,326.80,326.79
201SA305,코스피200 C 202210 305.0,21.00,5,"25,637,500",183,2022-08-22,KRDRVOPK2I,2022-10-13,305.0,322.20,322.77
201SA305,코스피200 C 202210 305.0,17.40,7,"31,250,000",188,2022-08-23,KRDRVOPK2I,2022-10-13,305.0,318.15,318.69
201SA305,코스피200 C 202210 305.0,18.15,5,"22,437,500",192,2022-08-24,KRDRVOPK2I,2022-10-13,305.0,319.60,319.86
201SA305,코스피200 C 202210 305.0,20.00,10,"55,312,500",202,2022-08-25,KRDRVOPK2I,2022-10-13,305.0,323.85,323.63
201SA305,코스피200 C 202210 305.0,20.50,8,"41,912,500",207,2022-08-26,KRDRVOPK2I,2022-10-13,305.0,324.50,323.91
201SA305,코스피200 C 202210 305.0,15.00,15,"56,100,000",213,2022-08-29,KRDRVOPK2I,2022-10-13,305.0,315.70,316.35
201SA305,코스피200 C 202210 305.0,17.10,10,"42,050,000",221,2022-08-30,KRDRVOPK2I,2022-10-13,305.0,319.45,319.49
201SA305,코스피200 C 202210 305.0,19.00,6,"27,162,500",223,2022-08-31,KRDRVOPK2I,2022-10-13,305.0,321.00,322.96
201SA305,코스피200 C 202210 305.0,13.65,9,"31,400,000",225,2022-09-01,KRDRVOPK2I,2022-10-13,305.0,314.50,315.02
201SA305,코스피200 C 202210 305.0,11.80,4,"13,362,500",229,2022-09-02,KRDRVOPK2I,2022-10-13,305.0,313.85,312.92
201SA305,코스피200 C 202210 305.0,11.70,37,"107,900,000",239,2022-09-05,KRDRVOPK2I,2022-10-13,305.0,312.10,312.47
201SA305,코스피200 C 202210 305.0,11.75,63,"181,662,500",263,2022-09-06,KRDRVOPK2I,2022-10-13,305.0,312.90,313.01
201SA305,코스피200 C 202210 305.0,8.80,664,"1,407,130,000",554,2022-09-07,KRDRVOPK2I,2022-10-13,305.0,308.30,308.16
201SA305,코스피200 C 202210 305.0,8.46,223,"500,350,000",638,2022-09-08,KRDRVOPK2I,2022-10-13,305.0,309.10,309.12
201SA305,코스피200 C 202210 305.0,15.20,595,"2,012,170,000",586,2022-09-13,KRDRVOPK2I,2022-10-13,305.0,320.20,318.56
201SA305,코스피200 C 202210 305.0,10.70,"1,307","3,143,370,000",874,2022-09-14,KRDRVOPK2I,2022-10-13,305.0,312.70,312.74
201SA305,코스피200 C 202210 305.0,9.32,462,"1,158,835,000",962,2022-09-15,KRDRVOPK2I,2022-10-13,305.0,311.40,310.63
201SA305,코스피200 C 202210 305.0,7.36,"1,658","3,093,860,000","1,625",2022-09-16,KRDRVOPK2I,2022-10-13,305.0,307.90,308.69
201SA305,코스피200 C 202210 305.0,6.39,"3,922","6,668,660,000","3,030",2022-09-19,KRDRVOPK2I,2022-10-13,305.0,306.90,306.49
201SA305,코스피200 C 202210 305.0,6.59,"2,228","3,962,135,000","3,223",2022-09-20,KRDRVOPK2I,2022-10-13,305.0,307.55,307.54
201SA305,코스피200 C 202210 305.0,5.15,"9,454","12,528,617,500","5,784",2022-09-21,KRDRVOPK2I,2022-10-13,305.0,304.40,304.67
201SA305,코스피200 C 202210 305.0,3.30,"27,597","22,410,555,000","8,034",2022-09-22,KRDRVOPK2I,2022-10-13,305.0,301.05,301.65
201SA305,코스피200 C 202210 305.0,1.92,"54,929","30,778,177,500","15,446",2022-09-23,KRDRVOPK2I,2022-10-13,305.0,297.85,297.74
201SA305,코스피200 C 202210 305.0,0.66,"165,419","30,811,015,000","28,787",2022-09-26,KRDRVOPK2I,2022-10-13,305.0,290.30,289.77
201SA305,코스피200 C 202210 305.0,0.59,"176,766","20,755,245,000","39,519",2022-09-27,KRDRVOPK2I,2022-10-13,305.0,290.60,290.20
201SA305,코스피200 C 202210 305.0,0.19,"114,839","8,542,785,000","45,686",2022-09-28,KRDRVOPK2I,2022-10-13,305.0,283.00,283.19
201SA305,코스피200 C 202210 305.0,0.17,"103,655","6,774,040,000","49,210",2022-09-29,KRDRVOPK2I,2022-10-13,305.0,284.75,282.65
201SA305,코스피200 C 202210 305.0,0.14,"88,465","3,322,615,000","40,828",2022-09-30,KRDRVOPK2I,2022-10-13,305.0,282.45,281.36
201SA305,코스피200 C 202210 305.0,0.20,"56,652","2,310,992,500","40,317",2022-10-04,KRDRVOPK2I,2022-10-13,305.0,290.00,288.27
201SA305,코스피200 C 202210 305.0,0.15,"70,671","3,450,775,000","46,190",2022-10-05,KRDRVOPK2I,2022-10-13,305.0,290.40,289.05
201SA305,코스피200 C 202210 305.0,0.16,"95,825","4,170,847,500","48,005",2022-10-06,KRDRVOPK2I,2022-10-13,305.0,292.15,291.26
201SA305,코스피200 C 202210 305.0,0.07,"122,325","2,650,762,500","51,148",2022-10-07,KRDRVOPK2I,2022-10-13,305.0,290.85,290.41
201SA305,코스피200 C 202210 305.0,0.01,"58,164","215,047,500","58,289",2022-10-11,KRDRVOPK2I,2022-10-13,305.0,284.90,284.96
201SA305,코스피200 C 202210 305.0,0.01,912,"2,280,000","57,683",2022-10-12,KRDRVOPK2I,2022-10-13,305.0,287.85,287.09
201SA305,코스피200 C 202210 305.0,0.01,120,"300,000",0,2022-10-13,KRDRVOPK2I,2022-10-13,305.0,282.80,282.57
