ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-09-29,KRDRVOPK2I,2024-12-12,160.0,284.75,282.65
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-09-30,KRDRVOPK2I,2024-12-12,160.0,282.45,281.36
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-04,KRDRVOPK2I,2024-12-12,160.0,290.00,288.27
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-05,KRDRVOPK2I,2024-12-12,160.0,290.40,289.05
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-06,KRDRVOPK2I,2024-12-12,160.0,292.15,291.26
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-07,KRDRVOPK2I,2024-12-12,160.0,290.85,290.41
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-11,KRDRVOPK2I,2024-12-12,160.0,284.90,284.96
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-12,KRDRVOPK2I,2024-12-12,160.0,287.85,287.09
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-13,KRDRVOPK2I,2024-12-12,160.0,282.80,282.57
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-14,KRDRVOPK2I,2024-12-12,160.0,290.90,289.36
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-17,KRDRVOPK2I,2024-12-12,160.0,289.35,289.57
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-18,KRDRVOPK2I,2024-12-12,160.0,294.50,293.59
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-19,KRDRVOPK2I,2024-12-12,160.0,291.30,291.29
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-20,KRDRVOPK2I,2024-12-12,160.0,288.60,288.61
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-21,KRDRVOPK2I,2024-12-12,160.0,289.55,288.57
201VC160,코스피200 C 202412 160.0,-,0,0,0,2022-10-24,KRDRVOPK2I,2024-12-12,160.0,292.90,291.47
201VC160,코스피200 C 202412 160.0,136.20,2,"68,100,000",2,2022-10-25,KRDRVOPK2I,2024-12-12,160.0,292.45,291.58
201VC160,코스피200 C 202412 160.0,136.65,3,"102,587,500",5,2022-10-26,KRDRVOPK2I,2024-12-12,160.0,294.70,293.85
201VC160,코스피200 C 202412 160.0,140.65,1,"35,162,500",6,2022-10-27,KRDRVOPK2I,2024-12-12,160.0,299.65,298.82
201VC160,코스피200 C 202412 160.0,-,0,0,6,2022-10-28,KRDRVOPK2I,2024-12-12,160.0,295.80,295.06
201VC160,코스피200 C 202412 160.0,140.30,8,"281,012,500",14,2022-10-31,KRDRVOPK2I,2024-12-12,160.0,300.70,299.58
201VC160,코스피200 C 202412 160.0,-,0,0,14,2022-11-01,KRDRVOPK2I,2024-12-12,160.0,303.90,303.88
201VC160,코스피200 C 202412 160.0,144.30,1,"36,075,000",15,2022-11-02,KRDRVOPK2I,2024-12-12,160.0,304.45,303.87
201VC160,코스피200 C 202412 160.0,-,0,0,15,2022-11-03,KRDRVOPK2I,2024-12-12,160.0,302.05,301.66
201VC160,코스피200 C 202412 160.0,-,0,0,15,2022-11-04,KRDRVOPK2I,2024-12-12,160.0,305.40,304.33
201VC160,코스피200 C 202412 160.0,-,0,0,15,2022-11-07,KRDRVOPK2I,2024-12-12,160.0,309.00,307.87
201VC160,코스피200 C 202412 160.0,-,0,0,15,2022-11-08,KRDRVOPK2I,2024-12-12,160.0,312.95,312.01
201VC160,코스피200 C 202412 160.0,-,0,0,15,2022-11-09,KRDRVOPK2I,2024-12-12,160.0,316.25,315.23
201VC160,코스피200 C 202412 160.0,-,0,0,15,2022-11-10,KRDRVOPK2I,2024-12-12,160.0,311.45,311.13
201VC160,코스피200 C 202412 160.0,160.90,3,"120,637,500",18,2022-11-11,KRDRVOPK2I,2024-12-12,160.0,324.95,323.09
201VC160,코스피200 C 202412 160.0,-,0,0,18,2022-11-14,KRDRVOPK2I,2024-12-12,160.0,322.60,321.53
201VC160,코스피200 C 202412 160.0,-,0,0,18,2022-11-15,KRDRVOPK2I,2024-12-12,160.0,323.00,322.31
201VC160,코스피200 C 202412 160.0,159.50,3,"119,587,500",21,2022-11-16,KRDRVOPK2I,2024-12-12,160.0,322.95,321.96
201VC160,코스피200 C 202412 160.0,-,0,0,21,2022-11-17,KRDRVOPK2I,2024-12-12,160.0,319.25,316.75
201VC160,코스피200 C 202412 160.0,157.95,3,"118,687,500",24,2022-11-18,KRDRVOPK2I,2024-12-12,160.0,317.45,317.12
