ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
30149100,KOSPI 200 풋옵션 0409 100.0,2.62,124,"32,579,000",110,2004-03-15,KRDRVOPK2I,2004-09-09,100.0,112.70,111.63
30149100,KOSPI 200 풋옵션 0409 100.0,2.66,558,"152,505,000",650,2004-03-16,KRDRVOPK2I,2004-09-09,100.0,112.55,111.49
30149100,KOSPI 200 풋옵션 0409 100.0,2.03,239,"54,174,000",796,2004-03-17,KRDRVOPK2I,2004-09-09,100.0,115.35,114.55
30149100,KOSPI 200 풋옵션 0409 100.0,2.12,55,"10,951,000",839,2004-03-18,KRDRVOPK2I,2004-09-09,100.0,115.35,114.55
30149100,KOSPI 200 풋옵션 0409 100.0,1.90,27,"5,289,000",841,2004-03-19,KRDRVOPK2I,2004-09-09,100.0,116.80,116.02
30149100,KOSPI 200 풋옵션 0409 100.0,2.44,377,"82,437,000","1,162",2004-03-22,KRDRVOPK2I,2004-09-09,100.0,113.50,113.31
30149100,KOSPI 200 풋옵션 0409 100.0,2.26,522,"118,478,000","1,673",2004-03-23,KRDRVOPK2I,2004-09-09,100.0,113.95,113.72
30149100,KOSPI 200 풋옵션 0409 100.0,2.68,4,"1,044,000","1,673",2004-03-24,KRDRVOPK2I,2004-09-09,100.0,113.45,113.18
30149100,KOSPI 200 풋옵션 0409 100.0,2.68,19,"4,783,000","1,684",2004-03-25,KRDRVOPK2I,2004-09-09,100.0,112.60,112.16
30149100,KOSPI 200 풋옵션 0409 100.0,2.10,3,"640,000","1,684",2004-03-26,KRDRVOPK2I,2004-09-09,100.0,114.70,113.64
30149100,KOSPI 200 풋옵션 0409 100.0,1.93,801,"155,175,000","2,420",2004-03-29,KRDRVOPK2I,2004-09-09,100.0,115.65,115.10
30149100,KOSPI 200 풋옵션 0409 100.0,1.87,8,"1,504,000","2,422",2004-03-30,KRDRVOPK2I,2004-09-09,100.0,116.00,114.98
30149100,KOSPI 200 풋옵션 0409 100.0,1.82,"1,486","246,914,000","3,792",2004-03-31,KRDRVOPK2I,2004-09-09,100.0,116.05,115.98
30149100,KOSPI 200 풋옵션 0409 100.0,1.70,203,"36,552,000","3,872",2004-04-01,KRDRVOPK2I,2004-09-09,100.0,116.60,116.34
30149100,KOSPI 200 풋옵션 0409 100.0,1.52,44,"7,032,000","3,910",2004-04-02,KRDRVOPK2I,2004-09-09,100.0,117.40,116.35
30149100,KOSPI 200 풋옵션 0409 100.0,1.10,"1,456","163,683,000","5,273",2004-04-06,KRDRVOPK2I,2004-09-09,100.0,120.00,119.57
30149100,KOSPI 200 풋옵션 0409 100.0,0.87,462,"43,395,000","5,660",2004-04-07,KRDRVOPK2I,2004-09-09,100.0,120.50,120.05
30149100,KOSPI 200 풋옵션 0409 100.0,0.85,445,"40,056,000","5,678",2004-04-08,KRDRVOPK2I,2004-09-09,100.0,121.20,121.04
30149100,KOSPI 200 풋옵션 0409 100.0,1.03,470,"46,154,000","5,937",2004-04-09,KRDRVOPK2I,2004-09-09,100.0,119.60,119.27
30149100,KOSPI 200 풋옵션 0409 100.0,0.78,203,"15,891,000","5,967",2004-04-12,KRDRVOPK2I,2004-09-09,100.0,121.90,120.99
30149100,KOSPI 200 풋옵션 0409 100.0,0.80,208,"16,604,000","6,172",2004-04-13,KRDRVOPK2I,2004-09-09,100.0,121.65,120.65
30149100,KOSPI 200 풋옵션 0409 100.0,0.85,148,"12,982,000","6,241",2004-04-14,KRDRVOPK2I,2004-09-09,100.0,120.40,120.59
30149100,KOSPI 200 풋옵션 0409 100.0,1.20,578,"58,957,000","6,516",2004-04-16,KRDRVOPK2I,2004-09-09,100.0,118.10,117.97
30149100,KOSPI 200 풋옵션 0409 100.0,1.05,79,"9,336,000","6,573",2004-04-19,KRDRVOPK2I,2004-09-09,100.0,118.95,118.49
30149100,KOSPI 200 풋옵션 0409 100.0,0.85,58,"5,328,000","6,585",2004-04-20,KRDRVOPK2I,2004-09-09,100.0,121.30,120.60
30149100,KOSPI 200 풋옵션 0409 100.0,0.68,898,"65,641,000","7,021",2004-04-21,KRDRVOPK2I,2004-09-09,100.0,121.85,121.93
30149100,KOSPI 200 풋옵션 0409 100.0,0.80,77,"5,760,000","7,065",2004-04-22,KRDRVOPK2I,2004-09-09,100.0,121.35,120.76
30149100,KOSPI 200 풋옵션 0409 100.0,0.67,98,"6,753,000","7,013",2004-04-23,KRDRVOPK2I,2004-09-09,100.0,122.60,122.44
30149100,KOSPI 200 풋옵션 0409 100.0,0.80,144,"11,116,000","7,127",2004-04-26,KRDRVOPK2I,2004-09-09,100.0,120.50,120.30
30149100,KOSPI 200 풋옵션 0409 100.0,0.83,89,"7,516,000","7,181",2004-04-27,KRDRVOPK2I,2004-09-09,100.0,120.05,119.70
30149100,KOSPI 200 풋옵션 0409 100.0,1.07,326,"31,911,000","7,455",2004-04-28,KRDRVOPK2I,2004-09-09,100.0,117.75,117.48
30149100,KOSPI 200 풋옵션 0409 100.0,1.25,523,"71,005,000","7,915",2004-04-29,KRDRVOPK2I,2004-09-09,100.0,114.65,114.01
30149100,KOSPI 200 풋옵션 0409 100.0,1.57,190,"31,458,000","8,049",2004-04-30,KRDRVOPK2I,2004-09-09,100.0,112.50,112.40
30149100,KOSPI 200 풋옵션 0409 100.0,1.71,487,"87,820,000","8,510",2004-05-03,KRDRVOPK2I,2004-09-09,100.0,113.30,112.84
30149100,KOSPI 200 풋옵션 0409 100.0,1.66,153,"24,663,000","8,627",2004-05-04,KRDRVOPK2I,2004-09-09,100.0,112.95,112.92
30149100,KOSPI 200 풋옵션 0409 100.0,2.27,291,"60,514,000","8,836",2004-05-06,KRDRVOPK2I,2004-09-09,100.0,109.25,108.97
30149100,KOSPI 200 풋옵션 0409 100.0,2.25,298,"71,991,000","8,868",2004-05-07,KRDRVOPK2I,2004-09-09,100.0,109.05,109.38
30149100,KOSPI 200 풋옵션 0409 100.0,4.20,"1,217","473,592,000","9,353",2004-05-10,KRDRVOPK2I,2004-09-09,100.0,102.40,102.94
30149100,KOSPI 200 풋옵션 0409 100.0,4.50,918,"457,535,000","9,747",2004-05-11,KRDRVOPK2I,2004-09-09,100.0,102.60,102.73
30149100,KOSPI 200 풋옵션 0409 100.0,3.10,496,"169,455,000","9,746",2004-05-12,KRDRVOPK2I,2004-09-09,100.0,106.10,106.05
30149100,KOSPI 200 풋옵션 0409 100.0,5.20,769,"323,050,000","9,298",2004-05-13,KRDRVOPK2I,2004-09-09,100.0,101.25,102.14
30149100,KOSPI 200 풋옵션 0409 100.0,7.00,196,"129,740,000","9,280",2004-05-14,KRDRVOPK2I,2004-09-09,100.0,97.90,99.11
30149100,KOSPI 200 풋옵션 0409 100.0,10.15,"1,085","1,062,635,000","9,369",2004-05-17,KRDRVOPK2I,2004-09-09,100.0,93.50,94.05
