ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301A1137,KOSPI 200 풋옵션 0601 137.5,3.10,47,"14,383,000",40,2005-10-20,KRDRVOPK2I,2006-01-12,137.5,150.00,149.41
301A1137,KOSPI 200 풋옵션 0601 137.5,2.47,558,"144,590,000",460,2005-10-21,KRDRVOPK2I,2006-01-12,137.5,152.85,152.22
301A1137,KOSPI 200 풋옵션 0601 137.5,2.38,521,"114,610,000",740,2005-10-24,KRDRVOPK2I,2006-01-12,137.5,152.55,152.27
301A1137,KOSPI 200 풋옵션 0601 137.5,2.50,"2,827","522,498,000","3,163",2005-10-25,KRDRVOPK2I,2006-01-12,137.5,152.40,151.76
301A1137,KOSPI 200 풋옵션 0601 137.5,2.64,101,"26,464,000","3,176",2005-10-26,KRDRVOPK2I,2006-01-12,137.5,151.50,151.45
301A1137,KOSPI 200 풋옵션 0601 137.5,2.95,124,"33,329,000","3,298",2005-10-27,KRDRVOPK2I,2006-01-12,137.5,148.80,149.88
301A1137,KOSPI 200 풋옵션 0601 137.5,4.05,316,"114,570,000","3,556",2005-10-28,KRDRVOPK2I,2006-01-12,137.5,146.30,146.55
301A1137,KOSPI 200 풋옵션 0601 137.5,3.00,103,"32,028,000","3,625",2005-10-31,KRDRVOPK2I,2006-01-12,137.5,148.50,148.84
301A1137,KOSPI 200 풋옵션 0601 137.5,2.10,490,"108,406,000","3,979",2005-11-01,KRDRVOPK2I,2006-01-12,137.5,153.40,152.98
301A1137,KOSPI 200 풋옵션 0601 137.5,1.41,"1,904","324,680,000","4,989",2005-11-02,KRDRVOPK2I,2006-01-12,137.5,156.10,155.60
301A1137,KOSPI 200 풋옵션 0601 137.5,1.13,743,"91,451,000","5,501",2005-11-03,KRDRVOPK2I,2006-01-12,137.5,157.25,156.89
301A1137,KOSPI 200 풋옵션 0601 137.5,1.26,"1,777","197,723,000","6,055",2005-11-04,KRDRVOPK2I,2006-01-12,137.5,157.75,157.28
301A1137,KOSPI 200 풋옵션 0601 137.5,1.35,258,"38,715,000","6,115",2005-11-07,KRDRVOPK2I,2006-01-12,137.5,156.85,156.75
301A1137,KOSPI 200 풋옵션 0601 137.5,1.00,"1,452","170,705,000","7,432",2005-11-08,KRDRVOPK2I,2006-01-12,137.5,158.40,157.72
301A1137,KOSPI 200 풋옵션 0601 137.5,1.03,956,"103,372,000","7,993",2005-11-09,KRDRVOPK2I,2006-01-12,137.5,158.20,157.87
301A1137,KOSPI 200 풋옵션 0601 137.5,0.84,225,"21,646,000","8,101",2005-11-10,KRDRVOPK2I,2006-01-12,137.5,159.55,158.69
301A1137,KOSPI 200 풋옵션 0601 137.5,0.46,"3,743","192,112,000","11,117",2005-11-11,KRDRVOPK2I,2006-01-12,137.5,162.35,161.81
301A1137,KOSPI 200 풋옵션 0601 137.5,0.43,"2,883","125,897,000","13,363",2005-11-14,KRDRVOPK2I,2006-01-12,137.5,161.90,162.02
301A1137,KOSPI 200 풋옵션 0601 137.5,0.47,"1,525","84,709,000","13,795",2005-11-15,KRDRVOPK2I,2006-01-12,137.5,161.50,161.49
301A1137,KOSPI 200 풋옵션 0601 137.5,0.40,"2,014","95,649,000","15,208",2005-11-16,KRDRVOPK2I,2006-01-12,137.5,163.40,163.24
301A1137,KOSPI 200 풋옵션 0601 137.5,0.38,"1,459","57,464,000","15,218",2005-11-17,KRDRVOPK2I,2006-01-12,137.5,163.80,163.38
301A1137,KOSPI 200 풋옵션 0601 137.5,0.36,"2,353","86,362,000","15,517",2005-11-18,KRDRVOPK2I,2006-01-12,137.5,164.00,163.74
301A1137,KOSPI 200 풋옵션 0601 137.5,0.31,"2,031","64,246,000","16,603",2005-11-21,KRDRVOPK2I,2006-01-12,137.5,163.00,163.10
301A1137,KOSPI 200 풋옵션 0601 137.5,0.55,"2,081","105,777,000","17,588",2005-11-22,KRDRVOPK2I,2006-01-12,137.5,159.00,159.68
301A1137,KOSPI 200 풋옵션 0601 137.5,0.26,"3,498","107,254,000","17,032",2005-11-23,KRDRVOPK2I,2006-01-12,137.5,164.75,164.47
301A1137,KOSPI 200 풋옵션 0601 137.5,0.20,"3,231","67,037,000","18,556",2005-11-24,KRDRVOPK2I,2006-01-12,137.5,166.05,165.56
301A1137,KOSPI 200 풋옵션 0601 137.5,0.20,"4,296","77,776,000","21,546",2005-11-25,KRDRVOPK2I,2006-01-12,137.5,165.80,165.51
301A1137,KOSPI 200 풋옵션 0601 137.5,0.18,"3,876","64,661,000","24,205",2005-11-28,KRDRVOPK2I,2006-01-12,137.5,165.45,165.52
301A1137,KOSPI 200 풋옵션 0601 137.5,0.25,"4,502","101,388,000","26,406",2005-11-29,KRDRVOPK2I,2006-01-12,137.5,163.70,163.70
301A1137,KOSPI 200 풋옵션 0601 137.5,0.19,"3,461","65,614,000","27,138",2005-11-30,KRDRVOPK2I,2006-01-12,137.5,165.60,165.95
301A1137,KOSPI 200 풋옵션 0601 137.5,0.12,"5,316","77,754,000","29,432",2005-12-01,KRDRVOPK2I,2006-01-12,137.5,166.65,166.97
301A1137,KOSPI 200 풋옵션 0601 137.5,0.05,"11,414","77,502,000","33,970",2005-12-02,KRDRVOPK2I,2006-01-12,137.5,167.85,167.56
301A1137,KOSPI 200 풋옵션 0601 137.5,0.06,"18,841","113,468,000","44,781",2005-12-05,KRDRVOPK2I,2006-01-12,137.5,168.40,168.23
301A1137,KOSPI 200 풋옵션 0601 137.5,0.05,"30,154","161,374,000","64,152",2005-12-06,KRDRVOPK2I,2006-01-12,137.5,168.50,169.24
301A1137,KOSPI 200 풋옵션 0601 137.5,0.05,"72,492","416,533,000","117,241",2005-12-07,KRDRVOPK2I,2006-01-12,137.5,170.15,170.21
301A1137,KOSPI 200 풋옵션 0601 137.5,0.05,"109,521","546,023,000","129,171",2005-12-08,KRDRVOPK2I,2006-01-12,137.5,169.45,170.13
301A1137,KOSPI 200 풋옵션 0601 137.5,0.05,"250,367","952,082,000","175,545",2005-12-09,KRDRVOPK2I,2006-01-12,137.5,166.50,169.16
301A1137,KOSPI 200 풋옵션 0601 137.5,0.02,"112,304","267,511,000","209,264",2005-12-12,KRDRVOPK2I,2006-01-12,137.5,169.90,171.35
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"10,301","12,192,000","210,542",2005-12-13,KRDRVOPK2I,2006-01-12,137.5,169.55,171.65
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"29,329","50,339,000","210,063",2005-12-14,KRDRVOPK2I,2006-01-12,137.5,168.30,171.15
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"20,331","22,784,000","201,993",2005-12-15,KRDRVOPK2I,2006-01-12,137.5,169.45,171.56
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"78,775","153,733,000","202,461",2005-12-16,KRDRVOPK2I,2006-01-12,137.5,167.55,169.45
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"92,439","93,566,000","154,743",2005-12-19,KRDRVOPK2I,2006-01-12,137.5,170.00,171.91
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"87,503","88,919,000","114,565",2005-12-20,KRDRVOPK2I,2006-01-12,137.5,169.70,172.05
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"27,912","27,912,000","114,005",2005-12-21,KRDRVOPK2I,2006-01-12,137.5,171.70,173.95
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"10,551","10,551,000","114,923",2005-12-22,KRDRVOPK2I,2006-01-12,137.5,171.90,173.89
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"1,127","1,127,000","115,633",2005-12-23,KRDRVOPK2I,2006-01-12,137.5,173.00,175.11
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,287,"287,000","115,666",2005-12-26,KRDRVOPK2I,2006-01-12,137.5,174.50,176.27
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,494,"494,000","115,731",2005-12-27,KRDRVOPK2I,2006-01-12,137.5,175.70,177.20
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"1,182","1,182,000","116,808",2005-12-28,KRDRVOPK2I,2006-01-12,137.5,176.35,176.16
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,"11,367","11,367,000","116,635",2005-12-29,KRDRVOPK2I,2006-01-12,137.5,177.35,177.43
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,21,"21,000","116,645",2006-01-02,KRDRVOPK2I,2006-01-12,137.5,178.15,178.29
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,7,"7,000","116,651",2006-01-03,KRDRVOPK2I,2006-01-12,137.5,179.40,178.81
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,14,"14,000","116,664",2006-01-04,KRDRVOPK2I,2006-01-12,137.5,180.00,179.91
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,14,"14,000","116,677",2006-01-05,KRDRVOPK2I,2006-01-12,137.5,178.95,178.82
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,24,"24,000","116,699",2006-01-06,KRDRVOPK2I,2006-01-12,137.5,181.30,180.87
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,93,"93,000","116,738",2006-01-09,KRDRVOPK2I,2006-01-12,137.5,180.65,180.30
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,4,"4,000","116,739",2006-01-10,KRDRVOPK2I,2006-01-12,137.5,179.00,178.98
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,8,"8,000","116,746",2006-01-11,KRDRVOPK2I,2006-01-12,137.5,178.85,178.67
301A1137,KOSPI 200 풋옵션 0601 137.5,0.01,28,"28,000","116,762",2006-01-12,KRDRVOPK2I,2006-01-12,137.5,180.05,179.65
