ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-14,KRDRVOPK2I,2006-10-12,172.5,161.00,162.33
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-18,KRDRVOPK2I,2006-10-12,172.5,158.90,159.69
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-19,KRDRVOPK2I,2006-10-12,172.5,159.70,159.76
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-20,KRDRVOPK2I,2006-10-12,172.5,165.70,165.11
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-21,KRDRVOPK2I,2006-10-12,172.5,165.00,165.00
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-24,KRDRVOPK2I,2006-10-12,172.5,164.10,163.93
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-25,KRDRVOPK2I,2006-10-12,172.5,166.85,166.25
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-26,KRDRVOPK2I,2006-10-12,172.5,166.20,166.10
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-27,KRDRVOPK2I,2006-10-12,172.5,168.95,168.52
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,0,2006-07-28,KRDRVOPK2I,2006-10-12,172.5,169.30,168.54
301AA172,KOSPI 200 풋옵션 0610 172.5,7.15,320,"225,300,000",320,2006-07-31,KRDRVOPK2I,2006-10-12,172.5,168.70,168.51
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,320,2006-08-01,KRDRVOPK2I,2006-10-12,172.5,167.90,167.14
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,320,2006-08-02,KRDRVOPK2I,2006-10-12,172.5,169.20,168.27
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,320,2006-08-03,KRDRVOPK2I,2006-10-12,172.5,168.95,167.94
301AA172,KOSPI 200 풋옵션 0610 172.5,-,0,0,320,2006-08-04,KRDRVOPK2I,2006-10-12,172.5,170.05,169.68
301AA172,KOSPI 200 풋옵션 0610 172.5,7.00,50,"35,000,000",370,2006-08-07,KRDRVOPK2I,2006-10-12,172.5,168.10,167.61
