ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301AB157,KOSPI 200 풋옵션 0611 157.5,2.74,1,"274,000",1,2006-08-14,KRDRVOPK2I,2006-11-09,157.5,168.65,168.19
301AB157,KOSPI 200 풋옵션 0611 157.5,2.17,"1,064","240,617,000",799,2006-08-16,KRDRVOPK2I,2006-11-09,157.5,172.00,171.01
301AB157,KOSPI 200 풋옵션 0611 157.5,1.68,"1,742","279,561,000","2,336",2006-08-17,KRDRVOPK2I,2006-11-09,157.5,173.50,172.65
301AB157,KOSPI 200 풋옵션 0611 157.5,1.63,521,"83,378,000","2,658",2006-08-18,KRDRVOPK2I,2006-11-09,157.5,174.25,173.17
301AB157,KOSPI 200 풋옵션 0611 157.5,1.90,28,"4,944,000","2,660",2006-08-21,KRDRVOPK2I,2006-11-09,157.5,172.65,171.96
301AB157,KOSPI 200 풋옵션 0611 157.5,1.38,66,"9,376,000","2,725",2006-08-22,KRDRVOPK2I,2006-11-09,157.5,174.60,173.81
301AB157,KOSPI 200 풋옵션 0611 157.5,1.67,"1,944","308,850,000","3,246",2006-08-23,KRDRVOPK2I,2006-11-09,157.5,173.00,172.33
301AB157,KOSPI 200 풋옵션 0611 157.5,1.77,681,"125,874,000","3,384",2006-08-24,KRDRVOPK2I,2006-11-09,157.5,172.00,171.08
301AB157,KOSPI 200 풋옵션 0611 157.5,1.47,"1,515","230,436,000","4,289",2006-08-25,KRDRVOPK2I,2006-11-09,157.5,173.85,172.92
301AB157,KOSPI 200 풋옵션 0611 157.5,1.43,189,"26,423,000","4,472",2006-08-28,KRDRVOPK2I,2006-11-09,157.5,173.30,172.64
301AB157,KOSPI 200 풋옵션 0611 157.5,1.00,"1,160","124,435,000","5,260",2006-08-29,KRDRVOPK2I,2006-11-09,157.5,175.40,174.79
301AB157,KOSPI 200 풋옵션 0611 157.5,1.01,88,"8,623,000","5,262",2006-08-30,KRDRVOPK2I,2006-11-09,157.5,175.05,174.16
301AB157,KOSPI 200 풋옵션 0611 157.5,0.75,6,"479,000","5,260",2006-08-31,KRDRVOPK2I,2006-11-09,157.5,176.00,175.44
301AB157,KOSPI 200 풋옵션 0611 157.5,0.78,"1,115","87,966,000","5,329",2006-09-01,KRDRVOPK2I,2006-11-09,157.5,176.40,175.99
301AB157,KOSPI 200 풋옵션 0611 157.5,0.63,729,"46,633,000","5,542",2006-09-04,KRDRVOPK2I,2006-11-09,157.5,176.60,176.32
301AB157,KOSPI 200 풋옵션 0611 157.5,0.68,11,"722,000","5,545",2006-09-05,KRDRVOPK2I,2006-11-09,157.5,177.80,176.75
301AB157,KOSPI 200 풋옵션 0611 157.5,0.80,39,"3,055,000","5,564",2006-09-06,KRDRVOPK2I,2006-11-09,157.5,176.50,176.19
301AB157,KOSPI 200 풋옵션 0611 157.5,0.84,"1,420","128,054,000","5,816",2006-09-07,KRDRVOPK2I,2006-11-09,157.5,175.75,175.43
301AB157,KOSPI 200 풋옵션 0611 157.5,0.77,206,"17,470,000","5,866",2006-09-08,KRDRVOPK2I,2006-11-09,157.5,176.50,175.78
301AB157,KOSPI 200 풋옵션 0611 157.5,1.12,476,"46,950,000","5,906",2006-09-11,KRDRVOPK2I,2006-11-09,157.5,173.10,173.00
301AB157,KOSPI 200 풋옵션 0611 157.5,1.27,34,"3,999,000","5,925",2006-09-12,KRDRVOPK2I,2006-11-09,157.5,172.40,172.28
301AB157,KOSPI 200 풋옵션 0611 157.5,1.09,28,"3,043,000","5,929",2006-09-13,KRDRVOPK2I,2006-11-09,157.5,172.75,172.93
301AB157,KOSPI 200 풋옵션 0611 157.5,0.60,"1,295","97,258,000","5,869",2006-09-14,KRDRVOPK2I,2006-11-09,157.5,175.60,176.35
301AB157,KOSPI 200 풋옵션 0611 157.5,0.51,"6,122","325,169,000","10,543",2006-09-15,KRDRVOPK2I,2006-11-09,157.5,177.90,176.51
301AB157,KOSPI 200 풋옵션 0611 157.5,0.37,"9,422","398,775,000","16,962",2006-09-18,KRDRVOPK2I,2006-11-09,157.5,179.30,178.28
301AB157,KOSPI 200 풋옵션 0611 157.5,0.35,"1,829","62,847,000","18,080",2006-09-19,KRDRVOPK2I,2006-11-09,157.5,179.10,178.32
301AB157,KOSPI 200 풋옵션 0611 157.5,0.37,"6,630","278,697,000","19,934",2006-09-20,KRDRVOPK2I,2006-11-09,157.5,179.05,177.34
301AB157,KOSPI 200 풋옵션 0611 157.5,0.39,"8,273","291,514,000","24,629",2006-09-21,KRDRVOPK2I,2006-11-09,157.5,178.60,177.31
301AB157,KOSPI 200 풋옵션 0611 157.5,0.52,"2,266","115,985,000","25,623",2006-09-22,KRDRVOPK2I,2006-11-09,157.5,176.30,175.00
301AB157,KOSPI 200 풋옵션 0611 157.5,0.42,"5,001","243,142,000","27,539",2006-09-25,KRDRVOPK2I,2006-11-09,157.5,177.30,176.03
301AB157,KOSPI 200 풋옵션 0611 157.5,0.45,"9,414","363,137,000","31,642",2006-09-26,KRDRVOPK2I,2006-11-09,157.5,175.60,174.58
301AB157,KOSPI 200 풋옵션 0611 157.5,0.29,"7,378","230,199,000","35,848",2006-09-27,KRDRVOPK2I,2006-11-09,157.5,178.30,176.74
301AB157,KOSPI 200 풋옵션 0611 157.5,0.21,"9,245","210,359,000","37,827",2006-09-28,KRDRVOPK2I,2006-11-09,157.5,179.40,178.21
301AB157,KOSPI 200 풋옵션 0611 157.5,0.19,"1,832","34,656,000","38,318",2006-09-29,KRDRVOPK2I,2006-11-09,157.5,179.10,178.05
301AB157,KOSPI 200 풋옵션 0611 157.5,0.15,"3,522","52,648,000","38,533",2006-10-02,KRDRVOPK2I,2006-11-09,157.5,179.60,178.46
301AB157,KOSPI 200 풋옵션 0611 157.5,0.26,"24,362","611,497,000","40,286",2006-10-04,KRDRVOPK2I,2006-11-09,157.5,177.10,175.48
301AB157,KOSPI 200 풋옵션 0611 157.5,0.73,"53,353","3,418,131,000","58,688",2006-10-09,KRDRVOPK2I,2006-11-09,157.5,172.50,171.78
301AB157,KOSPI 200 풋옵션 0611 157.5,0.57,"136,375","8,649,117,000","105,420",2006-10-10,KRDRVOPK2I,2006-11-09,157.5,174.20,172.78
301AB157,KOSPI 200 풋옵션 0611 157.5,0.54,"59,357","3,403,098,000","110,943",2006-10-11,KRDRVOPK2I,2006-11-09,157.5,174.00,172.51
301AB157,KOSPI 200 풋옵션 0611 157.5,0.33,"106,122","4,014,777,000","126,773",2006-10-12,KRDRVOPK2I,2006-11-09,157.5,175.50,173.10
301AB157,KOSPI 200 풋옵션 0611 157.5,0.18,"247,121","4,437,740,000","160,002",2006-10-13,KRDRVOPK2I,2006-11-09,157.5,177.20,175.42
301AB157,KOSPI 200 풋옵션 0611 157.5,0.09,"273,773","3,454,364,000","170,317",2006-10-16,KRDRVOPK2I,2006-11-09,157.5,178.15,176.51
301AB157,KOSPI 200 풋옵션 0611 157.5,0.11,"675,399","7,809,722,000","213,126",2006-10-17,KRDRVOPK2I,2006-11-09,157.5,177.50,175.85
301AB157,KOSPI 200 풋옵션 0611 157.5,0.09,"436,528","5,664,093,000","223,230",2006-10-18,KRDRVOPK2I,2006-11-09,157.5,177.80,176.19
301AB157,KOSPI 200 풋옵션 0611 157.5,0.10,"526,053","4,753,681,000","238,811",2006-10-19,KRDRVOPK2I,2006-11-09,157.5,177.30,176.11
301AB157,KOSPI 200 풋옵션 0611 157.5,0.05,"286,069","1,835,187,000","238,518",2006-10-20,KRDRVOPK2I,2006-11-09,157.5,178.65,177.35
301AB157,KOSPI 200 풋옵션 0611 157.5,0.05,"343,842","1,572,553,000","287,320",2006-10-23,KRDRVOPK2I,2006-11-09,157.5,178.70,177.36
301AB157,KOSPI 200 풋옵션 0611 157.5,0.05,"148,807","632,501,000","315,802",2006-10-24,KRDRVOPK2I,2006-11-09,157.5,178.80,177.49
301AB157,KOSPI 200 풋옵션 0611 157.5,0.04,"277,522","1,112,304,000","288,416",2006-10-25,KRDRVOPK2I,2006-11-09,157.5,179.30,178.20
301AB157,KOSPI 200 풋옵션 0611 157.5,0.03,"231,063","692,494,000","292,524",2006-10-26,KRDRVOPK2I,2006-11-09,157.5,179.75,178.53
301AB157,KOSPI 200 풋옵션 0611 157.5,0.03,"264,608","872,811,000","338,719",2006-10-27,KRDRVOPK2I,2006-11-09,157.5,179.25,177.85
301AB157,KOSPI 200 풋옵션 0611 157.5,0.02,"422,878","1,262,962,000","315,088",2006-10-30,KRDRVOPK2I,2006-11-09,157.5,177.00,175.99
301AB157,KOSPI 200 풋옵션 0611 157.5,0.01,"117,033","226,025,000","311,319",2006-10-31,KRDRVOPK2I,2006-11-09,157.5,178.15,176.84
