ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,0,2006-09-15,KRDRVOPK2I,2006-12-14,182.5,177.90,176.51
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,0,2006-09-18,KRDRVOPK2I,2006-12-14,182.5,179.30,178.28
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,0,2006-09-19,KRDRVOPK2I,2006-12-14,182.5,179.10,178.32
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,0,2006-09-20,KRDRVOPK2I,2006-12-14,182.5,179.05,177.34
301AC182,KOSPI 200 풋옵션 0612 182.5,7.70,5,"3,715,000",5,2006-09-21,KRDRVOPK2I,2006-12-14,182.5,178.60,177.31
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,5,2006-09-22,KRDRVOPK2I,2006-12-14,182.5,176.30,175.00
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,5,2006-09-25,KRDRVOPK2I,2006-12-14,182.5,177.30,176.03
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,5,2006-09-26,KRDRVOPK2I,2006-12-14,182.5,175.60,174.58
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,5,2006-09-27,KRDRVOPK2I,2006-12-14,182.5,178.30,176.74
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,5,2006-09-28,KRDRVOPK2I,2006-12-14,182.5,179.40,178.21
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,5,2006-09-29,KRDRVOPK2I,2006-12-14,182.5,179.10,178.05
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,5,2006-10-02,KRDRVOPK2I,2006-12-14,182.5,179.60,178.46
301AC182,KOSPI 200 풋옵션 0612 182.5,-,0,0,5,2006-10-04,KRDRVOPK2I,2006-12-14,182.5,177.10,175.48
301AC182,KOSPI 200 풋옵션 0612 182.5,10.80,35,"33,040,000",37,2006-10-09,KRDRVOPK2I,2006-12-14,182.5,172.50,171.78
301AC182,KOSPI 200 풋옵션 0612 182.5,10.65,2,"2,115,000",38,2006-10-10,KRDRVOPK2I,2006-12-14,182.5,174.20,172.78
301AC182,KOSPI 200 풋옵션 0612 182.5,11.20,88,"94,310,000",124,2006-10-11,KRDRVOPK2I,2006-12-14,182.5,174.00,172.51
301AC182,KOSPI 200 풋옵션 0612 182.5,9.50,4,"3,800,000",124,2006-10-12,KRDRVOPK2I,2006-12-14,182.5,175.50,173.10
301AC182,KOSPI 200 풋옵션 0612 182.5,8.55,13,"10,985,000",136,2006-10-13,KRDRVOPK2I,2006-12-14,182.5,177.20,175.42
301AC182,KOSPI 200 풋옵션 0612 182.5,7.60,13,"10,620,000",136,2006-10-16,KRDRVOPK2I,2006-12-14,182.5,178.15,176.51
