ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301B6202,KOSPI 200 풋옵션 0706 202.5,-,0,0,0,2007-03-09,KRDRVOPK2I,2007-06-14,202.5,184.80,183.87
301B6202,KOSPI 200 풋옵션 0706 202.5,-,0,0,0,2007-03-12,KRDRVOPK2I,2007-06-14,202.5,187.40,186.36
301B6202,KOSPI 200 풋옵션 0706 202.5,-,0,0,0,2007-03-13,KRDRVOPK2I,2007-06-14,202.5,186.85,185.72
301B6202,KOSPI 200 풋옵션 0706 202.5,-,0,0,0,2007-03-14,KRDRVOPK2I,2007-06-14,202.5,182.80,181.81
301B6202,KOSPI 200 풋옵션 0706 202.5,-,0,0,0,2007-03-15,KRDRVOPK2I,2007-06-14,202.5,185.95,184.41
301B6202,KOSPI 200 풋옵션 0706 202.5,-,0,0,0,2007-03-16,KRDRVOPK2I,2007-06-14,202.5,185.15,184.42
301B6202,KOSPI 200 풋옵션 0706 202.5,-,0,0,0,2007-03-19,KRDRVOPK2I,2007-06-14,202.5,187.25,186.31
301B6202,KOSPI 200 풋옵션 0706 202.5,-,0,0,0,2007-03-20,KRDRVOPK2I,2007-06-14,202.5,187.95,186.34
301B6202,KOSPI 200 풋옵션 0706 202.5,-,0,0,0,2007-03-21,KRDRVOPK2I,2007-06-14,202.5,187.00,186.24
301B6202,KOSPI 200 풋옵션 0706 202.5,14.80,237,"358,805,000",231,2007-03-22,KRDRVOPK2I,2007-06-14,202.5,188.60,187.15
301B6202,KOSPI 200 풋옵션 0706 202.5,13.90,1,"1,390,000",231,2007-03-23,KRDRVOPK2I,2007-06-14,202.5,188.60,186.89
301B6202,KOSPI 200 풋옵션 0706 202.5,13.25,1,"1,325,000",231,2007-03-26,KRDRVOPK2I,2007-06-14,202.5,188.60,187.19
301B6202,KOSPI 200 풋옵션 0706 202.5,14.35,51,"73,320,000",272,2007-03-27,KRDRVOPK2I,2007-06-14,202.5,189.80,187.68
301B6202,KOSPI 200 풋옵션 0706 202.5,13.05,2,"2,680,000",272,2007-03-28,KRDRVOPK2I,2007-06-14,202.5,187.20,185.96
301B6202,KOSPI 200 풋옵션 0706 202.5,14.70,23,"33,935,000",293,2007-03-29,KRDRVOPK2I,2007-06-14,202.5,189.05,187.44
