ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301BA237,KOSPI 200 풋옵션 0710 237.5,5.65,530,"302,125,000",400,2007-07-13,KRDRVOPK2I,2007-10-11,237.5,252.65,250.19
301BA237,KOSPI 200 풋옵션 0710 237.5,5.60,71,"39,020,000",471,2007-07-16,KRDRVOPK2I,2007-10-11,237.5,248.80,247.91
301BA237,KOSPI 200 풋옵션 0710 237.5,5.85,48,"30,940,000",499,2007-07-18,KRDRVOPK2I,2007-10-11,237.5,245.80,244.92
301BA237,KOSPI 200 풋옵션 0710 237.5,6.05,30,"18,745,000",529,2007-07-19,KRDRVOPK2I,2007-10-11,237.5,247.55,245.70
301BA237,KOSPI 200 풋옵션 0710 237.5,5.00,17,"8,475,000",535,2007-07-20,KRDRVOPK2I,2007-10-11,237.5,252.55,251.45
301BA237,KOSPI 200 풋옵션 0710 237.5,-,0,0,535,2007-07-23,KRDRVOPK2I,2007-10-11,237.5,253.40,252.28
301BA237,KOSPI 200 풋옵션 0710 237.5,4.05,12,"4,925,000",535,2007-07-24,KRDRVOPK2I,2007-10-11,237.5,253.75,252.61
301BA237,KOSPI 200 풋옵션 0710 237.5,3.65,"2,082","920,700,000","2,483",2007-07-25,KRDRVOPK2I,2007-10-11,237.5,255.40,253.93
301BA237,KOSPI 200 풋옵션 0710 237.5,-,0,0,"2,483",2007-07-26,KRDRVOPK2I,2007-10-11,237.5,249.15,248.75
301BA237,KOSPI 200 풋옵션 0710 237.5,7.85,97,"74,240,000","2,483",2007-07-27,KRDRVOPK2I,2007-10-11,237.5,237.85,238.34
301BA237,KOSPI 200 풋옵션 0710 237.5,8.60,"2,516","2,379,490,000","4,389",2007-07-30,KRDRVOPK2I,2007-10-11,237.5,242.55,241.39
301BA237,KOSPI 200 풋옵션 0710 237.5,7.40,326,"245,030,000","4,621",2007-07-31,KRDRVOPK2I,2007-10-11,237.5,245.30,244.32
301BA237,KOSPI 200 풋옵션 0710 237.5,13.00,297,"283,365,000","4,858",2007-08-01,KRDRVOPK2I,2007-10-11,237.5,231.75,234.36
301BA237,KOSPI 200 풋옵션 0710 237.5,12.65,873,"1,329,315,000","5,208",2007-08-02,KRDRVOPK2I,2007-10-11,237.5,233.65,233.84
301BA237,KOSPI 200 풋옵션 0710 237.5,11.25,267,"296,110,000","5,259",2007-08-03,KRDRVOPK2I,2007-10-11,237.5,236.00,236.91
301BA237,KOSPI 200 풋옵션 0710 237.5,14.20,209,"293,140,000","5,413",2007-08-06,KRDRVOPK2I,2007-10-11,237.5,233.50,233.92
301BA237,KOSPI 200 풋옵션 0710 237.5,12.10,568,"597,440,000","5,789",2007-08-07,KRDRVOPK2I,2007-10-11,237.5,234.50,234.50
301BA237,KOSPI 200 풋옵션 0710 237.5,9.05,60,"56,100,000","5,760",2007-08-08,KRDRVOPK2I,2007-10-11,237.5,240.00,240.07
301BA237,KOSPI 200 풋옵션 0710 237.5,9.20,"1,236","1,054,300,000","5,687",2007-08-09,KRDRVOPK2I,2007-10-11,237.5,239.90,241.00
301BA237,KOSPI 200 풋옵션 0710 237.5,15.00,111,"168,130,000","5,783",2007-08-10,KRDRVOPK2I,2007-10-11,237.5,230.00,230.68
