ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301CA205,코스피200 P 200810 205.0,12.40,5,"6,325,000",5,2008-07-11,KRDRVOPK2I,2008-10-09,205.0,201.40,200.12
301CA205,코스피200 P 200810 205.0,11.50,11,"11,750,000",16,2008-07-14,KRDRVOPK2I,2008-10-09,205.0,201.20,199.12
301CA205,코스피200 P 200810 205.0,14.95,2,"2,895,000",18,2008-07-15,KRDRVOPK2I,2008-10-09,205.0,194.75,193.01
301CA205,코스피200 P 200810 205.0,15.40,2,"3,060,000",19,2008-07-16,KRDRVOPK2I,2008-10-09,205.0,194.70,192.48
301CA205,코스피200 P 200810 205.0,-,0,0,19,2008-07-17,KRDRVOPK2I,2008-10-09,205.0,197.50,194.89
301CA205,코스피200 P 200810 205.0,-,0,0,19,2008-07-18,KRDRVOPK2I,2008-10-09,205.0,194.95,192.86
301CA205,코스피200 P 200810 205.0,11.75,2,"2,150,000",21,2008-07-21,KRDRVOPK2I,2008-10-09,205.0,203.95,200.00
301CA205,코스피200 P 200810 205.0,-,0,0,21,2008-07-22,KRDRVOPK2I,2008-10-09,205.0,201.85,199.77
301CA205,코스피200 P 200810 205.0,7.60,8,"6,440,000",29,2008-07-23,KRDRVOPK2I,2008-10-09,205.0,206.75,203.64
301CA205,코스피200 P 200810 205.0,6.45,12,"7,535,000",39,2008-07-24,KRDRVOPK2I,2008-10-09,205.0,211.30,208.34
301CA205,코스피200 P 200810 205.0,7.85,1,"785,000",40,2008-07-25,KRDRVOPK2I,2008-10-09,205.0,207.50,204.27
301CA205,코스피200 P 200810 205.0,7.60,21,"16,525,000",51,2008-07-28,KRDRVOPK2I,2008-10-09,205.0,206.15,203.97
301CA205,코스피200 P 200810 205.0,-,0,0,51,2008-07-29,KRDRVOPK2I,2008-10-09,205.0,201.00,199.90
301CA205,코스피200 P 200810 205.0,8.50,2,"1,700,000",53,2008-07-30,KRDRVOPK2I,2008-10-09,205.0,203.70,201.82
301CA205,코스피200 P 200810 205.0,7.60,12,"9,260,000",56,2008-07-31,KRDRVOPK2I,2008-10-09,205.0,205.05,204.12
301CA205,코스피200 P 200810 205.0,9.15,103,"87,270,000",154,2008-08-01,KRDRVOPK2I,2008-10-09,205.0,202.50,201.43
301CA205,코스피200 P 200810 205.0,11.90,2,"2,375,000",156,2008-08-04,KRDRVOPK2I,2008-10-09,205.0,199.40,197.56
301CA205,코스피200 P 200810 205.0,11.20,12,"13,310,000",164,2008-08-05,KRDRVOPK2I,2008-10-09,205.0,198.40,196.44
301CA205,코스피200 P 200810 205.0,7.75,237,"199,980,000",234,2008-08-06,KRDRVOPK2I,2008-10-09,205.0,203.65,202.28
301CA205,코스피200 P 200810 205.0,9.70,3,"2,970,000",237,2008-08-07,KRDRVOPK2I,2008-10-09,205.0,201.05,200.31
301CA205,코스피200 P 200810 205.0,9.00,9,"7,835,000",239,2008-08-08,KRDRVOPK2I,2008-10-09,205.0,201.30,200.76
301CA205,코스피200 P 200810 205.0,7.75,72,"52,520,000",289,2008-08-11,KRDRVOPK2I,2008-10-09,205.0,202.95,202.42
301CA205,코스피200 P 200810 205.0,8.05,61,"47,405,000",345,2008-08-12,KRDRVOPK2I,2008-10-09,205.0,203.35,202.12
301CA205,코스피200 P 200810 205.0,9.85,3,"2,685,000",344,2008-08-13,KRDRVOPK2I,2008-10-09,205.0,201.05,200.26
301CA205,코스피200 P 200810 205.0,8.50,1,"850,000",343,2008-08-14,KRDRVOPK2I,2008-10-09,205.0,204.00,201.50
301CA205,코스피200 P 200810 205.0,7.80,634,"507,605,000",793,2008-08-18,KRDRVOPK2I,2008-10-09,205.0,202.30,200.97
301CA205,코스피200 P 200810 205.0,10.15,46,"47,400,000",790,2008-08-19,KRDRVOPK2I,2008-10-09,205.0,198.20,197.56
301CA205,코스피200 P 200810 205.0,10.05,127,"137,320,000",697,2008-08-20,KRDRVOPK2I,2008-10-09,205.0,198.45,197.35
301CA205,코스피200 P 200810 205.0,12.10,85,"106,100,000",748,2008-08-21,KRDRVOPK2I,2008-10-09,205.0,194.60,193.85
301CA205,코스피200 P 200810 205.0,14.70,23,"32,960,000",740,2008-08-22,KRDRVOPK2I,2008-10-09,205.0,192.75,192.04
301CA205,코스피200 P 200810 205.0,12.10,1,"1,210,000",741,2008-08-25,KRDRVOPK2I,2008-10-09,205.0,193.55,192.99
301CA205,코스피200 P 200810 205.0,14.20,"4,434","6,533,080,000","4,354",2008-08-26,KRDRVOPK2I,2008-10-09,205.0,192.65,191.36
301CA205,코스피200 P 200810 205.0,13.30,"1,171","1,777,680,000","5,371",2008-08-27,KRDRVOPK2I,2008-10-09,205.0,192.90,191.60
301CA205,코스피200 P 200810 205.0,15.25,"3,125","5,042,420,000","8,352",2008-08-28,KRDRVOPK2I,2008-10-09,205.0,189.85,188.75
301CA205,코스피200 P 200810 205.0,16.50,7,"10,415,000","8,353",2008-08-29,KRDRVOPK2I,2008-10-09,205.0,189.10,188.96
301CA205,코스피200 P 200810 205.0,21.90,"2,113","4,296,860,000","10,358",2008-09-01,KRDRVOPK2I,2008-10-09,205.0,183.60,182.13
301CA205,코스피200 P 200810 205.0,22.00,147,"325,145,000","10,453",2008-09-02,KRDRVOPK2I,2008-10-09,205.0,183.30,182.41
301CA205,코스피200 P 200810 205.0,21.35,19,"39,395,000","10,453",2008-09-03,KRDRVOPK2I,2008-10-09,205.0,184.10,184.36
301CA205,코스피200 P 200810 205.0,21.40,409,"891,265,000","10,854",2008-09-04,KRDRVOPK2I,2008-10-09,205.0,184.55,183.57
301CA205,코스피200 P 200810 205.0,23.80,490,"1,133,855,000","11,143",2008-09-05,KRDRVOPK2I,2008-10-09,205.0,180.80,180.49
301CA205,코스피200 P 200810 205.0,15.30,46,"74,015,000","11,144",2008-09-08,KRDRVOPK2I,2008-10-09,205.0,190.30,189.97
301CA205,코스피200 P 200810 205.0,18.50,47,"82,930,000","11,143",2008-09-09,KRDRVOPK2I,2008-10-09,205.0,187.40,186.99
301CA205,코스피200 P 200810 205.0,17.80,118,"209,790,000","11,252",2008-09-10,KRDRVOPK2I,2008-10-09,205.0,188.50,188.50
301CA205,코스피200 P 200810 205.0,18.80,2,"3,780,000","11,254",2008-09-11,KRDRVOPK2I,2008-10-09,205.0,186.25,185.27
301CA205,코스피200 P 200810 205.0,15.20,491,"765,920,000","11,529",2008-09-12,KRDRVOPK2I,2008-10-09,205.0,192.30,189.90
301CA205,코스피200 P 200810 205.0,25.80,15,"38,395,000","11,534",2008-09-16,KRDRVOPK2I,2008-10-09,205.0,182.60,179.00
301CA205,코스피200 P 200810 205.0,21.60,75,"157,005,000","11,543",2008-09-17,KRDRVOPK2I,2008-10-09,205.0,185.05,183.54
301CA205,코스피200 P 200810 205.0,26.45,186,"506,305,000","11,612",2008-09-18,KRDRVOPK2I,2008-10-09,205.0,181.20,179.25
301CA205,코스피200 P 200810 205.0,16.00,30,"52,070,000","11,630",2008-09-19,KRDRVOPK2I,2008-10-09,205.0,191.70,188.31
301CA205,코스피200 P 200810 205.0,16.30,211,"331,640,000","11,795",2008-09-22,KRDRVOPK2I,2008-10-09,205.0,191.00,189.16
301CA205,코스피200 P 200810 205.0,14.20,54,"73,235,000","11,809",2008-09-23,KRDRVOPK2I,2008-10-09,205.0,193.55,191.58
301CA205,코스피200 P 200810 205.0,12.05,"1,506","1,884,875,000","12,346",2008-09-24,KRDRVOPK2I,2008-10-09,205.0,196.10,193.18
301CA205,코스피200 P 200810 205.0,11.55,987,"1,274,600,000","12,747",2008-09-25,KRDRVOPK2I,2008-10-09,205.0,196.75,193.87
301CA205,코스피200 P 200810 205.0,14.30,516,"742,565,000","13,046",2008-09-26,KRDRVOPK2I,2008-10-09,205.0,193.60,190.60
301CA205,코스피200 P 200810 205.0,17.60,491,"774,635,000","12,968",2008-09-29,KRDRVOPK2I,2008-10-09,205.0,189.55,188.10
301CA205,코스피200 P 200810 205.0,20.40,336,"824,870,000","12,710",2008-09-30,KRDRVOPK2I,2008-10-09,205.0,185.95,186.62
301CA205,코스피200 P 200810 205.0,19.00,49,"98,750,000","12,697",2008-10-01,KRDRVOPK2I,2008-10-09,205.0,188.15,185.52
301CA205,코스피200 P 200810 205.0,22.85,"1,029","1,945,930,000","11,990",2008-10-02,KRDRVOPK2I,2008-10-09,205.0,184.40,182.70
301CA205,코스피200 P 200810 205.0,30.10,"1,688","4,987,770,000","10,463",2008-10-06,KRDRVOPK2I,2008-10-09,205.0,177.95,175.03
