ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301CB197,코스피200 P 200811 197.5,6.10,3,"1,710,000",2,2008-08-18,KRDRVOPK2I,2008-11-13,197.5,202.30,200.97
301CB197,코스피200 P 200811 197.5,7.70,584,"474,465,000",508,2008-08-19,KRDRVOPK2I,2008-11-13,197.5,198.20,197.56
301CB197,코스피200 P 200811 197.5,7.65,114,"94,565,000",515,2008-08-20,KRDRVOPK2I,2008-11-13,197.5,198.45,197.35
301CB197,코스피200 P 200811 197.5,9.55,178,"163,205,000",536,2008-08-21,KRDRVOPK2I,2008-11-13,197.5,194.60,193.85
301CB197,코스피200 P 200811 197.5,-,0,0,536,2008-08-22,KRDRVOPK2I,2008-11-13,197.5,192.75,192.04
301CB197,코스피200 P 200811 197.5,-,0,0,536,2008-08-25,KRDRVOPK2I,2008-11-13,197.5,193.55,192.99
301CB197,코스피200 P 200811 197.5,-,0,0,536,2008-08-26,KRDRVOPK2I,2008-11-13,197.5,192.65,191.36
301CB197,코스피200 P 200811 197.5,-,0,0,536,2008-08-27,KRDRVOPK2I,2008-11-13,197.5,192.90,191.60
301CB197,코스피200 P 200811 197.5,-,0,0,536,2008-08-28,KRDRVOPK2I,2008-11-13,197.5,189.85,188.75
301CB197,코스피200 P 200811 197.5,-,0,0,536,2008-08-29,KRDRVOPK2I,2008-11-13,197.5,189.10,188.96
301CB197,코스피200 P 200811 197.5,12.90,1,"1,290,000",537,2008-09-01,KRDRVOPK2I,2008-11-13,197.5,183.60,182.13
301CB197,코스피200 P 200811 197.5,-,0,0,537,2008-09-02,KRDRVOPK2I,2008-11-13,197.5,183.30,182.41
301CB197,코스피200 P 200811 197.5,15.45,15,"23,315,000",530,2008-09-03,KRDRVOPK2I,2008-11-13,197.5,184.10,184.36
301CB197,코스피200 P 200811 197.5,15.00,1,"1,500,000",530,2008-09-04,KRDRVOPK2I,2008-11-13,197.5,184.55,183.57
301CB197,코스피200 P 200811 197.5,17.45,6,"10,470,000",530,2008-09-05,KRDRVOPK2I,2008-11-13,197.5,180.80,180.49
301CB197,코스피200 P 200811 197.5,11.00,15,"17,565,000",538,2008-09-08,KRDRVOPK2I,2008-11-13,197.5,190.30,189.97
301CB197,코스피200 P 200811 197.5,-,0,0,538,2008-09-09,KRDRVOPK2I,2008-11-13,197.5,187.40,186.99
301CB197,코스피200 P 200811 197.5,-,0,0,538,2008-09-10,KRDRVOPK2I,2008-11-13,197.5,188.50,188.50
301CB197,코스피200 P 200811 197.5,-,0,0,538,2008-09-11,KRDRVOPK2I,2008-11-13,197.5,186.25,185.27
301CB197,코스피200 P 200811 197.5,11.40,30,"34,835,000",559,2008-09-12,KRDRVOPK2I,2008-11-13,197.5,192.30,189.90
301CB197,코스피200 P 200811 197.5,19.00,6,"11,510,000",558,2008-09-16,KRDRVOPK2I,2008-11-13,197.5,182.60,179.00
301CB197,코스피200 P 200811 197.5,16.55,3,"4,775,000",560,2008-09-17,KRDRVOPK2I,2008-11-13,197.5,185.05,183.54
301CB197,코스피200 P 200811 197.5,19.50,54,"110,675,000",543,2008-09-18,KRDRVOPK2I,2008-11-13,197.5,181.20,179.25
301CB197,코스피200 P 200811 197.5,12.60,58,"85,250,000",568,2008-09-19,KRDRVOPK2I,2008-11-13,197.5,191.70,188.31
301CB197,코스피200 P 200811 197.5,11.90,63,"76,840,000",606,2008-09-22,KRDRVOPK2I,2008-11-13,197.5,191.00,189.16
301CB197,코스피200 P 200811 197.5,11.80,14,"16,510,000",613,2008-09-23,KRDRVOPK2I,2008-11-13,197.5,193.55,191.58
301CB197,코스피200 P 200811 197.5,10.35,277,"287,375,000",697,2008-09-24,KRDRVOPK2I,2008-11-13,197.5,196.10,193.18
301CB197,코스피200 P 200811 197.5,9.65,140,"144,745,000",786,2008-09-25,KRDRVOPK2I,2008-11-13,197.5,196.75,193.87
301CB197,코스피200 P 200811 197.5,11.70,288,"334,355,000",932,2008-09-26,KRDRVOPK2I,2008-11-13,197.5,193.60,190.60
301CB197,코스피200 P 200811 197.5,13.40,60,"76,370,000",954,2008-09-29,KRDRVOPK2I,2008-11-13,197.5,189.55,188.10
301CB197,코스피200 P 200811 197.5,15.30,47,"83,465,000",946,2008-09-30,KRDRVOPK2I,2008-11-13,197.5,185.95,186.62
301CB197,코스피200 P 200811 197.5,14.20,45,"71,780,000",929,2008-10-01,KRDRVOPK2I,2008-11-13,197.5,188.15,185.52
301CB197,코스피200 P 200811 197.5,16.05,11,"15,910,000",928,2008-10-02,KRDRVOPK2I,2008-11-13,197.5,184.40,182.70
301CB197,코스피200 P 200811 197.5,22.00,8,"18,490,000",928,2008-10-06,KRDRVOPK2I,2008-11-13,197.5,177.95,175.03
301CB197,코스피200 P 200811 197.5,21.20,10,"22,990,000",928,2008-10-07,KRDRVOPK2I,2008-11-13,197.5,177.90,176.46
301CB197,코스피200 P 200811 197.5,29.75,40,"111,940,000",923,2008-10-08,KRDRVOPK2I,2008-11-13,197.5,169.20,167.16
301CB197,코스피200 P 200811 197.5,26.45,107,"308,965,000",943,2008-10-09,KRDRVOPK2I,2008-11-13,197.5,170.05,168.86
301CB197,코스피200 P 200811 197.5,35.05,36,"140,935,000",944,2008-10-10,KRDRVOPK2I,2008-11-13,197.5,162.55,162.05
301CB197,코스피200 P 200811 197.5,29.35,97,"313,925,000",979,2008-10-13,KRDRVOPK2I,2008-11-13,197.5,169.90,167.91
301CB197,코스피200 P 200811 197.5,21.35,98,"216,120,000",967,2008-10-14,KRDRVOPK2I,2008-11-13,197.5,178.00,178.15
301CB197,코스피200 P 200811 197.5,23.95,20,"47,540,000",960,2008-10-15,KRDRVOPK2I,2008-11-13,197.5,174.95,174.28
301CB197,코스피200 P 200811 197.5,35.40,8,"28,355,000",962,2008-10-16,KRDRVOPK2I,2008-11-13,197.5,157.50,157.63
301CB197,코스피200 P 200811 197.5,41.50,2,"8,435,000",962,2008-10-17,KRDRVOPK2I,2008-11-13,197.5,156.40,153.06
301CB197,코스피200 P 200811 197.5,39.50,18,"75,780,000",957,2008-10-20,KRDRVOPK2I,2008-11-13,197.5,159.30,157.51
301CB197,코스피200 P 200811 197.5,-,0,0,957,2008-10-21,KRDRVOPK2I,2008-11-13,197.5,156.70,155.80
