ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301DA185,코스피200 P 200910 185.0,9.80,93,"92,890,000",81,2009-07-10,KRDRVOPK2I,2009-10-08,185.0,184.00,184.56
301DA185,코스피200 P 200910 185.0,13.00,25,"30,170,000",106,2009-07-13,KRDRVOPK2I,2009-10-08,185.0,178.10,178.15
301DA185,코스피200 P 200910 185.0,11.80,12,"13,450,000",116,2009-07-14,KRDRVOPK2I,2009-10-08,185.0,179.45,179.43
301DA185,코스피200 P 200910 185.0,-,0,0,116,2009-07-15,KRDRVOPK2I,2009-10-08,185.0,183.15,184.26
301DA185,코스피200 P 200910 185.0,8.60,21,"18,545,000",137,2009-07-16,KRDRVOPK2I,2009-10-08,185.0,186.35,186.22
301DA185,코스피200 P 200910 185.0,8.45,181,"152,960,000",292,2009-07-17,KRDRVOPK2I,2009-10-08,185.0,187.30,187.16
301DA185,코스피200 P 200910 185.0,5.80,37,"23,645,000",286,2009-07-20,KRDRVOPK2I,2009-10-08,185.0,192.40,192.25
301DA185,코스피200 P 200910 185.0,5.60,3,"1,670,000",288,2009-07-21,KRDRVOPK2I,2009-10-08,185.0,193.70,193.62
301DA185,코스피200 P 200910 185.0,5.50,"2,251","1,216,800,000","2,396",2009-07-22,KRDRVOPK2I,2009-10-08,185.0,194.50,194.29
301DA185,코스피200 P 200910 185.0,5.15,138,"68,855,000","2,301",2009-07-23,KRDRVOPK2I,2009-10-08,185.0,194.70,194.40
301DA185,코스피200 P 200910 185.0,4.80,20,"9,600,000","2,301",2009-07-24,KRDRVOPK2I,2009-10-08,185.0,195.95,195.13
301DA185,코스피200 P 200910 185.0,4.00,332,"136,090,000","2,542",2009-07-27,KRDRVOPK2I,2009-10-08,185.0,198.05,198.07
301DA185,코스피200 P 200910 185.0,4.25,54,"22,905,000","2,587",2009-07-28,KRDRVOPK2I,2009-10-08,185.0,198.90,198.52
301DA185,코스피200 P 200910 185.0,4.45,10,"4,325,000","2,589",2009-07-29,KRDRVOPK2I,2009-10-08,185.0,198.00,198.24
301DA185,코스피200 P 200910 185.0,4.75,21,"9,645,000","2,589",2009-07-30,KRDRVOPK2I,2009-10-08,185.0,200.15,199.88
301DA185,코스피200 P 200910 185.0,3.15,42,"14,255,000","2,575",2009-07-31,KRDRVOPK2I,2009-10-08,185.0,203.20,202.96
301DA185,코스피200 P 200910 185.0,2.90,185,"54,320,000","2,664",2009-08-03,KRDRVOPK2I,2009-10-08,185.0,203.60,203.81
301DA185,코스피200 P 200910 185.0,2.99,35,"9,175,000","2,679",2009-08-04,KRDRVOPK2I,2009-10-08,185.0,204.05,204.10
301DA185,코스피200 P 200910 185.0,2.92,95,"27,255,000","2,672",2009-08-05,KRDRVOPK2I,2009-10-08,185.0,203.30,203.19
301DA185,코스피200 P 200910 185.0,2.65,155,"44,253,000","2,657",2009-08-06,KRDRVOPK2I,2009-10-08,185.0,203.90,203.74
301DA185,코스피200 P 200910 185.0,2.45,92,"23,617,000","2,655",2009-08-07,KRDRVOPK2I,2009-10-08,185.0,205.20,204.95
301DA185,코스피200 P 200910 185.0,2.30,337,"74,983,000","2,706",2009-08-10,KRDRVOPK2I,2009-10-08,185.0,205.15,204.77
