ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301EC207,코스피200 P 201012 207.5,1.47,127,"18,650,000",96,2010-09-10,KRDRVOPK2I,2010-12-09,207.5,235.85,233.93
301EC207,코스피200 P 201012 207.5,1.04,663,"70,061,000",570,2010-09-13,KRDRVOPK2I,2010-12-09,207.5,238.00,236.34
301EC207,코스피200 P 201012 207.5,1.07,"1,080","118,763,000","1,080",2010-09-14,KRDRVOPK2I,2010-12-09,207.5,237.80,235.98
301EC207,코스피200 P 201012 207.5,0.99,"1,486","149,805,000","1,940",2010-09-15,KRDRVOPK2I,2010-12-09,207.5,239.00,237.14
301EC207,코스피200 P 201012 207.5,1.23,"4,557","495,610,000","4,185",2010-09-16,KRDRVOPK2I,2010-12-09,207.5,237.10,235.37
301EC207,코스피200 P 201012 207.5,1.01,"3,481","391,429,000","4,378",2010-09-17,KRDRVOPK2I,2010-12-09,207.5,238.25,237.64
301EC207,코스피200 P 201012 207.5,0.93,414,"42,707,000","4,433",2010-09-20,KRDRVOPK2I,2010-12-09,207.5,239.60,238.29
301EC207,코스피200 P 201012 207.5,0.82,793,"69,842,000","4,529",2010-09-24,KRDRVOPK2I,2010-12-09,207.5,240.55,239.80
301EC207,코스피200 P 201012 207.5,0.71,731,"52,187,000","4,600",2010-09-27,KRDRVOPK2I,2010-12-09,207.5,242.35,241.38
301EC207,코스피200 P 201012 207.5,0.73,642,"45,898,000","4,874",2010-09-28,KRDRVOPK2I,2010-12-09,207.5,242.20,240.59
301EC207,코스피200 P 201012 207.5,0.74,"1,922","124,370,000","5,398",2010-09-29,KRDRVOPK2I,2010-12-09,207.5,243.90,242.27
301EC207,코스피200 P 201012 207.5,0.67,653,"48,387,000","5,110",2010-09-30,KRDRVOPK2I,2010-12-09,207.5,243.75,242.95
301EC207,코스피200 P 201012 207.5,0.58,"3,402","207,937,000","5,134",2010-10-01,KRDRVOPK2I,2010-12-09,207.5,245.35,243.49
301EC207,코스피200 P 201012 207.5,0.51,"1,940","101,977,000","5,072",2010-10-04,KRDRVOPK2I,2010-12-09,207.5,245.40,243.99
301EC207,코스피200 P 201012 207.5,0.50,914,"49,164,000","5,242",2010-10-05,KRDRVOPK2I,2010-12-09,207.5,245.40,244.22
301EC207,코스피200 P 201012 207.5,0.42,"1,852","78,668,000","5,546",2010-10-06,KRDRVOPK2I,2010-12-09,207.5,248.60,247.70
301EC207,코스피200 P 201012 207.5,0.40,984,"41,197,000","5,179",2010-10-07,KRDRVOPK2I,2010-12-09,207.5,248.30,247.22
301EC207,코스피200 P 201012 207.5,0.41,805,"34,638,000","5,209",2010-10-08,KRDRVOPK2I,2010-12-09,207.5,247.85,246.51
301EC207,코스피200 P 201012 207.5,0.42,"1,449","56,641,000","5,667",2010-10-11,KRDRVOPK2I,2010-12-09,207.5,246.40,245.44
301EC207,코스피200 P 201012 207.5,0.53,"4,238","221,191,000","5,937",2010-10-12,KRDRVOPK2I,2010-12-09,207.5,243.10,242.35
301EC207,코스피200 P 201012 207.5,0.46,"2,035","92,463,000","5,519",2010-10-13,KRDRVOPK2I,2010-12-09,207.5,244.10,242.99
301EC207,코스피200 P 201012 207.5,0.29,"3,529","125,323,000","5,950",2010-10-14,KRDRVOPK2I,2010-12-09,207.5,247.45,246.25
301EC207,코스피200 P 201012 207.5,0.29,"1,918","57,213,000","6,016",2010-10-15,KRDRVOPK2I,2010-12-09,207.5,247.90,246.56
301EC207,코스피200 P 201012 207.5,0.52,"3,424","144,675,000","6,650",2010-10-18,KRDRVOPK2I,2010-12-09,207.5,242.80,242.64
301EC207,코스피200 P 201012 207.5,0.64,"7,218","323,533,000","8,571",2010-10-19,KRDRVOPK2I,2010-12-09,207.5,240.50,240.11
301EC207,코스피200 P 201012 207.5,0.48,"6,705","405,817,000","7,098",2010-10-20,KRDRVOPK2I,2010-12-09,207.5,242.30,241.79
301EC207,코스피200 P 201012 207.5,0.40,"6,794","311,312,000","7,220",2010-10-21,KRDRVOPK2I,2010-12-09,207.5,242.95,242.53
301EC207,코스피200 P 201012 207.5,0.26,"5,095","149,669,000","8,378",2010-10-22,KRDRVOPK2I,2010-12-09,207.5,246.05,245.84
301EC207,코스피200 P 201012 207.5,0.19,"3,626","74,127,000","8,518",2010-10-25,KRDRVOPK2I,2010-12-09,207.5,248.45,248.16
301EC207,코스피200 P 201012 207.5,0.18,"1,946","36,715,000","9,368",2010-10-26,KRDRVOPK2I,2010-12-09,207.5,248.50,248.38
301EC207,코스피200 P 201012 207.5,0.22,"2,976","55,360,000","9,566",2010-10-27,KRDRVOPK2I,2010-12-09,207.5,246.50,246.61
301EC207,코스피200 P 201012 207.5,0.18,"1,410","24,699,000","9,081",2010-10-28,KRDRVOPK2I,2010-12-09,207.5,247.30,246.41
301EC207,코스피200 P 201012 207.5,0.30,"5,438","127,414,000","7,880",2010-10-29,KRDRVOPK2I,2010-12-09,207.5,242.15,242.98
301EC207,코스피200 P 201012 207.5,0.17,"2,619","47,921,000","8,595",2010-11-01,KRDRVOPK2I,2010-12-09,207.5,247.45,247.41
301EC207,코스피200 P 201012 207.5,0.17,"3,421","56,997,000","10,426",2010-11-02,KRDRVOPK2I,2010-12-09,207.5,247.80,247.93
