ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301F4257,코스피200 P 201104 257.5,3.05,"1,111","376,185,000",959,2011-01-24,KRDRVOPK2I,2011-04-14,257.5,274.50,274.50
301F4257,코스피200 P 201104 257.5,2.52,"1,382","330,487,000","2,039",2011-01-25,KRDRVOPK2I,2011-04-14,257.5,276.30,275.18
301F4257,코스피200 P 201104 257.5,1.80,"1,436","281,469,000","3,234",2011-01-26,KRDRVOPK2I,2011-04-14,257.5,278.90,278.81
301F4257,코스피200 P 201104 257.5,1.67,"2,393","401,299,000","4,880",2011-01-27,KRDRVOPK2I,2011-04-14,257.5,279.40,279.20
301F4257,코스피200 P 201104 257.5,1.77,927,"173,268,000","5,473",2011-01-28,KRDRVOPK2I,2011-04-14,257.5,278.80,278.45
301F4257,코스피200 P 201104 257.5,2.71,"1,922","485,339,000","6,094",2011-01-31,KRDRVOPK2I,2011-04-14,257.5,274.15,273.12
301F4257,코스피200 P 201104 257.5,2.69,"2,170","529,138,000","6,664",2011-02-01,KRDRVOPK2I,2011-04-14,257.5,274.00,273.45
301F4257,코스피200 P 201104 257.5,2.24,"4,544","867,053,000","8,603",2011-02-07,KRDRVOPK2I,2011-04-14,257.5,274.70,274.90
301F4257,코스피200 P 201104 257.5,2.55,"3,510","782,483,000","10,809",2011-02-08,KRDRVOPK2I,2011-04-14,257.5,272.70,273.16
301F4257,코스피200 P 201104 257.5,3.45,"3,361","1,067,755,000","12,206",2011-02-09,KRDRVOPK2I,2011-04-14,257.5,269.80,269.90
301F4257,코스피200 P 201104 257.5,5.25,"4,498","1,934,930,000","11,048",2011-02-10,KRDRVOPK2I,2011-04-14,257.5,264.70,264.57
301F4257,코스피200 P 201104 257.5,6.80,"5,155","2,760,710,000","9,499",2011-02-11,KRDRVOPK2I,2011-04-14,257.5,259.75,260.40
301F4257,코스피200 P 201104 257.5,4.30,"4,003","1,931,965,000","9,034",2011-02-14,KRDRVOPK2I,2011-04-14,257.5,265.60,266.02
301F4257,코스피200 P 201104 257.5,4.55,"1,743","726,030,000","9,315",2011-02-15,KRDRVOPK2I,2011-04-14,257.5,264.40,265.40
301F4257,코스피200 P 201104 257.5,5.45,"2,154","1,032,010,000","9,840",2011-02-16,KRDRVOPK2I,2011-04-14,257.5,262.95,262.56
301F4257,코스피200 P 201104 257.5,5.95,"2,116","1,269,080,000","8,832",2011-02-17,KRDRVOPK2I,2011-04-14,257.5,261.65,261.23
