ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301GA245,코스피200 P 201210 245.0,11.30,3,"18,675,000",2,2012-07-13,KRDRVOPK2I,2012-10-11,245.0,238.70,238.77
301GA245,코스피200 P 201210 245.0,10.50,11,"59,275,000",11,2012-07-16,KRDRVOPK2I,2012-10-11,245.0,240.05,239.39
301GA245,코스피200 P 201210 245.0,9.70,4,"19,725,000",15,2012-07-17,KRDRVOPK2I,2012-10-11,245.0,240.90,240.19
301GA245,코스피200 P 201210 245.0,12.55,3,"17,875,000",18,2012-07-18,KRDRVOPK2I,2012-10-11,245.0,237.30,236.42
301GA245,코스피200 P 201210 245.0,9.95,7,"34,125,000",23,2012-07-19,KRDRVOPK2I,2012-10-11,245.0,241.55,240.44
301GA245,코스피200 P 201210 245.0,9.65,1,"4,825,000",23,2012-07-20,KRDRVOPK2I,2012-10-11,245.0,241.20,240.35
301GA245,코스피200 P 201210 245.0,12.50,6,"39,275,000",24,2012-07-23,KRDRVOPK2I,2012-10-11,245.0,235.90,235.75
301GA245,코스피200 P 201210 245.0,12.55,57,"361,225,000",73,2012-07-24,KRDRVOPK2I,2012-10-11,245.0,236.80,236.65
301GA245,코스피200 P 201210 245.0,14.55,24,"180,475,000",78,2012-07-25,KRDRVOPK2I,2012-10-11,245.0,234.50,233.49
301GA245,코스피200 P 201210 245.0,13.80,4,"27,750,000",78,2012-07-26,KRDRVOPK2I,2012-10-11,245.0,235.95,235.33
301GA245,코스피200 P 201210 245.0,9.65,5,"25,525,000",80,2012-07-27,KRDRVOPK2I,2012-10-11,245.0,242.55,242.23
301GA245,코스피200 P 201210 245.0,7.95,2,"7,950,000",82,2012-07-30,KRDRVOPK2I,2012-10-11,245.0,244.50,244.58
301GA245,코스피200 P 201210 245.0,5.45,6,"18,975,000",84,2012-07-31,KRDRVOPK2I,2012-10-11,245.0,250.45,250.08
301GA245,코스피200 P 201210 245.0,6.10,9,"27,700,000",91,2012-08-01,KRDRVOPK2I,2012-10-11,245.0,250.90,249.60
301GA245,코스피200 P 201210 245.0,6.70,3,"9,825,000",94,2012-08-02,KRDRVOPK2I,2012-10-11,245.0,249.05,247.90
301GA245,코스피200 P 201210 245.0,7.45,145,"510,925,000",177,2012-08-03,KRDRVOPK2I,2012-10-11,245.0,246.05,244.81
301GA245,코스피200 P 201210 245.0,5.15,26,"67,250,000",187,2012-08-06,KRDRVOPK2I,2012-10-11,245.0,251.50,250.36
301GA245,코스피200 P 201210 245.0,4.85,32,"80,650,000",193,2012-08-07,KRDRVOPK2I,2012-10-11,245.0,251.50,250.39
301GA245,코스피200 P 201210 245.0,4.35,135,"256,625,000",263,2012-08-08,KRDRVOPK2I,2012-10-11,245.0,254.05,252.84
301GA245,코스피200 P 201210 245.0,3.05,40,"64,750,000",292,2012-08-09,KRDRVOPK2I,2012-10-11,245.0,260.20,258.08
301GA245,코스피200 P 201210 245.0,2.72,147,"212,570,000",304,2012-08-10,KRDRVOPK2I,2012-10-11,245.0,260.20,258.91
301GA245,코스피200 P 201210 245.0,3.00,160,"235,420,000",356,2012-08-13,KRDRVOPK2I,2012-10-11,245.0,258.55,256.65
301GA245,코스피200 P 201210 245.0,2.26,753,"944,635,000",397,2012-08-14,KRDRVOPK2I,2012-10-11,245.0,261.00,260.11
301GA245,코스피200 P 201210 245.0,2.21,272,"313,400,000",456,2012-08-16,KRDRVOPK2I,2012-10-11,245.0,261.25,260.08
