ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301GC232,코스피200 P 201212 232.5,1.43,77,"55,620,000",63,2012-09-14,KRDRVOPK2I,2012-12-13,232.5,266.60,265.02
301GC232,코스피200 P 201212 232.5,1.42,75,"53,820,000",121,2012-09-17,KRDRVOPK2I,2012-12-13,232.5,265.95,263.97
301GC232,코스피200 P 201212 232.5,1.28,7,"4,635,000",121,2012-09-18,KRDRVOPK2I,2012-12-13,232.5,266.20,264.25
301GC232,코스피200 P 201212 232.5,1.17,179,"106,945,000",229,2012-09-19,KRDRVOPK2I,2012-12-13,232.5,267.00,264.44
301GC232,코스피200 P 201212 232.5,1.43,255,"179,415,000",392,2012-09-20,KRDRVOPK2I,2012-12-13,232.5,264.35,261.87
301GC232,코스피200 P 201212 232.5,1.18,26,"16,000,000",390,2012-09-21,KRDRVOPK2I,2012-12-13,232.5,265.05,263.41
301GC232,코스피200 P 201212 232.5,1.20,152,"104,855,000",501,2012-09-24,KRDRVOPK2I,2012-12-13,232.5,265.40,263.56
301GC232,코스피200 P 201212 232.5,1.25,65,"40,380,000",556,2012-09-25,KRDRVOPK2I,2012-12-13,232.5,264.55,262.03
301GC232,코스피200 P 201212 232.5,1.37,80,"54,795,000",533,2012-09-26,KRDRVOPK2I,2012-12-13,232.5,262.35,260.42
301GC232,코스피200 P 201212 232.5,1.15,20,"12,960,000",536,2012-09-27,KRDRVOPK2I,2012-12-13,232.5,264.25,261.62
301GC232,코스피200 P 201212 232.5,1.08,90,"50,110,000",585,2012-09-28,KRDRVOPK2I,2012-12-13,232.5,264.20,262.49
301GC232,코스피200 P 201212 232.5,0.97,37,"17,605,000",575,2012-10-02,KRDRVOPK2I,2012-12-13,232.5,263.70,262.48
301GC232,코스피200 P 201212 232.5,0.83,39,"17,830,000",573,2012-10-04,KRDRVOPK2I,2012-12-13,232.5,263.85,261.92
301GC232,코스피200 P 201212 232.5,0.82,18,"7,055,000",579,2012-10-05,KRDRVOPK2I,2012-12-13,232.5,264.10,262.07
301GC232,코스피200 P 201212 232.5,0.88,106,"47,185,000",574,2012-10-08,KRDRVOPK2I,2012-12-13,232.5,262.15,260.11
301GC232,코스피200 P 201212 232.5,0.76,102,"38,525,000",586,2012-10-09,KRDRVOPK2I,2012-12-13,232.5,262.00,259.66
301GC232,코스피200 P 201212 232.5,1.24,384,"220,315,000",771,2012-10-10,KRDRVOPK2I,2012-12-13,232.5,256.70,255.15
301GC232,코스피200 P 201212 232.5,1.41,358,"247,615,000",793,2012-10-11,KRDRVOPK2I,2012-12-13,232.5,254.25,252.84
301GC232,코스피200 P 201212 232.5,1.30,580,"385,840,000",847,2012-10-12,KRDRVOPK2I,2012-12-13,232.5,253.40,252.44
