ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301H1232,코스피200 P 201301 232.5,2.79,308,"432,005,000",206,2012-10-29,KRDRVOPK2I,2013-01-10,232.5,248.90,247.66
301H1232,코스피200 P 201301 232.5,2.59,250,"313,050,000",319,2012-10-30,KRDRVOPK2I,2013-01-10,232.5,249.65,248.52
301H1232,코스피200 P 201301 232.5,2.32,281,"310,110,000",467,2012-10-31,KRDRVOPK2I,2013-01-10,232.5,250.55,250.18
301H1232,코스피200 P 201301 232.5,2.72,258,"363,010,000",503,2012-11-01,KRDRVOPK2I,2013-01-10,232.5,248.75,247.83
301H1232,코스피200 P 201301 232.5,1.88,186,"183,965,000",563,2012-11-02,KRDRVOPK2I,2013-01-10,232.5,251.70,251.04
301H1232,코스피200 P 201301 232.5,1.98,353,"355,080,000",626,2012-11-05,KRDRVOPK2I,2013-01-10,232.5,250.25,249.50
301H1232,코스피200 P 201301 232.5,1.58,432,"407,020,000",765,2012-11-06,KRDRVOPK2I,2013-01-10,232.5,252.90,252.30
301H1232,코스피200 P 201301 232.5,1.38,925,"744,175,000","1,120",2012-11-07,KRDRVOPK2I,2013-01-10,232.5,254.05,253.70
301H1232,코스피200 P 201301 232.5,2.07,934,"918,270,000","1,451",2012-11-08,KRDRVOPK2I,2013-01-10,232.5,249.45,250.13
301H1232,코스피200 P 201301 232.5,2.06,"1,255","1,588,100,000","1,654",2012-11-09,KRDRVOPK2I,2013-01-10,232.5,249.30,248.69
301H1232,코스피200 P 201301 232.5,1.90,856,"913,770,000","1,791",2012-11-12,KRDRVOPK2I,2013-01-10,232.5,249.25,248.18
301H1232,코스피200 P 201301 232.5,2.10,"1,041","1,150,780,000","1,905",2012-11-13,KRDRVOPK2I,2013-01-10,232.5,247.40,246.90
301H1232,코스피200 P 201301 232.5,1.80,"1,007","1,014,280,000","2,041",2012-11-14,KRDRVOPK2I,2013-01-10,232.5,248.30,247.80
301H1232,코스피200 P 201301 232.5,2.58,"1,357","1,731,835,000","2,235",2012-11-15,KRDRVOPK2I,2013-01-10,232.5,244.40,244.64
301H1232,코스피200 P 201301 232.5,2.74,"1,324","1,751,375,000","2,195",2012-11-16,KRDRVOPK2I,2013-01-10,232.5,243.65,243.45
301H1232,코스피200 P 201301 232.5,1.98,979,"956,040,000","2,116",2012-11-19,KRDRVOPK2I,2013-01-10,232.5,246.50,245.82
301H1232,코스피200 P 201301 232.5,1.43,757,"585,860,000","2,105",2012-11-20,KRDRVOPK2I,2013-01-10,232.5,248.30,247.72
301H1232,코스피200 P 201301 232.5,1.57,687,"487,005,000","2,099",2012-11-21,KRDRVOPK2I,2013-01-10,232.5,247.15,247.02
