ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301JC215,코스피200 P 201412 215.0,0.38,"2,408","524,995,000","1,292",2014-10-13,KRDRVOPK2I,2014-12-11,215.0,246.10,244.18
301JC215,코스피200 P 201412 215.0,0.43,"1,995","364,885,000","1,695",2014-10-14,KRDRVOPK2I,2014-12-11,215.0,244.80,244.47
301JC215,코스피200 P 201412 215.0,0.35,"2,083","409,895,000","2,634",2014-10-15,KRDRVOPK2I,2014-12-11,215.0,245.50,243.87
301JC215,코스피200 P 201412 215.0,0.54,"3,347","939,650,000","3,191",2014-10-16,KRDRVOPK2I,2014-12-11,215.0,243.65,242.79
301JC215,코스피200 P 201412 215.0,0.89,"2,569","858,355,000","3,361",2014-10-17,KRDRVOPK2I,2014-12-11,215.0,240.90,239.84
301JC215,코스피200 P 201412 215.0,0.47,"1,184","285,530,000","3,269",2014-10-20,KRDRVOPK2I,2014-12-11,215.0,244.40,243.90
301JC215,코스피200 P 201412 215.0,0.47,"1,047","271,870,000","3,359",2014-10-21,KRDRVOPK2I,2014-12-11,215.0,242.40,241.48
301JC215,코스피200 P 201412 215.0,0.31,"1,385","221,970,000","3,270",2014-10-22,KRDRVOPK2I,2014-12-11,215.0,244.55,244.12
301JC215,코스피200 P 201412 215.0,0.30,788,"119,070,000","3,402",2014-10-23,KRDRVOPK2I,2014-12-11,215.0,244.60,243.38
301JC215,코스피200 P 201412 215.0,0.31,"1,825","303,880,000","3,628",2014-10-24,KRDRVOPK2I,2014-12-11,215.0,243.30,242.91
301JC215,코스피200 P 201412 215.0,0.23,486,"56,080,000","3,682",2014-10-27,KRDRVOPK2I,2014-12-11,215.0,244.80,243.89
301JC215,코스피200 P 201412 215.0,0.19,405,"43,980,000","3,822",2014-10-28,KRDRVOPK2I,2014-12-11,215.0,244.45,243.30
301JC215,코스피200 P 201412 215.0,0.11,"1,647","104,905,000","3,415",2014-10-29,KRDRVOPK2I,2014-12-11,215.0,249.20,248.64
301JC215,코스피200 P 201412 215.0,0.10,468,"25,945,000","3,355",2014-10-30,KRDRVOPK2I,2014-12-11,215.0,249.00,248.84
301JC215,코스피200 P 201412 215.0,0.10,744,"32,815,000","3,311",2014-10-31,KRDRVOPK2I,2014-12-11,215.0,250.20,250.45
301JC215,코스피200 P 201412 215.0,0.10,310,"15,005,000","3,309",2014-11-03,KRDRVOPK2I,2014-12-11,215.0,249.05,248.69
301JC215,코스피200 P 201412 215.0,0.11,"1,139","72,325,000","3,410",2014-11-04,KRDRVOPK2I,2014-12-11,215.0,247.00,246.51
301JC215,코스피200 P 201412 215.0,0.11,"1,016","56,835,000","3,406",2014-11-05,KRDRVOPK2I,2014-12-11,215.0,246.60,245.86
301JC215,코스피200 P 201412 215.0,0.09,849,"40,020,000","3,889",2014-11-06,KRDRVOPK2I,2014-12-11,215.0,248.05,247.19
301JC215,코스피200 P 201412 215.0,0.10,"1,069","48,750,000","4,281",2014-11-07,KRDRVOPK2I,2014-12-11,215.0,248.30,247.39
301JC215,코스피200 P 201412 215.0,0.08,693,"24,245,000","3,902",2014-11-10,KRDRVOPK2I,2014-12-11,215.0,250.80,250.64
301JC215,코스피200 P 201412 215.0,0.07,264,"10,215,000","3,995",2014-11-11,KRDRVOPK2I,2014-12-11,215.0,250.50,250.45
301JC215,코스피200 P 201412 215.0,0.06,"1,611","54,475,000","4,723",2014-11-12,KRDRVOPK2I,2014-12-11,215.0,251.45,251.26
301JC215,코스피200 P 201412 215.0,0.08,"3,243","129,405,000","6,339",2014-11-13,KRDRVOPK2I,2014-12-11,215.0,250.50,250.11
301JC215,코스피200 P 201412 215.0,0.07,"7,796","281,290,000","10,177",2014-11-14,KRDRVOPK2I,2014-12-11,215.0,248.50,248.18
301JC215,코스피200 P 201412 215.0,0.05,"6,334","171,485,000","10,895",2014-11-17,KRDRVOPK2I,2014-12-11,215.0,249.25,248.30
301JC215,코스피200 P 201412 215.0,0.04,677,"13,895,000","11,070",2014-11-18,KRDRVOPK2I,2014-12-11,215.0,251.25,250.65
301JC215,코스피200 P 201412 215.0,0.03,"5,625","85,300,000","11,791",2014-11-19,KRDRVOPK2I,2014-12-11,215.0,250.50,250.33
301JC215,코스피200 P 201412 215.0,0.03,915,"13,565,000","12,584",2014-11-20,KRDRVOPK2I,2014-12-11,215.0,250.10,248.96
301JC215,코스피200 P 201412 215.0,0.02,"1,345","13,910,000","12,116",2014-11-21,KRDRVOPK2I,2014-12-11,215.0,250.45,249.90
301JC215,코스피200 P 201412 215.0,0.02,"10,449","104,450,000","15,161",2014-11-24,KRDRVOPK2I,2014-12-11,215.0,253.10,252.34
301JC215,코스피200 P 201412 215.0,0.02,91,"760,000","15,155",2014-11-25,KRDRVOPK2I,2014-12-11,215.0,252.90,251.72
301JC215,코스피200 P 201412 215.0,0.01,"1,706","16,015,000","14,736",2014-11-26,KRDRVOPK2I,2014-12-11,215.0,252.15,252.00
301JC215,코스피200 P 201412 215.0,0.01,298,"1,630,000","14,718",2014-11-27,KRDRVOPK2I,2014-12-11,215.0,253.80,253.30
301JC215,코스피200 P 201412 215.0,0.01,463,"2,325,000","14,286",2014-11-28,KRDRVOPK2I,2014-12-11,215.0,254.00,253.70
301JC215,코스피200 P 201412 215.0,0.01,"2,222","11,130,000","13,847",2014-12-01,KRDRVOPK2I,2014-12-11,215.0,251.30,251.59
301JC215,코스피200 P 201412 215.0,0.01,"1,582","7,910,000","15,117",2014-12-02,KRDRVOPK2I,2014-12-11,215.0,251.45,251.41
301JC215,코스피200 P 201412 215.0,0.01,5,"25,000","15,117",2014-12-03,KRDRVOPK2I,2014-12-11,215.0,251.85,251.65
301JC215,코스피200 P 201412 215.0,-,0,0,"15,117",2014-12-04,KRDRVOPK2I,2014-12-11,215.0,254.85,254.06
301JC215,코스피200 P 201412 215.0,0.01,2,"10,000","15,117",2014-12-05,KRDRVOPK2I,2014-12-11,215.0,254.35,254.24
301JC215,코스피200 P 201412 215.0,0.01,10,"50,000","15,116",2014-12-08,KRDRVOPK2I,2014-12-11,215.0,253.85,253.71
301JC215,코스피200 P 201412 215.0,0.01,16,"80,000","15,114",2014-12-09,KRDRVOPK2I,2014-12-11,215.0,253.10,253.21
301JC215,코스피200 P 201412 215.0,0.01,59,"295,000","15,084",2014-12-10,KRDRVOPK2I,2014-12-11,215.0,248.95,249.35
301JC215,코스피200 P 201412 215.0,0.01,13,"65,000",0,2014-12-11,KRDRVOPK2I,2014-12-11,215.0,245.80,245.54
