ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301M6302,코스피200 P 201706 302.5,-,0,0,0,2017-02-22,KRDRVOPK2I,2017-06-08,302.5,272.65,272.85
301M6302,코스피200 P 201706 302.5,-,0,0,0,2017-02-23,KRDRVOPK2I,2017-06-08,302.5,273.00,272.89
301M6302,코스피200 P 201706 302.5,-,0,0,0,2017-02-24,KRDRVOPK2I,2017-06-08,302.5,270.55,270.38
301M6302,코스피200 P 201706 302.5,-,0,0,0,2017-02-27,KRDRVOPK2I,2017-06-08,302.5,269.50,268.97
301M6302,코스피200 P 201706 302.5,-,0,0,0,2017-02-28,KRDRVOPK2I,2017-06-08,302.5,269.75,270.06
301M6302,코스피200 P 201706 302.5,29.50,1,"14,750,000",1,2017-03-02,KRDRVOPK2I,2017-06-08,302.5,272.70,272.65
301M6302,코스피200 P 201706 302.5,-,0,0,1,2017-03-03,KRDRVOPK2I,2017-06-08,302.5,269.65,269.77
301M6302,코스피200 P 201706 302.5,32.35,1,"16,175,000",1,2017-03-06,KRDRVOPK2I,2017-06-08,302.5,270.25,270.41
301M6302,코스피200 P 201706 302.5,-,0,0,1,2017-03-07,KRDRVOPK2I,2017-06-08,302.5,271.65,271.87
301M6302,코스피200 P 201706 302.5,-,0,0,1,2017-03-08,KRDRVOPK2I,2017-06-08,302.5,272.20,272.29
301M6302,코스피200 P 201706 302.5,30.00,1,"15,000,000",2,2017-03-09,KRDRVOPK2I,2017-06-08,302.5,271.45,271.62
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-10,KRDRVOPK2I,2017-06-08,302.5,272.55,272.29
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-13,KRDRVOPK2I,2017-06-08,302.5,275.75,275.41
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-14,KRDRVOPK2I,2017-06-08,302.5,278.00,277.89
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-15,KRDRVOPK2I,2017-06-08,302.5,278.60,277.89
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-16,KRDRVOPK2I,2017-06-08,302.5,280.30,280.11
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-17,KRDRVOPK2I,2017-06-08,302.5,281.45,281.86
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-20,KRDRVOPK2I,2017-06-08,302.5,281.50,280.75
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-21,KRDRVOPK2I,2017-06-08,302.5,284.05,283.84
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-22,KRDRVOPK2I,2017-06-08,302.5,282.55,282.63
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-23,KRDRVOPK2I,2017-06-08,302.5,283.20,282.81
301M6302,코스피200 P 201706 302.5,-,0,0,2,2017-03-24,KRDRVOPK2I,2017-06-08,302.5,282.85,282.31
301M6302,코스피200 P 201706 302.5,-,0,0,4,2017-03-27,KRDRVOPK2I,2017-06-08,302.5,280.75,280.36
301M6302,코스피200 P 201706 302.5,-,0,0,4,2017-03-28,KRDRVOPK2I,2017-06-08,302.5,281.55,281.25
