ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301TC170,코스피200 P 202312 170.0,2.41,11,"6,425,000",11,2022-09-27,KRDRVOPK2I,2023-12-14,170.0,290.60,290.20
301TC170,코스피200 P 202312 170.0,-,0,0,11,2022-09-28,KRDRVOPK2I,2023-12-14,170.0,283.00,283.19
301TC170,코스피200 P 202312 170.0,2.45,1,"612,500",12,2022-09-29,KRDRVOPK2I,2023-12-14,170.0,284.75,282.65
301TC170,코스피200 P 202312 170.0,2.75,2,"1,330,000",14,2022-09-30,KRDRVOPK2I,2023-12-14,170.0,282.45,281.36
301TC170,코스피200 P 202312 170.0,-,0,0,14,2022-10-04,KRDRVOPK2I,2023-12-14,170.0,290.00,288.27
301TC170,코스피200 P 202312 170.0,-,0,0,14,2022-10-05,KRDRVOPK2I,2023-12-14,170.0,290.40,289.05
301TC170,코스피200 P 202312 170.0,-,0,0,14,2022-10-06,KRDRVOPK2I,2023-12-14,170.0,292.15,291.26
301TC170,코스피200 P 202312 170.0,-,0,0,14,2022-10-07,KRDRVOPK2I,2023-12-14,170.0,290.85,290.41
301TC170,코스피200 P 202312 170.0,-,0,0,14,2022-10-11,KRDRVOPK2I,2023-12-14,170.0,284.90,284.96
301TC170,코스피200 P 202312 170.0,-,"3,000","1,800,000,000","3,014",2022-10-12,KRDRVOPK2I,2023-12-14,170.0,287.85,287.09
301TC170,코스피200 P 202312 170.0,-,0,0,"3,014",2022-10-13,KRDRVOPK2I,2023-12-14,170.0,282.80,282.57
301TC170,코스피200 P 202312 170.0,-,0,0,"3,014",2022-10-14,KRDRVOPK2I,2023-12-14,170.0,290.90,289.36
301TC170,코스피200 P 202312 170.0,-,0,0,"3,014",2022-10-17,KRDRVOPK2I,2023-12-14,170.0,289.35,289.57
301TC170,코스피200 P 202312 170.0,-,0,0,"3,014",2022-10-18,KRDRVOPK2I,2023-12-14,170.0,294.50,293.59
301TC170,코스피200 P 202312 170.0,-,"2,400","1,200,000,000","5,414",2022-10-19,KRDRVOPK2I,2023-12-14,170.0,291.30,291.29
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-10-20,KRDRVOPK2I,2023-12-14,170.0,288.60,288.61
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-10-21,KRDRVOPK2I,2023-12-14,170.0,289.55,288.57
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-10-24,KRDRVOPK2I,2023-12-14,170.0,292.90,291.47
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-10-25,KRDRVOPK2I,2023-12-14,170.0,292.45,291.58
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-10-26,KRDRVOPK2I,2023-12-14,170.0,294.70,293.85
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-10-27,KRDRVOPK2I,2023-12-14,170.0,299.65,298.82
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-10-28,KRDRVOPK2I,2023-12-14,170.0,295.80,295.06
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-10-31,KRDRVOPK2I,2023-12-14,170.0,300.70,299.58
301TC170,코스피200 P 202312 170.0,1.69,2,"850,000","5,414",2022-11-01,KRDRVOPK2I,2023-12-14,170.0,303.90,303.88
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-11-02,KRDRVOPK2I,2023-12-14,170.0,304.45,303.87
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-11-03,KRDRVOPK2I,2023-12-14,170.0,302.05,301.66
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-11-04,KRDRVOPK2I,2023-12-14,170.0,305.40,304.33
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-11-07,KRDRVOPK2I,2023-12-14,170.0,309.00,307.87
301TC170,코스피200 P 202312 170.0,1.34,4,"1,347,500","5,413",2022-11-08,KRDRVOPK2I,2023-12-14,170.0,312.95,312.01
301TC170,코스피200 P 202312 170.0,-,0,0,"5,413",2022-11-09,KRDRVOPK2I,2023-12-14,170.0,316.25,315.23
301TC170,코스피200 P 202312 170.0,-,0,0,"5,413",2022-11-10,KRDRVOPK2I,2023-12-14,170.0,311.45,311.13
301TC170,코스피200 P 202312 170.0,-,0,0,"5,413",2022-11-11,KRDRVOPK2I,2023-12-14,170.0,324.95,323.09
301TC170,코스피200 P 202312 170.0,1.24,1,"310,000","5,414",2022-11-14,KRDRVOPK2I,2023-12-14,170.0,322.60,321.53
301TC170,코스피200 P 202312 170.0,1.23,1,"307,500","5,414",2022-11-15,KRDRVOPK2I,2023-12-14,170.0,323.00,322.31
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-11-16,KRDRVOPK2I,2023-12-14,170.0,322.95,321.96
301TC170,코스피200 P 202312 170.0,-,0,0,"5,414",2022-11-17,KRDRVOPK2I,2023-12-14,170.0,319.25,316.75
301TC170,코스피200 P 202312 170.0,1.13,1,"282,500","5,415",2022-11-18,KRDRVOPK2I,2023-12-14,170.0,317.45,317.12
