ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301V6290,코스피200 P 202406 290.0,-,0,0,0,2022-06-10,KRDRVOPK2I,2024-06-13,290.0,341.10,341.89
301V6290,코스피200 P 202406 290.0,-,0,0,0,2022-06-13,KRDRVOPK2I,2024-06-13,290.0,329.25,329.88
301V6290,코스피200 P 202406 290.0,-,0,0,0,2022-06-14,KRDRVOPK2I,2024-06-13,290.0,327.00,328.23
301V6290,코스피200 P 202406 290.0,-,0,0,0,2022-06-15,KRDRVOPK2I,2024-06-13,290.0,321.40,322.21
301V6290,코스피200 P 202406 290.0,-,0,0,0,2022-06-16,KRDRVOPK2I,2024-06-13,290.0,321.60,322.25
301V6290,코스피200 P 202406 290.0,-,0,0,0,2022-06-17,KRDRVOPK2I,2024-06-13,290.0,319.00,320.09
301V6290,코스피200 P 202406 290.0,19.70,300,"1,519,500,000",300,2022-06-20,KRDRVOPK2I,2024-06-13,290.0,313.85,314.44
301V6290,코스피200 P 202406 290.0,-,0,0,300,2022-06-21,KRDRVOPK2I,2024-06-13,290.0,316.70,316.38
301V6290,코스피200 P 202406 290.0,-,0,0,300,2022-06-22,KRDRVOPK2I,2024-06-13,290.0,308.30,308.08
301V6290,코스피200 P 202406 290.0,-,0,0,300,2022-06-23,KRDRVOPK2I,2024-06-13,290.0,306.10,305.45
301V6290,코스피200 P 202406 290.0,-,0,0,300,2022-06-24,KRDRVOPK2I,2024-06-13,290.0,312.70,312.07
301V6290,코스피200 P 202406 290.0,-,"1,000","5,175,000,000","1,300",2022-06-27,KRDRVOPK2I,2024-06-13,290.0,316.60,316.20
301V6290,코스피200 P 202406 290.0,-,600,"2,842,500,000","1,900",2022-06-28,KRDRVOPK2I,2024-06-13,290.0,318.95,319.11
301V6290,코스피200 P 202406 290.0,-,0,0,"1,900",2022-06-29,KRDRVOPK2I,2024-06-13,290.0,313.30,312.86
301V6290,코스피200 P 202406 290.0,20.10,2,"10,500,000","1,902",2022-06-30,KRDRVOPK2I,2024-06-13,290.0,307.45,307.20
301V6290,코스피200 P 202406 290.0,23.60,3,"17,700,000","1,905",2022-07-01,KRDRVOPK2I,2024-06-13,290.0,304.95,304.02
301V6290,코스피200 P 202406 290.0,-,0,0,"1,905",2022-07-04,KRDRVOPK2I,2024-06-13,290.0,305.05,304.01
301V6290,코스피200 P 202406 290.0,-,0,0,"1,905",2022-07-05,KRDRVOPK2I,2024-06-13,290.0,309.95,309.03
301V6290,코스피200 P 202406 290.0,-,0,0,"1,905",2022-07-06,KRDRVOPK2I,2024-06-13,290.0,303.30,302.28
