ISU_CD,ISU_SRT_CD,ISU_NM,TDD_CLSPRC,FLUC_TP_CD,CMPPREVDD_PRC,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,IMP_VOLT,NXTDD_BAS_PRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,SECUGRP_ID,TARGET_DATE,PRODUCT_ID
KR4201D91300,201D9130,코스피200 C 200909 130.0,78.85,1,1.35,78.00,79.50,78.00,3.00,78.85,24,"190,585,000","2,327",OP,20090828,KRDRVOPK2I
KR4201D91326,201D9132,코스피200 C 200909 132.5,-,0,-,-,-,-,15.70,76.50,0,0,21,OP,20090828,KRDRVOPK2I
KR4201D91359,201D9135,코스피200 C 200909 135.0,-,0,-,-,-,-,15.70,74.00,0,0,28,OP,20090828,KRDRVOPK2I
KR4201D91375,201D9137,코스피200 C 200909 137.5,-,0,-,-,-,-,15.70,71.50,0,0,0,OP,20090828,KRDRVOPK2I
KR4201D91409,201D9140,코스피200 C 200909 140.0,-,0,-,-,-,-,15.70,69.00,0,0,39,OP,20090828,KRDRVOPK2I
KR4201D91425,201D9142,코스피200 C 200909 142.5,-,0,-,-,-,-,15.70,66.50,0,0,10,OP,20090828,KRDRVOPK2I
KR4201D91458,201D9145,코스피200 C 200909 145.0,-,0,-,-,-,-,15.70,64.00,0,0,3,OP,20090828,KRDRVOPK2I
KR4201D91474,201D9147,코스피200 C 200909 147.5,-,0,-,-,-,-,15.70,61.50,0,0,0,OP,20090828,KRDRVOPK2I
KR4201D91508,201D9150,코스피200 C 200909 150.0,-,0,-,-,-,-,15.70,59.05,0,0,138,OP,20090828,KRDRVOPK2I
KR4201D91524,201D9152,코스피200 C 200909 152.5,-,0,-,-,-,-,15.70,56.55,0,0,5,OP,20090828,KRDRVOPK2I
KR4201D91557,201D9155,코스피200 C 200909 155.0,-,0,-,-,-,-,15.70,54.05,0,0,82,OP,20090828,KRDRVOPK2I
KR4201D91573,201D9157,코스피200 C 200909 157.5,-,0,-,-,-,-,15.70,51.55,0,0,0,OP,20090828,KRDRVOPK2I
KR4201D91607,201D9160,코스피200 C 200909 160.0,-,0,-,-,-,-,15.70,48.95,0,0,"1,906",OP,20090828,KRDRVOPK2I
KR4201D91623,201D9162,코스피200 C 200909 162.5,-,0,-,-,-,-,15.70,47.10,0,0,35,OP,20090828,KRDRVOPK2I
KR4201D91656,201D9165,코스피200 C 200909 165.0,-,0,-,-,-,-,15.70,44.05,0,0,845,OP,20090828,KRDRVOPK2I
KR4201D91672,201D9167,코스피200 C 200909 167.5,-,1,-,-,-,-,15.70,41.40,0,0,26,OP,20090828,KRDRVOPK2I
KR4201D91706,201D9170,코스피200 C 200909 170.0,-,1,-,-,-,-,15.70,38.90,0,0,"4,652",OP,20090828,KRDRVOPK2I
KR4201D91722,201D9172,코스피200 C 200909 172.5,-,0,-,-,-,-,15.70,36.55,0,0,40,OP,20090828,KRDRVOPK2I
KR4201D91755,201D9175,코스피200 C 200909 175.0,35.55,1,2.20,35.25,35.65,35.25,3.00,35.55,12,"42,370,000","1,331",OP,20090828,KRDRVOPK2I
KR4201D91771,201D9177,코스피200 C 200909 177.5,-,0,-,-,-,-,15.70,31.60,0,0,675,OP,20090828,KRDRVOPK2I
KR4201D91805,201D9180,코스피200 C 200909 180.0,29.40,1,0.60,30.50,30.50,28.70,3.00,29.40,29,"85,330,000","12,442",OP,20090828,KRDRVOPK2I
KR4201D91821,201D9182,코스피200 C 200909 182.5,-,0,-,-,-,-,15.70,26.60,0,0,584,OP,20090828,KRDRVOPK2I
KR4201D91854,201D9185,코스피200 C 200909 185.0,24.35,1,0.95,25.40,25.50,23.75,3.00,24.35,7,"17,450,000","8,891",OP,20090828,KRDRVOPK2I
KR4201D91870,201D9187,코스피200 C 200909 187.5,-,1,-,-,-,-,15.70,21.65,0,0,"1,561",OP,20090828,KRDRVOPK2I
KR4201D91904,201D9190,코스피200 C 200909 190.0,19.45,1,0.50,20.20,20.90,18.90,3.00,19.45,80,"158,650,000","6,693",OP,20090828,KRDRVOPK2I
KR4201D91920,201D9192,코스피200 C 200909 192.5,16.50,1,0.55,18.00,18.30,16.50,3.00,16.50,30,"51,750,000","3,719",OP,20090828,KRDRVOPK2I
KR4201D91953,201D9195,코스피200 C 200909 195.0,14.45,1,0.65,15.05,15.85,14.00,3.00,14.45,146,"220,885,000","11,747",OP,20090828,KRDRVOPK2I
KR4201D91979,201D9197,코스피200 C 200909 197.5,12.10,1,0.35,13.20,13.40,11.50,3.00,12.10,121,"152,310,000","9,085",OP,20090828,KRDRVOPK2I
KR4201D92001,201D9200,코스피200 C 200909 200.0,9.75,1,0.30,10.60,11.20,9.25,3.00,9.75,"1,830","1,877,150,000","49,614",OP,20090828,KRDRVOPK2I
KR4201D92027,201D9202,코스피200 C 200909 202.5,7.40,2,-0.15,8.20,8.95,7.15,3.00,7.40,"5,411","4,241,555,000","29,055",OP,20090828,KRDRVOPK2I
KR4201D92050,201D9205,코스피200 C 200909 205.0,5.65,1,0.05,6.50,6.95,5.20,15.00,5.65,"28,330","17,309,870,000","50,838",OP,20090828,KRDRVOPK2I
